Reason,+/-,Description
Prior Claim Activity,0.25,no description given
Financial Strength,0.25,no description given
Mergers and Acquisitions,0.25,no description given
Quality of Board,0.1,no description given
Length of Time in Business,0.1,no description given
Size - Revenues/Assets/Employees,0.1,no description given
Layoffs/Downsizing/Spin-offs,0.1,no description given
Ownership/Control,0.1,no description given
