Limit,Factor
0,0
1000,0.004
2500,0.01
5000,0.015
10000,0.027
25000,0.063
50000,0.116
100000,0.217
250000,0.446
500000,0.7
750000,0.83
1000000,1
2000000,1.632
3000000,2.221
4000000,2.767
5000000,3.282
6000000,3.765
7000000,4.219
8000000,4.646
9000000,5.048
10000000,5.425
11000000,5.78
12000000,6.113
13000000,6.427
14000000,6.721
15000000,6.992
20000000,8.239
25000000,9.386
30000000,10.441
35000000,11.412
40000000,12.305
45000000,13.127
50000000,13.924
55000000,14.697
60000000,15.447
65000000,16.175
70000000,16.88
75000000,17.565
80000000,18.229
85000000,18.873
90000000,19.497
95000000,20.103
100000000,20.691
