Industry,NAICS Code Filter,NAICS Code
Abrasive Product Manufacturing,3279,32791
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",5412,54121
Adhesive Manufacturing,3255,32552
Administration of Air and Water Resource and Solid Waste Management Programs,9241,92411
Administration of Conservation Programs,9241,92412
Administration of Education Programs,9231,92311
Administration of General Economic Programs,9261,92611
Administration of Housing Programs,9251,92511
"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",9231,92313
Administration of Public Health Programs,9231,92312
Administration of Urban Planning and Community and Rural Development,9251,92512
Administration of Veterans' Affairs,9231,92314
Administrative Management and General Management Consulting Services,5416,541611
Advertising Agencies,5418,54181
Advertising Material Distribution Services,5418,54187
Aerospace Product and Parts Manufacturing,3364,33641
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",7114,71141
Agricultural Implement Manufacturing,3331,33311
Air and Gas Compressor Manufacturing,3339,333912
Air Purification Equipment Manufacturing,3334,333411
Air Traffic Control,4881,488111
Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,3334,333415
Aircraft Engine and Engine Parts Manufacturing,3364,336412
Aircraft Manufacturing,3364,336411
Airport Operations,4881,48811
Alkalies and Chlorine Manufacturing,3251,325181
All Other Ambulatory Health Care Services,6219,62199
All Other Amusement and Recreation Industries,7139,71399
All Other Animal Production,1129,11299
All Other Automotive Repair and Maintenance,8111,811198
All Other Basic Inorganic Chemical Manufacturing,3251,325188
All Other Basic Organic Chemical Manufacturing,3251,325199
All Other Business Support Services,5614,561499
All Other Chemical Product and Preparation Manufacturing,3259,32599
All Other Consumer Goods Rental,5322,532299
All Other Converted Paper Product Manufacturing,3222,322299
All Other Crop Farming,1119,11199
All Other Cut and Sew Apparel Manufacturing,3152,315299
All Other Electrical Equipment and Component Manufacturing,3359,33599
All Other Fabricated Metal Product Manufacturing,3329,33299
All Other Financial Investment Activities,5239,52399
All Other Food Manufacturing,3119,31199
All Other General Merchandise Stores,4529,45299
All Other General Purpose Machinery Manufacturing,3339,33399
All Other Grain Farming,1111,111199
All Other Health and Personal Care Stores,4461,446199
All Other Heavy Construction,2349,23499
All Other Home Furnishings Stores,4422,442299
All Other Industrial Machinery Manufacturing,3332,333298
All Other Information Services,5141,514199
