State,Allows Ranges?,Minimum Aggregate Limit,Minimum Premium,Rounding,Min Before Schedule Rating,Schedule Rating Table,Max Aggregate Schedule Rating Debit,Max Aggregate Schedule Rating Credit,Risk Characteristic Change,Allows Removal of Punitive Damages?
AL,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.25,0.25,No,Yes
AK,FALSE,100000,0,1,500,tblPCL_ScheduleRatingCW,-0.4,0.4,Deleted,Yes
AZ,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.25,0.25,No,Yes
AR,TRUE,500000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.4,0.4,No,Yes
CA,FALSE,100000,0,1,500,tblPCL_ScheduleRatingCA,-0.25,0.25,No,Yes
CO,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.25,0.25,No,Yes
CT,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.25,0.25,No,Yes
DE,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.25,0.25,No,Yes
DC,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.25,0.25,No,Yes
FL,FALSE,100000,500,1,1000,tblPCL_ScheduleRatingCW,-0.25,0.25,Refined Definitions,Mandate
GA,FALSE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.5,0.4,No,Yes
HI,FALSE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,0,0,No,Yes
ID,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.5,0.5,No,Yes
IL,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.5,0.5,No,Yes
IN,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.5,0.5,Refined Definitions,Yes
IA,TRUE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.25,0.25,No,Yes
KS,FALSE,100000,0,Standard,500,tblPCL_ScheduleRatingCW,-0.4,0.4,No,Yes
