Lower,Upper,Guideline,Factor Lower,Factor Upper
5000,7500,1000000,4.59,4.36
7500,10000,1000000,4.36,4.15
10000,15000,1000000,4.15,3.81
15000,20000,1000000,3.81,3.55
20000,25000,1000000,3.55,3.33
25000,30000,1000000,3.33,3.17
30000,35000,1000000,3.17,3.04
35000,40000,1000000,3.04,2.95
40000,50000,1000000,2.95,2.8
50000,75000,1000000,2.8,2.38
75000,100000,1000000,2.38,2.14
100000,150000,1000000,2.14,1.93
150000,200000,1000000,1.93,1.74
200000,250000,1000000,1.74,1.56
250000,500000,1000000,1.56,1.25
500000,1000000,1000000,1.25,1
1000000,2000000,1000000,1,0.65
2000000,5000000,1000000,0.65,0.4
5000000,50000000,1000000,0.4,0.3
