Lower,Upper,Increment,Charge (25.6% load),Premium (25.6% load)
0,25,25,335.55,0
25,50,25,237.68,8388.68
50,100,50,209.71,14330.67
100,200,100,145.41,24816.34
200,300,100,103.31,39357.26
300,400,100,81.17,49688.21
400,500,100,66.01,57805.52
500,750,250,58.26,64406.65
750,1000,250,54.38,78971.83
1000,2000,1000,38.83,92566.97
2000,5000,3000,27.19,131397.74
5000,10000,5000,21.75,212968.56
10000,1000000000,999990000,12.43,321710.25
