Limit Low,Limit High,Factor
250000,500000,0.96
500000,1000000,1.13
1000000,2000000,1.44
2000000,3000000,2.06
3000000,4000000,2.45
4000000,5000000,2.75
5000000,10000000,2.95
10000000,15000000,4.1
15000000,30000000,4.95
30000000,30000000,7.5
