Min,Max,Base Premium,Asset Size Category,Asset Size Category Description
1,2499999,2325,1,Asset Size - 0
2500000,5000000,3035,1,Asset Size - 0
5000001,10000000,3615,1,Asset Size - 0
10000001,15000000,5035,1,Asset Size - 0
15000001,25000000,6040,1,Asset Size - 0
25000001,49999999,6455,1,Asset Size - 0
50000000,75000000,6855,2,Asset Size - 50000000
75000001,100000000,6885,2,Asset Size - 50000000
100000001,150000000,6980,2,Asset Size - 50000000
150000001,250000000,7100,3,Asset Size - 150000000
250000001,350000000,7670,3,Asset Size - 150000000
350000001,450000000,8280,3,Asset Size - 150000000
450000001,550000000,8945,3,Asset Size - 150000000
550000001,99999999999999,9660,3,Asset Size - 150000000
