Response,Factor,Description
None,1,0
10% Debit (see rate plan),1.1,"Plan invests in any of the following (only use once for EACH plan): 1. Real property (not mortgages) at more than 5% of plan assets. 2. Limited Partnerships at more than 5% of plan assets. 3. Options, futures, or derivatives at more than 2% of plan assets. 4. Guaranteed Insurance Contracts (or GAC’s) from providers with an A.M. Best rating of less than B+ or S&P rating of less than A-. 5. Employer securities if in standalone ESOP’s or defined benefit plans. 6. Investments of more than 5% of plan assets that do not have a fair market value that is readily determinable on an established market"
20% Debit (see rate plan),1.2,"Plan invests in any of the following (only use once for EACH plan): 1. Real property (not mortgages) at more than 10% of plan assets. 2. Limited Partnerships at more than 10% of plan assets. 3. Options, futures, or derivatives at more than 5% of plan assets. 4. Investments of more than 10% of plan assets that do not have a fair market value that is readily determinable on an established market. 5. Disproportionate investment in other high risk investments (ex. joint ventures, employer stock, volatile market or other speculative investments). Lack of significant diversification of investments."
5% Debit (see rate plan),1.05,Administrative Expenses (only use once for ALL plans) - if any plan has administrative expenses of more than 3% of total plan assets or more than 10% of total plan income.
