Min,Max,Rate in Band per Employee,Rate Running
0,50,0,825
50,100,7.425,825
100,250,5.775,1196
250,500,3.3,2063
500,1000,1.2375,2888
1000,2500,0.825,3506
2500,5000,0.5775,4744
5000,10000,0.495,6188
10000,15000,0.4125,8663
15000,25000,0.33,10725
25000,99999999,0.2475,14025
