BeazleyOcc,NonCAFactor,CAFactor,LevelUp,NonCAMinRet,CAMinRet,NonCAMinPrem,CAMinPrem,TPFactor,Category,Status,Information,WHStatus,WHInformation,CCVisible,DoubleRetCat
Accountants,0.8,0.8,0,7500,100000,0,7500,0.99,High,OK,Watch salaries,Refer,Accountants triggers a W&H refer rule,FALSE,FALSE
Accounting Services,0.8,0.8,0,5000,100000,0,7500,0.99,High,OK,,OK,,FALSE,FALSE
Advertising,1,1,0,25000,100000,10000,25000,0.98,High,OK,,OK,,FALSE,FALSE
Agriculture,0.7,0.7,0,5000,100000,0,7500,0.99,High,OK,,Refer,Agriculture triggers a W&H decline rule,FALSE,FALSE
Architects & Engineers,1,1,0,7500,100000,0,7500,0.99,High,OK,,OK,,FALSE,FALSE
Assisted Living,1.2,1.45,0,5000,100000,0,7500,0.95,High,OK,,OK,DECLINE W&H if home health,FALSE,FALSE
Auto Dealer,1.35,1.35,1,15000,100000,10000,25000,0.95,High,OK, REFER EPL if claims or FTEs greater than 250,Refer,Auto Dealer triggers a W&H decline rule,FALSE,FALSE
Auto Repair,0.85,0.85,0,5000,100000,0,7500,0.95,High,OK,,OK,,FALSE,FALSE
Bio-tech,1,1,0,25000,100000,7500,10000,0.99,High,OK,,OK,,FALSE,FALSE
Casinos,1,1,0,50000,100000,15000,15000,0.95,High,OK,,Refer,Casinos triggers a W&H decline rule,FALSE,FALSE
Collection Agencies,1,1,0,5000,100000,0,7500,0.95,High,OK,"TP ok if admin duties only, otherwise exclude TP",OK,,FALSE,FALSE
Communications,1,1,0,5000,100000,5000,7500,0.99,High,OK,,OK,,FALSE,FALSE
Construction,0.7,0.7,0,5000,100000,5000,7500,0.98,High,OK,,Refer,Construction triggers a W&H refer rule,FALSE,FALSE
Consulting,1,1,0,15000,100000,0,7500,0.99,High,OK,Watch salaries,OK,,FALSE,FALSE
Contractors,0.7,0.7,0,5000,100000,0,7500,0.95,High,OK,,OK,Refer W&H if general contractors,FALSE,FALSE
Distributor,0.7,0.7,0,5000,100000,0,7500,0.99,High,OK,,OK,,FALSE,FALSE
Education,1,1,1,5000,100000,5000,7500,0.95,High,OK,,OK,,FALSE,FALSE
Entertainment,1,1,0,50000,100000,0,7500,0.93,High,OK,Entertainment triggers an EPL decline rule,Refer,Entertainment triggers a W&H decline rule,FALSE,FALSE
Gas Station,0.7,0.7,0,5000,100000,0,7500,0.95,High,OK,,OK,,FALSE,FALSE
Golf Club or Country Club,1,1,0,5000,100000,5000,7500,0.95,High,OK,Apply membership discrimination exclusion for EPL,OK,Golf Club or Country Club triggers a W&H decline rule,FALSE,FALSE
Health Club,1,1,0,5000,100000,5000,7500,0.95,High,OK,,OK,,FALSE,FALSE
Healthcare,1,1.45,0,5000,100000,5000,7500,0.95,High,OK,DECLINE EPL if drug/alcohol rehab,OK,,FALSE,FALSE
Hi-tech,1.15,1.25,0,50000,100000,7500,10000,0.99,High,OK,,OK,"If CA, W&H SIR needs to be increased one level up",FALSE,FALSE
Hotel,1,1.25,0,5000,100000,0,7500,0.95,High,OK,,OK,,FALSE,FALSE
Household Staff,1,1,0,5000,100000,0,7500,0.93,High,OK,Household Staff triggers an EPL decline rule,Refer,Household Staff triggers a WH decline rule,FALSE,FALSE
Insurance,1,1.45,0,25000,100000,5000,7500,0.95,High,OK,,OK,,FALSE,FALSE
Investment,1,1,0,100000,100000,0,7500,0.93,High,OK,Investment triggers an EPL refferal rule,Refer,Investment triggers a WH refferal rule,FALSE,FALSE
Law Firm,1.15,1.25,0,15000,100000,0,7500,0.99,High,OK,,OK,,FALSE,FALSE
Leasing,1,1,0,5000,100000,0,7500,0.98,High,OK,,OK,,FALSE,FALSE
Leisure,1,1,0,5000,100000,0,7500,0.95,High,OK,,OK,,FALSE,FALSE
Lumber,0.7,0.7,0,5000,100000,0,7500,0.99,High,OK,,OK,,FALSE,FALSE
Management Services,1,1,0,7500,100000,0,7500,0.99,High,OK,,OK,,FALSE,FALSE
Manufacturing,0.9,1,0,5000,100000,0,7500,0.99,High,OK,,OK,"DECLINE W&H if cut, sewing or canning",FALSE,FALSE
Mining,1,1,0,5000,100000,0,7500,0.99,High,OK,,OK,,FALSE,FALSE
