Characteristic,CW,CA,GA,NY,N/A
Sponsor,0.25,0.05,0.25,0.1,0
Benefit Plans,0.25,0.1,0.25,0.1,0
Litigation,0.25,0.1,0.25,0.1,0
Other (n/a in NY & NYFTZ),0.25,0.05,0.25,0,0
Expense Factor (GA only),0,0,0.15,0,0
