Min,Max,Rate per Employee in Band,Rate Running Total
0,50,0,550
50,100,4.95,550
100,250,3.85,797.5
250,500,2.2,1375
500,1000,0.825,1925
1000,2500,0.55,2337.5
2500,5000,0.385,3162.5
5000,10000,0.33,4125
10000,15000,0.275,5775
15000,25000,0.22,7150
25000,25000,0.165,9350
