Lower,Upper,Group1,Group2,Group3,Group4,Group5
1,500,35000,25000,25000,25000,25000
500,1000,50000,25000,25000,25000,25000
1000,5000,75000,50000,50000,50000,50000
5000,10000,100000,75000,75000,75000,75000
10000,1000000,250000,100000,100000,100000,100000
