Lower,Upper,Group1,Group2,Group3,Group4,Group5
0,10,100000,25000,20000,20000,20000
10,25,100000,25000,20000,20000,20000
25,50,100000,35000,25000,25000,25000
50,75,100000,50000,35000,35000,35000
75,100,100000,75000,50000,50000,50000
100,150,100000,100000,75000,75000,75000
150,200,150000,100000,100000,100000,100000
200,300,200000,150000,150000,150000,150000
300,400,350000,350000,250000,250000,250000
400,500,500000,500000,500000,500000,500000
500,1000,750000,750000,750000,750000,750000
1000,2000,1500000,1500000,1000000,1000000,1000000
2000,1000000,2000000,2000000,1500000,1500000,1500000
