Lower,Upper,Guideline,Factor Lower,Factor Upper
5000,7500,750000,4.13,3.93
7500,10000,750000,3.93,3.74
10000,15000,750000,3.74,3.43
15000,20000,750000,3.43,3.2
20000,25000,750000,3.2,3
25000,30000,750000,3,2.85
30000,35000,750000,2.85,2.74
35000,40000,750000,2.74,2.66
40000,50000,750000,2.66,2.52
50000,75000,750000,2.52,2.15
75000,100000,750000,2.15,1.93
100000,150000,750000,1.93,1.74
150000,200000,750000,1.74,1.57
200000,250000,750000,1.57,1.41
250000,500000,750000,1.41,1.13
500000,750000,750000,1.13,1
750000,1000000,750000,1,0.9
1000000,2000000,750000,0.9,0.7
2000000,5000000,750000,0.7,0.48
5000000,50000000,750000,0.48,0.3
