StateCode,StateName,ZIP,County
AL,Alabama,35404,Tuscaloosa
AL,Alabama,35405,Tuscaloosa
AL,Alabama,35406,Tuscaloosa
AL,Alabama,35407,Tuscaloosa
AL,Alabama,35440,Tuscaloosa
AL,Alabama,35441,Hale
AL,Alabama,35442,Pickens
AL,Alabama,35443,Greene
AL,Alabama,35444,Tuscaloosa
AL,Alabama,35446,Tuscaloosa
AL,Alabama,35447,Pickens
AL,Alabama,35448,Greene
AL,Alabama,35449,Tuscaloosa
AL,Alabama,35452,Tuscaloosa
AL,Alabama,35453,Tuscaloosa
AL,Alabama,35456,Tuscaloosa
AL,Alabama,35457,Tuscaloosa
AL,Alabama,35458,Tuscaloosa
AL,Alabama,35459,Sumter
AL,Alabama,35460,Sumter
AL,Alabama,35461,Pickens
AL,Alabama,35462,Greene
AL,Alabama,35463,Tuscaloosa
AL,Alabama,35464,Sumter
AL,Alabama,35466,Pickens
AL,Alabama,35468,Tuscaloosa
AL,Alabama,35469,Greene
AL,Alabama,35470,Sumter
AL,Alabama,35471,Pickens
AL,Alabama,35473,Tuscaloosa
AL,Alabama,35474,Hale
AL,Alabama,35475,Tuscaloosa
AL,Alabama,35476,Tuscaloosa
AL,Alabama,35477,Sumter
AL,Alabama,35478,Tuscaloosa
AL,Alabama,35480,Tuscaloosa
AL,Alabama,35481,Pickens
AL,Alabama,35482,Tuscaloosa
AL,Alabama,35485,Tuscaloosa
AL,Alabama,35486,Tuscaloosa
AL,Alabama,35487,Tuscaloosa
AL,Alabama,35490,Tuscaloosa
AL,Alabama,35491,Greene
AL,Alabama,35501,Walker
AL,Alabama,35502,Walker
AL,Alabama,35503,Walker
AL,Alabama,35504,Walker
AL,Alabama,35540,Winston
AL,Alabama,35541,Winston
AL,Alabama,35542,Fayette
AL,Alabama,35543,Marion
AL,Alabama,35544,Lamar
AL,Alabama,35545,Fayette
AL,Alabama,35546,Fayette
AL,Alabama,35548,Marion
AL,Alabama,35549,Walker
AL,Alabama,35550,Walker
AL,Alabama,35551,Winston
AL,Alabama,35552,Lamar
AL,Alabama,35553,Winston
AL,Alabama,35554,Fayette
AL,Alabama,35555,Fayette
AL,Alabama,35559,Fayette
AL,Alabama,35560,Walker
AL,Alabama,35563,Marion
AL,Alabama,35564,Marion
AL,Alabama,35565,Winston
AL,Alabama,35570,Marion
AL,Alabama,35571,Franklin
AL,Alabama,35572,Winston
AL,Alabama,35573,Walker
AL,Alabama,35574,Lamar
AL,Alabama,35575,Winston
AL,Alabama,35576,Lamar
AL,Alabama,35577,Winston
AL,Alabama,35578,Walker
AL,Alabama,35579,Walker
AL,Alabama,35580,Walker
AL,Alabama,35581,Franklin
AL,Alabama,35582,Franklin
AL,Alabama,35584,Walker
AL,Alabama,35585,Franklin
AL,Alabama,35586,Lamar
AL,Alabama,35587,Walker
AL,Alabama,35592,Lamar
