Limit Low,Limit High,Factor
250000,500000,0.725
500000,1000000,0.825
1000000,2000000,1
2000000,3000000,1.3
3000000,4000000,1.55
4000000,5000000,1.75
5000000,6000000,1.95
6000000,7000000,2.1
7000000,8000000,2.2
8000000,9000000,2.3
9000000,10000000,2.4
10000000,11000000,2.5
11000000,12000000,2.575
12000000,13000000,2.65
13000000,14000000,2.725
14000000,15000000,2.8
15000000,16000000,2.875
16000000,17000000,2.95
17000000,18000000,3.025
18000000,19000000,3.1
19000000,20000000,3.175
20000000,21000000,3.25
21000000,22000000,3.31
22000000,23000000,3.37
23000000,24000000,3.43
24000000,25000000,3.49
25000000,26000000,3.55
26000000,27000000,3.61
27000000,28000000,3.67
28000000,29000000,3.73
29000000,30000000,3.79
30000000,30000001,3.85
