State,Risk Group
Alabama,Above Average
Alaska,High
Arizona,Average
Arkansas,Above Average
California,High
Colorado,Average
Connecticut,Average
Delaware,Average
District_of_Columbia,Above Average
Florida,Average
Georgia,Average
Hawaii,Above Average
Idaho,Average
Illinois,Average
Indiana,Average
Iowa,Average
Kansas,Average
Kentucky,Below Average
Louisiana,Average
Maine,Below Average
Maryland,Average
Massachusetts,Above Average
Michigan,Average
Minnesota,Average
Mississippi,Average
Missouri,Average
Montana,Average
Nebraska,Average
Nevada,Average
New Hampshire,Below Average
New Jersey,Above Average
New Mexico,Above Average
New York - metro,Moderate
New York - non-metro,Average
North Carolina,Below Average
North Dakota,Below Average
Ohio,Average
Oklahoma,Below Average
Oregon,Average
Pennsylvania,Average
Rhode_Island,Average
South Carolina,Below Average
South Dakota,Below Average
Tennessee,Below Average
Texas,Average
Utah,Below Average
Vermont,Average
Virginia,Average
Washington,Average
West Virginia,Average
Wisconsin,Average
Wyoming,Below Average
Puerto_Rico,Average
