Limit Low,Limit High,Factor
250000,500000,0.67
500000,1000000,0.78
1000000,2000000,1
2000000,3000000,1.43
3000000,4000000,1.71
4000000,5000000,1.9
5000000,10000000,2.05
10000000,15000000,2.75
15000000,30000000,3.25
30000000,30000000,4.3
