WHDefenseSubLimit,GuideCoins,CAFactor,NonCAFactor,CAMinPrem,NonCAMinPrem
50000,0,0.15,0.075,1500,1000
100000,0,0.2,0.12,2000,1200
150000,0,0.25,0.15,2500,1500
250000,0.1,0.3,0.2,3000,2000
350000,0.16,0.32,0.22,3200,2200
500000,0.25,0.35,0.25,3500,2500
750000,0.25,0.425,0.3,4750,3750
1000000,0.25,0.5,0.35,6000,5000
