Limit - low,Limit - High,Factor
100000,250000,0.65
250000,500000,0.7
500000,1000000,0.85
1000000,2000000,1
2000000,3000000,1.5
3000000,4000000,1.85
4000000,5000000,2.1
5000000,8000000,2.3
8000000,10000000,2.85
10000000,15000000,3.2
15000000,20000000,4.05
20000000,25000000,4.8
25000000,999999999,5.4
