Lower Guideline,Upper Guideline,Lower Factor,Upper Factor
5000,500000,tblgEPL_DeductibleFactor500kLower,tblgEPL_DeductibleFactor500kLower
750000,1000000,tblgEPL_DeductibleFactor750k,tblgEPL_DeductibleFactor750k
1000000,2000000,tblgEPL_DeductibleFactor1m,tblgEPL_DeductibleFactor1m
2000000,5000000,tblgEPL_DeductibleFactor2m,tblgEPL_DeductibleFactor2m
5000000,5000000,tblgEPL_DeductibleFactor5m,tblgEPL_DeductibleFactor5m
5000000,5000000,tblgEPL_DeductibleFactor5m,tblgEPL_DeductibleFactor5m
5000000,5000000,tblgEPL_DeductibleFactor5m,tblgEPL_DeductibleFactor5m
