Min,Max,Rate per Employee in Band,Rate Running Total
0,100000,0,150
100000,1000000,0.187,150
1000000,2500000,0.11,318.3
2500000,5000000,0.0715,483.3
5000000,10000000,0.055,662.05
10000000,25000000,0.044,937.05
25000000,50000000,0.033,1597.05
50000000,100000000,0.022,2422.05
100000000,250000000,0.0132,3522.05
250000000,500000000,0.011,5502.05
500000000,1000000000,0.0066,8252.05
1000000000,1000000000,0.0022,11552.05
1000000001,1000000000000,0.0022,11552.05
