Retention - Low,Retention - High,Asset Size - 0,Asset Size - 50000000,Asset Size - 150000000
0,5000,0.3,0,0
5000,10000,0.2,0.6,0
10000,15000,0.1,0.45,1.25
15000,20000,0,0.3,1
20000,25000,-0.05,0.25,0.75
25000,30000,-0.1,0.15,0.6
30000,35000,-0.15,0.1,0.5
35000,40000,-0.2,0,0.4
40000,50000,-0.25,-0.05,0.3
50000,75000,-0.3,-0.1,0.2
75000,100000,-0.4,-0.15,0
100000,250000,-0.5,-0.2,-0.1
250000,500000,-0.6,-0.3,-0.2
500000,1000000,0,-0.45,-0.25
1000000,999999999,0,-0.55,-0.4
