Lower,Upper,Guideline,Factor Lower,Factor Upper
5000,7500,5000000,4.59,4.59
7500,10000,5000000,4.59,4.59
10000,15000,5000000,4.59,4.36
15000,20000,5000000,4.36,4.15
20000,25000,5000000,4.15,3.81
25000,30000,5000000,3.81,3.55
30000,35000,5000000,3.55,3.33
35000,40000,5000000,3.33,3.17
40000,50000,5000000,3.17,3.04
50000,75000,5000000,3.04,2.95
75000,100000,5000000,2.95,2.8
100000,150000,5000000,2.8,2.38
150000,200000,5000000,2.38,2.14
200000,250000,5000000,2.14,1.93
250000,500000,5000000,1.93,1.74
500000,1000000,5000000,1.74,2.5
1000000,2000000,5000000,2.5,1.33
2000000,5000000,5000000,1.33,1
5000000,10000000,5000000,1,0.56
10000000,50000000,5000000,0.56,0.49
