Attachment Point,Next Attachment Point
0,10000
10000,15000
15000,20000
20000,25000
25000,50000
50000,100000
100000,250000
250000,500000
500000,1000000
1000000,2000000
2000000,3000000
3000000,4000000
4000000,5000000
5000000,10000000
10000000,15000000
15000000,20000000
20000000,25000000
25000000,30000000
30000000,35000000
35000000,40000000
40000000,45000000
45000000,50000000
50000000,60000000
60000000,70000000
70000000,80000000
80000000,90000000
90000000,100000000
100000000,125000000
125000000,150000000
150000000,175000000
175000000,200000000
200000000,250000000
250000000,300000000
300000000,400000000
400000000,500000000
500000000,600000000
600000000,700000000
