Characteristic,CA,HI,NE,NY,NYFTZ,LA,Other,GA
Sponsor,0.05,0,0,0.1,0.1,0.1,0.25,0.25
Benefit Plans,0.1,0,0,0.1,0.1,0.1,0.25,0.25
Litigation,0.1,0,0,0.1,0.1,0.1,0.25,0.25
Other,0.05,0,0,0,0,0.1,0.25,0.25
Expense Factor,0,0,0,0,0,0,0,0.15
