Response,Value,Global
Less than 25% of employees are plan participants,0.7,Above Average
"Total employees accurately represent the exposure under the policy, i.e. risk not considered to have Above Average or Below Average employee exposure.",1,Average
Number of Participants is over six times the number of employees.,1.3,Below Average
