Location and Nationality,Sex,Age Attained,q(Natural only),q(Non-natural only),"Pure risk rate",Code
United Kingdom,M,17,0.056429474,0.101346803,0.157776277,United KingdomM17
United Kingdom,M,18,0.062520873,0.103007883,0.165528756,United KingdomM18
United Kingdom,M,19,0.069020116,0.104642045,0.173662161,United KingdomM19
United Kingdom,M,20,0.075949894,0.106245313,0.182195207,United KingdomM20
United Kingdom,M,21,0.083334016,0.107813516,0.191147533,United KingdomM21
United Kingdom,M,22,0.091197452,0.109342287,0.200539739,United KingdomM22
United Kingdom,M,23,0.097409625,0.10842638,0.205836005,United KingdomM23
United Kingdom,M,24,0.103819978,0.107452169,0.211272146,United KingdomM24
United Kingdom,M,25,0.110432892,0.106418964,0.216851856,United KingdomM25
United Kingdom,M,26,0.117252798,0.105326129,0.222578927,United KingdomM26
United Kingdom,M,27,0.12428417,0.104173079,0.228457249,United KingdomM27
United Kingdom,M,28,0.133156647,0.104231389,0.237388036,United KingdomM28
United Kingdom,M,29,0.142455424,0.104212519,0.246667943,United KingdomM29
United Kingdom,M,30,0.152197245,0.104113373,0.256310618,United KingdomM30
United Kingdom,M,31,0.162399392,0.103930849,0.266330241,United KingdomM31
United Kingdom,M,32,0.1730797,0.103661849,0.276741549,United KingdomM32
United Kingdom,M,33,0.187580728,0.105166979,0.292747708,United KingdomM33
United Kingdom,M,34,0.203082946,0.106596683,0.309679629,United KingdomM34
United Kingdom,M,35,0.219648033,0.107942826,0.327590858,United KingdomM35
United Kingdom,M,36,0.237341129,0.109196907,0.346538036,United KingdomM36
United Kingdom,M,37,0.25623101,0.110350069,0.366581079,United KingdomM37
United Kingdom,M,38,0.282057543,0.113677171,0.395734714,United KingdomM38
United Kingdom,M,39,0.310237218,0.116969675,0.427206893,United KingdomM39
United Kingdom,M,40,0.340970305,0.120211702,0.461182006,United KingdomM40
United Kingdom,M,41,0.374473192,0.123385917,0.497859109,United KingdomM41
United Kingdom,M,42,0.410979625,0.12647346,0.537453086,United KingdomM42
United Kingdom,M,43,0.454901409,0.130648476,0.585549885,United KingdomM43
United Kingdom,M,44,0.503192686,0.134758192,0.637950877,United KingdomM44
United Kingdom,M,45,0.556265836,0.138775411,0.695041247,United KingdomM45
United Kingdom,M,46,0.614570451,0.142670196,0.757240647,United KingdomM46
United Kingdom,M,47,0.678596544,0.14640974,0.825006285,United KingdomM47
United Kingdom,M,48,0.764378228,0.153062069,0.917440297,United KingdomM48
United Kingdom,M,49,0.860543129,0.159687522,1.02023065,United KingdomM49
United Kingdom,M,50,0.968305214,0.16623246,1.134537674,United KingdomM50
United Kingdom,M,51,1.089016112,0.172635587,1.261651698,United KingdomM51
United Kingdom,M,52,1.224180274,0.178827352,1.403007626,United KingdomM52
United Kingdom,M,53,1.373947507,0.184524663,1.558472171,United KingdomM53
United Kingdom,M,54,1.541330981,0.189832458,1.731163439,United KingdomM54
United Kingdom,M,55,1.728335598,0.194654692,1.92299029,United KingdomM55
United Kingdom,M,56,1.937187607,0.198885494,2.136073102,United KingdomM56
United Kingdom,M,57,2.170358298,0.202408906,2.372767205,United KingdomM57
United Kingdom,M,58,2.429594729,0.205014773,2.634609502,United KingdomM58
United Kingdom,M,59,2.718697486,0.206649432,2.925346918,United KingdomM59
United Kingdom,M,60,3.040999956,0.207168163,3.248168118,United KingdomM60
United Kingdom,M,61,3.400196331,0.206417319,3.60661365,United KingdomM61
United Kingdom,M,62,3.800379416,0.204235353,4.004614769,United KingdomM62
United Kingdom,M,63,4.240943772,0.227911625,4.468855398,United KingdomM63
United Kingdom,M,64,4.732581175,0.254332603,4.986913777,United KingdomM64
United Kingdom,M,65,5.281212338,0.283816469,5.565028807,United KingdomM65
United Kingdom,M,66,5.893444344,0.316718295,6.210162639,United KingdomM66
United Kingdom,M,67,6.576650212,0.353434311,6.930084522,United KingdomM67
United Kingdom,M,68,7.284955648,0.391499197,7.676454845,United KingdomM68
United Kingdom,M,69,8.069545601,0.433663673,8.503209274,United KingdomM69
United Kingdom,M,70,8.938635918,0.480369264,9.419005182,United KingdomM70
United Kingdom,M,71,9.901327289,0.532105049,10.43343234,United KingdomM71
United Kingdom,M,72,10.96770055,0.58941278,11.55711333,United KingdomM72
United Kingdom,M,73,12.21644821,0.656521453,12.87296966,United KingdomM73
United Kingdom,M,74,13.60737432,0.731270907,14.33864523,United KingdomM74
United Kingdom,M,75,15.15666688,0.814531097,15.97119798,United KingdomM75
Austria,M,17,0.05642745,0.101343167,0.157770617,AustriaM17
Austria,M,18,0.063063688,0.103902211,0.166965899,AustriaM18
Austria,M,19,0.070226321,0.106470785,0.176697106,AustriaM19
Austria,M,20,0.077950933,0.10904454,0.186995472,AustriaM20
Austria,M,21,0.086275277,0.111618777,0.197894054,AustriaM21
Austria,M,22,0.095239402,0.114188432,0.209427834,AustriaM22
Austria,M,23,0.102051251,0.11359296,0.215644211,AustriaM23
Austria,M,24,0.109113853,0.112931253,0.222045106,AustriaM24
Austria,M,25,0.116434025,0.112201972,0.228635997,AustriaM25
Austria,M,26,0.124018702,0.111403821,0.235422523,AustriaM26
Austria,M,27,0.131874943,0.110535548,0.242410491,AustriaM27
Austria,M,28,0.141614914,0.11085229,0.252467205,AustriaM28
Austria,M,29,0.151853501,0.111087633,0.262941134,AustriaM29
Austria,M,30,0.162611886,0.111237703,0.273849589,AustriaM30
Austria,M,31,0.173912009,0.111298586,0.285210594,AustriaM31
Austria,M,32,0.185776587,0.111266339,0.297042926,AustriaM32
Austria,M,33,0.201728915,0.113099148,0.314828063,AustriaM33
Austria,M,34,0.218820738,0.11485733,0.333678067,AustriaM34
Austria,M,35,0.237125046,0.11653165,0.353656696,AustriaM35
Austria,M,36,0.256719112,0.118112412,0.374831524,AustriaM36
Austria,M,37,0.277684715,0.119589458,0.397274173,AustriaM37
Austria,M,38,0.306161576,0.123391778,0.429553355,AustriaM38
Austria,M,39,0.337286955,0.127168318,0.464455273,AustriaM39
Austria,M,40,0.371291395,0.130901635,0.502193031,AustriaM40
Austria,M,41,0.408424457,0.134572586,0.542997043,AustriaM41
Austria,M,42,0.448956206,0.138160243,0.587116448,AustriaM42
Austria,M,43,0.498111952,0.143058619,0.641170571,AustriaM43
Austria,M,44,0.552293579,0.147907722,0.700201302,AustriaM44
Austria,M,45,0.611989621,0.152677201,0.764666822,AustriaM45
Austria,M,46,0.6777341,0.157333397,0.835067497,AustriaM46
Austria,M,47,0.750110595,0.161839164,0.911949759,AustriaM47
Austria,M,48,0.846463925,0.169499229,1.015963154,AustriaM48
Austria,M,49,0.954683192,0.177156714,1.131839906,AustriaM49
Austria,M,50,1.076181185,0.184751918,1.260933104,AustriaM50
Austria,M,51,1.212533984,0.192216179,1.404750163,AustriaM51
Austria,M,52,1.365499298,0.199471131,1.564970428,AustriaM52
Austria,M,53,1.533850303,0.206000018,1.73985032,AustriaM53
Austria,M,54,1.722167843,0.212104576,1.93427242,AustriaM54
Austria,M,55,1.932744184,0.217676315,2.150420499,AustriaM55
Austria,M,56,2.168126982,0.222595377,2.390722359,AustriaM56
Austria,M,57,2.431146893,0.226730206,2.657877099,AustriaM57
Austria,M,58,2.721101603,0.229612791,2.950714394,AustriaM58
Austria,M,59,3.04440877,0.231406894,3.275815664,AustriaM59
Austria,M,60,3.404784662,0.231951001,3.636735663,AustriaM60
Austria,M,61,3.806347089,0.231073704,4.037420794,AustriaM61
Austria,M,62,4.2536574,0.228594866,4.482252266,AustriaM62
Austria,M,63,4.754249964,0.2554971,5.009747065,AustriaM63
Austria,M,64,5.313754869,0.28556533,5.5993202,AustriaM64
Austria,M,65,5.939105227,0.319172146,6.258277373,AustriaM65
Austria,M,66,6.638050072,0.356733987,6.994784059,AustriaM66
Austria,M,67,7.419250388,0.398716301,7.81796669,AustriaM67
Austria,M,68,8.213689438,0.441410075,8.655099514,AustriaM68
Austria,M,69,9.093195493,0.488675416,9.581870909,AustriaM69
Austria,M,70,10.06687736,0.541001839,10.6078792,AustriaM70
Austria,M,71,11.14481921,0.598931275,11.74375049,AustriaM71
Austria,M,72,12.338185,0.663063683,13.00124868,AustriaM72
Austria,M,73,13.7226833,0.737467701,14.460151,AustriaM73
Austria,M,74,15.26253958,0.820220778,16.08276035,AustriaM74
Austria,M,75,16.97518694,0.912259783,17.88744672,AustriaM75
Belgium,M,17,0.059622556,0.107081547,0.166704102,BelgiumM17
Belgium,M,18,0.066574079,0.109685847,0.176259927,BelgiumM18
Belgium,M,19,0.074068127,0.112295383,0.186363511,BelgiumM19
Belgium,M,20,0.082140701,0.114905552,0.197046253,BelgiumM20
Belgium,M,21,0.090829954,0.117511398,0.208341352,BelgiumM21
Belgium,M,22,0.100176311,0.120107599,0.22028391,BelgiumM22
Belgium,M,23,0.107257511,0.119388034,0.226645545,BelgiumM23
Belgium,M,24,0.114590941,0.118599959,0.2331909,BelgiumM24
Belgium,M,25,0.122183148,0.117742131,0.239925279,BelgiumM25
Belgium,M,26,0.130040788,0.116813355,0.246854143,BelgiumM26
Belgium,M,27,0.13817062,0.115812487,0.253983107,BelgiumM27
Belgium,M,28,0.148260189,0.11605403,0.264314219,BelgiumM28
Belgium,M,29,0.158855589,0.116209975,0.275065564,BelgiumM29
Belgium,M,30,0.169977764,0.11627647,0.286254234,BelgiumM30
Belgium,M,31,0.181648381,0.116249638,0.297898019,BelgiumM31
Belgium,M,32,0.193889851,0.11612558,0.310015431,BelgiumM32
Belgium,M,33,0.210366313,0.117941699,0.328308012,BelgiumM33
Belgium,M,34,0.228002951,0.119677003,0.347679954,BelgiumM34
Belgium,M,35,0.24687287,0.121322076,0.368194946,BelgiumM35
Belgium,M,36,0.267053384,0.122867047,0.389920432,BelgiumM36
Belgium,M,37,0.288626236,0.124301603,0.412927839,BelgiumM37
Belgium,M,38,0.317768347,0.128069635,0.445837982,BelgiumM38
Belgium,M,39,0.349571174,0.131799874,0.481371048,BelgiumM39
Belgium,M,40,0.384261674,0.135474407,0.519736081,BelgiumM40
Belgium,M,41,0.422085122,0.139073666,0.561158788,BelgiumM41
Belgium,M,42,0.463306509,0.142576356,0.605882865,BelgiumM42
Belgium,M,43,0.513211868,0.147395341,0.66060721,BelgiumM43
Belgium,M,44,0.568126476,0.152147872,0.720274348,BelgiumM44
Belgium,M,45,0.628527663,0.156803058,0.785330721,BelgiumM45
Belgium,M,46,0.694936277,0.161326817,0.856263094,BelgiumM46
Belgium,M,47,0.767920482,0.165681714,0.933602196,BelgiumM47
Belgium,M,48,0.865339699,0.173278987,1.038618686,BelgiumM48
Belgium,M,49,0.974596111,0.180851874,1.155447985,BelgiumM49
Belgium,M,50,1.097079286,0.188339571,1.285418857,BelgiumM50
Belgium,M,51,1.234337043,0.195672495,1.430009538,BelgiumM51
Belgium,M,52,1.388092946,0.202771594,1.59086454,BelgiumM52
Belgium,M,53,1.557438019,0.209167908,1.766605928,BelgiumM53
Belgium,M,54,1.746642412,0.215118898,1.96176131,BelgiumM54
Belgium,M,55,1.957959168,0.220516166,2.178475334,BelgiumM55
Belgium,M,56,2.193889247,0.225240315,2.419129562,BelgiumM56
Belgium,M,57,2.457207971,0.229160678,2.686368649,BelgiumM57
Belgium,M,58,2.748583722,0.231931796,2.980515518,BelgiumM58
Belgium,M,59,3.073269694,0.233600626,3.30687032,BelgiumM59
Belgium,M,60,3.434953448,0.234006249,3.668959697,BelgiumM60
Belgium,M,61,3.837718277,0.23297817,4.070696447,BelgiumM61
Belgium,M,62,4.286084288,0.230337512,4.5164218,BelgiumM62
Belgium,M,63,4.786342117,0.257221758,5.043563874,BelgiumM63
Belgium,M,64,5.344988413,0.287243845,5.632232258,BelgiumM64
Belgium,M,65,5.968838089,0.320770013,6.289608102,BelgiumM65
Belgium,M,66,6.665501472,0.358209247,7.023710719,BelgiumM66
Belgium,M,67,7.443477141,0.400018266,7.843495407,BelgiumM67
Belgium,M,68,8.235970369,0.44260747,8.678577839,BelgiumM68
Belgium,M,69,9.112838884,0.489731068,9.602569952,BelgiumM69
Belgium,M,70,10.08306597,0.541871827,10.62493779,BelgiumM70
Belgium,M,71,11.15659133,0.599563918,11.75615525,BelgiumM71
Belgium,M,72,12.34441295,0.663398378,13.00781133,BelgiumM72
Belgium,M,73,13.72067207,0.737359616,14.45803168,BelgiumM73
Belgium,M,74,15.25036814,0.819566675,16.06993481,BelgiumM74
Belgium,M,75,16.95060761,0.910938871,17.86154648,BelgiumM75
Czech Republic,M,17,0.062781932,0.112755757,0.175537689,Czech RepublicM17
Czech Republic,M,18,0.071495555,0.117794352,0.189289907,Czech RepublicM18
Czech Republic,M,19,0.081125058,0.122994463,0.204119521,Czech RepublicM19
Czech Republic,M,20,0.091755445,0.128355492,0.220110938,Czech RepublicM20
Czech Republic,M,21,0.103479024,0.133876152,0.237355176,Czech RepublicM21
Czech Republic,M,22,0.116395997,0.139554388,0.255950386,Czech RepublicM22
Czech Republic,M,23,0.125614328,0.139820955,0.265435283,Czech RepublicM23
Czech Republic,M,24,0.135269599,0.140002069,0.275271668,Czech RepublicM24
Czech Republic,M,25,0.145378331,0.140094234,0.285472566,Czech RepublicM25
Czech Republic,M,26,0.155957553,0.14009393,0.296051483,Czech RepublicM26
Czech Republic,M,27,0.167024807,0.139997623,0.30702243,Czech RepublicM27
Czech Republic,M,28,0.180261093,0.141103465,0.321364558,Czech RepublicM28
Czech Republic,M,29,0.194263912,0.142112747,0.336376659,Czech RepublicM29
Czech Republic,M,30,0.20907106,0.14301897,0.35209003,Czech RepublicM30
Czech Republic,M,31,0.224721963,0.143815467,0.368537429,Czech RepublicM31
Czech Republic,M,32,0.241257732,0.144495413,0.385753146,Czech RepublicM32
Czech Republic,M,33,0.262999035,0.14745019,0.410449224,Czech RepublicM33
Czech Republic,M,34,0.286398157,0.150328199,0.436726356,Czech RepublicM34
Czech Republic,M,35,0.311569479,0.153116282,0.464685761,Czech RepublicM35
Czech Republic,M,36,0.338634671,0.155800468,0.494435139,Czech RepublicM36
Czech Republic,M,37,0.367723118,0.158365967,0.526089084,Czech RepublicM37
Czech Republic,M,38,0.406181236,0.163702532,0.569883768,Czech RepublicM38
Czech Republic,M,39,0.448300198,0.169023976,0.617324174,Czech RepublicM39
Czech Republic,M,40,0.494406855,0.174306937,0.668713792,Czech RepublicM40
Czech Republic,M,41,0.544855767,0.17952561,0.724381377,Czech RepublicM41
Czech Republic,M,42,0.600031437,0.184651616,0.784683053,Czech RepublicM42
Czech Republic,M,43,0.667785837,0.191789254,0.859575091,Czech RepublicM43
Czech Republic,M,44,0.742712018,0.198902987,0.941615005,Czech RepublicM44
Czech Republic,M,45,0.825533552,0.205951454,1.031485006,Czech RepublicM45
Czech Republic,M,46,0.91704411,0.212888307,1.129932416,Czech RepublicM46
Czech Republic,M,47,1.018113987,0.219661897,1.237775884,Czech RepublicM47
Czech Republic,M,48,1.151072243,0.230495183,1.381567426,Czech RepublicM48
Czech Republic,M,49,1.300697865,0.241365263,1.542063128,Czech RepublicM49
Czech Republic,M,50,1.469012765,0.252190737,1.721203502,Czech RepublicM50
Czech Republic,M,51,1.658277153,0.262877332,1.921154485,Czech RepublicM51
Czech Republic,M,52,1.871016866,0.273316765,2.144333631,Czech RepublicM52
Czech Republic,M,53,2.101038627,0.28217486,2.383213487,Czech RepublicM53
Czech Republic,M,54,2.35825832,0.29044636,2.64870468,Czech RepublicM54
Czech Republic,M,55,2.645788434,0.297983293,2.943771727,Czech RepublicM55
Czech Republic,M,56,2.967087075,0.304622318,3.271709393,Czech RepublicM56
Czech Republic,M,57,3.325995191,0.310184291,3.636179481,Czech RepublicM57
Czech Republic,M,58,3.714565179,0.313443525,4.028008704,Czech RepublicM58
Czech Republic,M,59,4.146856413,0.315204441,4.462060854,Czech RepublicM59
Czech Republic,M,60,4.627628553,0.315257257,4.94288581,Czech RepublicM60
Czech Republic,M,61,5.162143088,0.31338065,5.475523738,Czech RepublicM61
Czech Republic,M,62,5.756214473,0.309343454,6.065557927,Czech RepublicM62
Czech Republic,M,63,6.43985594,0.34608288,6.78593882,Czech RepublicM63
Czech Republic,M,64,7.20469064,0.387185693,7.591876332,Czech RepublicM64
Czech Republic,M,65,8.06036155,0.433170115,8.493531665,Czech RepublicM65
Czech Republic,M,66,9.017656909,0.484615914,9.502272823,Czech RepublicM66
Czech Republic,M,67,10.08864623,0.542171715,10.63081794,Czech RepublicM67
Czech Republic,M,68,11.12158023,0.597682394,11.71926262,Czech RepublicM68
Czech Republic,M,69,12.260272,0.658876577,12.91914858,Czech RepublicM69
Czech Republic,M,70,13.51554962,0.726336176,14.2418858,Czech RepublicM70
Czech Republic,M,71,14.89934983,0.800702678,15.70005251,Czech RepublicM71
Czech Republic,M,72,16.42483152,0.882683254,17.30751478,Czech RepublicM72
Czech Republic,M,73,18.13596185,0.974640732,19.11060258,Czech RepublicM73
Czech Republic,M,74,20.02535683,1.076178291,21.10153513,Czech RepublicM74
Czech Republic,M,75,22.111588,1.188293981,23.29988198,Czech RepublicM75
Denmark,M,17,0.049907218,0.089632892,0.13954011,DenmarkM17
Denmark,M,18,0.055898094,0.092096351,0.147994445,DenmarkM18
Denmark,M,19,0.062382425,0.09457858,0.156961005,DenmarkM19
Denmark,M,20,0.069395027,0.097075795,0.166470822,DenmarkM20
Denmark,M,21,0.076972944,0.099583868,0.176556812,DenmarkM21
Denmark,M,22,0.085155576,0.102098307,0.187253883,DenmarkM22
Denmark,M,23,0.091411969,0.101750406,0.193162376,DenmarkM23
Denmark,M,24,0.097915835,0.101341466,0.199257301,DenmarkM24
Denmark,M,25,0.104674585,0.100869956,0.205544541,DenmarkM25
Denmark,M,26,0.111695795,0.100334371,0.212030165,DenmarkM26
Denmark,M,27,0.118987196,0.099733237,0.218720433,DenmarkM27
Denmark,M,28,0.128001639,0.10019619,0.228197828,DenmarkM28
Denmark,M,29,0.137499125,0.100586765,0.23808589,DenmarkM29
Denmark,M,30,0.147501352,0.10090106,0.248402411,DenmarkM30
Denmark,M,31,0.15803085,0.10113511,0.259165959,DenmarkM31
Denmark,M,32,0.169111006,0.101284898,0.270395904,DenmarkM32
Denmark,M,33,0.183970776,0.103143062,0.287113838,DenmarkM33
Denmark,M,34,0.199925853,0.104939549,0.304865403,DenmarkM34
Denmark,M,35,0.217048957,0.106665548,0.323714504,DenmarkM35
Denmark,M,36,0.235417243,0.108311758,0.343729001,DenmarkM36
Denmark,M,37,0.255112557,0.109868389,0.364980946,DenmarkM37
Denmark,M,38,0.282154646,0.113716306,0.395870952,DenmarkM38
Denmark,M,39,0.311811927,0.117563392,0.429375319,DenmarkM39
Denmark,M,40,0.34432196,0.121393354,0.465715314,DenmarkM40
Denmark,M,41,0.379942815,0.125188114,0.505130929,DenmarkM41
Denmark,M,42,0.418954765,0.128927702,0.547882467,DenmarkM42
Denmark,M,43,0.466455388,0.133966799,0.600422186,DenmarkM43
Denmark,M,44,0.519006911,0.138993341,0.658000252,DenmarkM44
Denmark,M,45,0.577121427,0.143978396,0.721099823,DenmarkM45
Denmark,M,46,0.641360892,0.148889495,0.790250387,DenmarkM46
Denmark,M,47,0.712341806,0.153690407,0.866032212,DenmarkM47
Denmark,M,48,0.806364551,0.161469574,0.967834125,DenmarkM48
Denmark,M,49,0.912309274,0.169293557,1.081602831,DenmarkM49
Denmark,M,50,1.031639705,0.177105321,1.208745026,DenmarkM50
Denmark,M,51,1.165994262,0.184838499,1.350832761,DenmarkM51
Denmark,M,52,1.317206348,0.192416532,1.50962288,DenmarkM52
Denmark,M,53,1.483423696,0.199227596,1.682651291,DenmarkM53
Denmark,M,54,1.669850586,0.205661111,1.875511696,DenmarkM54
Denmark,M,55,1.878868626,0.211608552,2.090477178,DenmarkM55
Denmark,M,56,2.113132139,0.216949215,2.330081354,DenmarkM56
Denmark,M,57,2.375598505,0.22154973,2.597148235,DenmarkM57
Denmark,M,58,2.662705856,0.224685224,2.88739108,DenmarkM58
Denmark,M,59,2.983307307,0.226762544,3.210069851,DenmarkM59
Denmark,M,60,3.341190743,0.227618664,3.568809407,DenmarkM60
Denmark,M,61,3.740559778,0.227079923,3.967639701,DenmarkM61
Denmark,M,62,4.186077957,0.224963094,4.41104105,DenmarkM62
Denmark,M,63,4.687814136,0.251926787,4.939740923,DenmarkM63
Denmark,M,64,5.24968756,0.282122303,5.531809863,DenmarkM64
Denmark,M,65,5.878906177,0.315937002,6.194843179,DenmarkM65
Denmark,M,66,6.583541865,0.353804673,6.937346539,DenmarkM66
Denmark,M,67,7.372633989,0.396211099,7.768845088,DenmarkM67
Denmark,M,68,8.172173517,0.439178977,8.611352494,DenmarkM68
Denmark,M,69,9.058420653,0.486806589,9.545227242,DenmarkM69
Denmark,M,70,10.04077857,0.53959927,10.58037784,DenmarkM70
Denmark,M,71,11.12967019,0.598117155,11.72778734,DenmarkM71
Denmark,M,72,12.33664876,0.662981124,12.99962989,DenmarkM72
Denmark,M,73,13.74048051,0.738424137,14.47890464,DenmarkM73
Denmark,M,74,15.30405933,0.822452082,16.12651141,DenmarkM74
Denmark,M,75,17.04556342,0.91604187,17.96160529,DenmarkM75
Finland,M,17,0.048579849,0.087248949,0.135828798,FinlandM17
Finland,M,18,0.054924769,0.090492725,0.145417494,FinlandM18
Finland,M,19,0.061874534,0.093808561,0.155683095,FinlandM19
Finland,M,20,0.069479467,0.097193918,0.166673385,FinlandM20
Finland,M,21,0.077793744,0.10064578,0.178439524,FinlandM21
Finland,M,22,0.086875659,0.104160622,0.191036282,FinlandM22
Finland,M,23,0.093655113,0.104247243,0.197902356,FinlandM23
Finland,M,24,0.100745292,0.104269913,0.205015205,FinlandM24
Finland,M,25,0.10815746,0.104226238,0.212383698,FinlandM25
Finland,M,26,0.115903208,0.104113816,0.220017024,FinlandM26
Finland,M,27,0.123994456,0.103930245,0.227924701,FinlandM27
Finland,M,28,0.133822983,0.104752979,0.238575961,FinlandM28
Finland,M,29,0.144220916,0.105504056,0.249724971,FinlandM29
Finland,M,30,0.155216346,0.106178645,0.261394991,FinlandM30
Finland,M,31,0.166838574,0.106771795,0.273610369,FinlandM31
Finland,M,32,0.179118155,0.107278434,0.286396589,FinlandM32
Finland,M,33,0.195404227,0.109553217,0.304957444,FinlandM33
Finland,M,34,0.212946964,0.111774231,0.324721194,FinlandM34
Finland,M,35,0.231834239,0.11393156,0.345765799,FinlandM35
Finland,M,36,0.25215961,0.116014657,0.368174267,FinlandM36
Finland,M,37,0.274022656,0.118012332,0.392034988,FinlandM37
Finland,M,38,0.303847342,0.122459076,0.426306418,FinlandM38
Finland,M,39,0.336646854,0.126926979,0.463573833,FinlandM39
Finland,M,40,0.372700658,0.131398482,0.50409914,FinlandM40
Finland,M,41,0.412313234,0.135853907,0.548167141,FinlandM41
Finland,M,42,0.455816218,0.140271319,0.596087537,FinlandM42
Finland,M,43,0.509206511,0.146244996,0.655451507,FinlandM43
Finland,M,44,0.568483902,0.152243593,0.720727496,FinlandM44
Finland,M,45,0.634268911,0.158235367,0.792504278,FinlandM45
Finland,M,46,0.707245018,0.164184245,0.871429263,FinlandM46
Finland,M,47,0.788164829,0.170049507,0.958214336,FinlandM47
Finland,M,48,0.894649207,0.179148037,1.073797243,FinlandM48
Finland,M,49,1.01497695,0.188345184,1.203322134,FinlandM49
Finland,M,50,1.150892803,0.197577932,1.348470736,FinlandM50
Finland,M,51,1.304355503,0.206772127,1.51112763,FinlandM51
Finland,M,52,1.477563358,0.215841366,1.693404724,FinlandM52
Finland,M,53,1.666606801,0.223829555,1.890436356,FinlandM53
Finland,M,54,1.878975819,0.231417264,2.110393083,FinlandM54
Finland,M,55,2.117462035,0.238480259,2.355942293,FinlandM55
Finland,M,56,2.385181946,0.244879788,2.630061734,FinlandM56
Finland,M,57,2.685613686,0.250461931,2.936075617,FinlandM57
Finland,M,58,3.010638381,0.254044568,3.26468295,FinlandM58
Finland,M,59,3.373636563,0.256431649,3.630068211,FinlandM59
Finland,M,60,3.778909358,0.25743825,4.036347609,FinlandM60
Finland,M,61,4.231230723,0.256867315,4.488098038,FinlandM61
Finland,M,62,4.735897805,0.254510841,4.990408646,FinlandM62
Finland,M,63,5.312963417,0.285522797,5.598486214,FinlandM63
Finland,M,64,5.960344043,0.320313537,6.28065758,FinlandM64
Finland,M,65,6.686607516,0.359343502,7.045951017,FinlandM65
Finland,M,66,7.50136565,0.403129239,7.904494889,FinlandM66
Finland,M,67,8.415401455,0.452250236,8.867651691,FinlandM67
Finland,M,68,9.320483936,0.500890075,9.82137401,FinlandM68
Finland,M,69,10.32290869,0.554761162,10.87766985,FinlandM69
Finland,M,70,11.43314495,0.614426125,12.04757107,FinlandM70
Finland,M,71,12.66278791,0.680508096,13.34329601,FinlandM71
Finland,M,72,14.02467986,0.753697232,14.77837709,FinlandM72
Finland,M,73,15.58773841,0.837697217,16.42543563,FinlandM73
Finland,M,74,17.32500073,0.931059049,18.25605978,FinlandM74
Finland,M,75,19.25588192,1.03482611,20.29070803,FinlandM75
France,M,17,0.061073802,0.109687972,0.170761775,FranceM17
France,M,18,0.068494514,0.112849909,0.181344423,FranceM18
France,M,19,0.07653996,0.116042952,0.192582912,FranceM19
France,M,20,0.085255326,0.11926256,0.204517885,FranceM20
France,M,21,0.094688766,0.122503741,0.217192507,FranceM21
France,M,22,0.104891583,0.125761032,0.230652615,FranceM22
France,M,23,0.11247582,0.125196519,0.237672339,FranceM23
France,M,24,0.120347642,0.124558061,0.244905703,FranceM24
France,M,25,0.128515189,0.12384402,0.252359209,FranceM25
France,M,26,0.136986758,0.123052798,0.260039556,FranceM26
France,M,27,0.145770804,0.122182844,0.267953648,FranceM27
France,M,28,0.156575648,0.122563144,0.279138792,FranceM28
France,M,29,0.167937233,0.122853604,0.290790837,FranceM29
France,M,30,0.179879401,0.12304987,0.302929271,FranceM30
France,M,31,0.192426854,0.123147544,0.315574397,FranceM31
France,M,32,0.205605179,0.123142189,0.328747367,FranceM32
France,M,33,0.223252747,0.125166467,0.348419214,FranceM33
France,M,34,0.242160178,0.127108023,0.369268201,FranceM34
France,M,35,0.262408119,0.128956647,0.391364766,FranceM35
France,M,36,0.284081944,0.130701619,0.414783563,FranceM36
France,M,37,0.307272005,0.132331707,0.439603712,FranceM37
France,M,38,0.338410133,0.136388859,0.474798992,FranceM38
France,M,39,0.372403602,0.140408454,0.512812055,FranceM39
France,M,40,0.409497134,0.144371362,0.553868497,FranceM40
France,M,41,0.449955305,0.148256668,0.598211973,FranceM41
France,M,42,0.494064069,0.152041582,0.64610565,FranceM42
France,M,43,0.547644856,0.157284555,0.704929412,FranceM43
France,M,44,0.606645253,0.162463445,0.769108698,FranceM44
France,M,45,0.671585985,0.16754511,0.839131095,FranceM45
France,M,46,0.743035672,0.172492909,0.915528581,FranceM46
France,M,47,0.821615049,0.177266517,0.998881566,FranceM47
France,M,48,0.926227329,0.185471363,1.111698692,FranceM48
France,M,49,1.04360095,0.193656824,1.237257774,FranceM49
France,M,50,1.175240194,0.201757737,1.376997931,FranceM50
France,M,51,1.322821401,0.209699422,1.532520823,FranceM51
France,M,52,1.488212083,0.217396924,1.705609007,FranceM52
France,M,53,1.669690036,0.224243641,1.893933678,FranceM53
France,M,54,1.872439909,0.230612292,2.103052202,FranceM54
France,M,55,2.098873782,0.236386747,2.335260529,FranceM55
France,M,56,2.351669008,0.241439111,2.593108119,FranceM56
France,M,57,2.633796499,0.245629429,2.879425928,FranceM57
France,M,58,2.94487826,0.248495579,3.193373839,FranceM58
France,M,59,3.291373167,0.25017877,3.541551938,FranceM59
France,M,60,3.67718417,0.250508221,3.927692391,FranceM60
France,M,61,4.106631101,0.249303187,4.355934288,FranceM61
France,M,62,4.58449374,0.246374268,4.830868009,FranceM62
France,M,63,5.121594816,0.275238499,5.396833315,FranceM63
France,M,64,5.721620521,0.307484348,6.029104869,FranceM64
