Age,gamma,theta
less than 1,1.0,1.0
1-4,-0.655566496099593,0.179913959611087
5-9,0.0964057095234098,-0.0212918954045848
10-14,0.24400049729589,-0.066625925581514
15-19,0.261313892330527,-0.0798035502478003
20-24,1.15240524276267e-06,-1.00571660085278e-06
25-29,-0.265348518633521,0.0998407423417223
30-34,-0.432117207005429,0.17365208935694
35-39,-0.528219554552702,0.22371064696354
40-44,-0.564964812187826,0.249601889659541
45-49,-0.553925558724784,0.258592586402653
50-54,-0.520862763911264,0.239493352221579
55-59,-0.432225696139216,0.193034178751781
60-64,-0.274046165667649,0.113852847373306
65-69,1.15838070723452e-06,-1.00607235993672e-06
70-74,0.384048029859459,-0.147105912531446
75-79,0.900366591678142,-0.328864129412479
80-84,1.51181573094897,-0.53319395193471
85-89,2.23455621290155,-0.744136739180638
90-120,2.23455621290155,-0.744136739180638
