Age,Smoker
20,0.10175
21,0.10322
22,0.10468
23,0.10615
24,0.10761
25,0.10909
26,0.11142
27,0.11375
28,0.11608
29,0.11841
30,0.12075
31,0.12097
32,0.12118
33,0.1214
34,0.12161
35,0.12184
36,0.12732
37,0.13281
38,0.13829
39,0.14377
40,0.14926
41,0.14873
42,0.14819
43,0.14767
44,0.14714
45,0.14661
46,0.14532
47,0.14403
48,0.14275
49,0.14146
50,0.14017
51,0.1343
52,0.12844
53,0.12257
54,0.1167
55,0.11084
56,0.11468
57,0.11852
58,0.12237
59,0.12622
60,0.13005
61,0.12903
62,0.12801
63,0.12699
64,0.12597
65,0.12495
66,0.13808
67,0.15123
68,0.16437
69,0.17751
70,0.19066
71,0.22156
72,0.25246
73,0.28337
74,0.31427
