CountrySex,l(20-24),l(65-69),logit (l(20-24)),logit (l(65-69)),alpha,beta,Affluence flag
BotswanaMale,0.93823,0.44958,2.720577312,-0.20236781,-1.755286246,1.379807053,X
BotswanaFemale,0.95047,0.6098,2.954378052,0.446471606,-0.885942789,1.183883672,X
BrazilMale,0.97173,0.75071,3.537276816,1.102402548,-0.191210908,1.149408062,X
BrazilFemale,0.98384,0.86442,4.108924229,1.85249689,0.653689704,1.065170309,X
Brunei DarussalamMale,0.98197,0.79048,3.997523721,1.327821156,-0.090553176,1.260261235,X
Brunei DarussalamFemale,0.98589,0.83936,4.246661021,1.65347386,0.275751056,1.224141332,X
BulgariaMale,0.98782,0.71989,4.395705233,0.943916039,-0.889969597,1.629453471,X
BulgariaFemale,0.99119,0.86228,4.723018802,1.834357405,0.299653416,1.363623059,X
Burkina FasoMale,0.88294,0.55064,2.020570624,0.20325689,-0.762255593,0.857882103,X
Burkina FasoFemale,0.89646,0.66239,2.158495663,0.673963123,-0.114747528,0.700789233,X
BurundiMale,0.90741,0.55592,2.282413243,0.224619673,-0.868656267,0.971403145,X
BurundiFemale,0.9229,0.65463,2.482417606,0.639453884,-0.339686066,0.86999045,X
CambodiaMale,0.95835,0.65788,3.135911687,0.653860991,-0.664816618,1.171678192,X
CambodiaFemale,0.96903,0.77645,3.443276577,1.245097146,0.077236231,1.03767377,X
CameroonMale,0.88928,0.54492,2.083407655,0.180165767,-0.8309991,0.898445394,X
CameroonFemale,0.9053,0.6303,2.25755238,0.533504031,-0.382457904,0.813855195,X
CanadaMale,0.99202,0.87634,4.822804857,1.958218279,0.436304893,1.352258287,X
CanadaFemale,0.99374,0.91947,5.067295418,2.435167631,1.036756236,1.242523665,X
Cape VerdeMale,0.97594,0.70855,3.702850399,0.888352164,-0.606950011,1.328613557,X
Cape VerdeFemale,0.98309,0.86801,4.06279551,1.883477073,0.725636732,1.028770238,X
Central African RepublicMale,0.85166,0.30508,1.74768045,-0.823222694,-2.189106322,1.213621927,X
Central African RepublicFemale,0.87371,0.46153,1.934167663,-0.154184727,-1.263696126,0.985828758,X
ChadMale,0.84732,0.5322,1.713734199,0.128978504,-0.712979259,0.74810063,X
ChadFemale,0.86453,0.59865,1.853435793,0.399843256,-0.37242942,0.686183678,X
ChileMale,0.98775,0.8484,4.389903692,1.722106749,0.304744848,1.259361666,X
ChileFemale,0.99084,0.91391,4.68370689,2.362338838,1.129029591,1.095826257,X
ChinaMale,0.98708,0.81888,4.335974591,1.508777758,0.006729001,1.334608065,X
ChinaFemale,0.99,0.90523,4.59511985,2.256736152,1.014386738,1.103858672,X
ColombiaMale,0.97608,0.831,3.708829621,1.59273108,0.468478554,0.998926621,X
ColombiaFemale,0.9842,0.90038,4.131819188,2.201453949,1.175878837,0.911249258,X
ComorosMale,0.91535,0.66502,2.380781397,0.685746287,-0.214801333,0.80015919,X
ComorosFemale,0.92864,0.71899,2.565983662,0.939457194,0.075307223,0.767818963,X
CongoMale,0.93119,0.59244,2.605114255,0.374061441,-0.811264627,1.053191997,X
CongoFemale,0.94316,0.62523,2.808995636,0.511807078,-0.708655954,1.084412072,X
Costa RicaMale,0.98445,0.83377,4.148022471,1.612585213,0.265544097,1.196879881,X
Costa RicaFemale,0.98927,0.90696,4.523923741,2.277068839,1.083347352,1.060651538,X
Côte D'IvoireMale,0.881,0.56012,2.001934133,0.241649084,-0.693564884,0.830961111,X
Côte D'IvoireFemale,0.90285,0.66351,2.229300251,0.678975494,-0.144689609,0.731847142,X
CroatiaMale,0.99165,0.80748,4.777108684,1.433718243,-0.342576706,1.578282698,X
CroatiaFemale,0.9942,0.9104,5.144080476,2.318528743,0.817354005,1.333831477,X
CubaMale,0.98947,0.80028,4.54294112,1.388045281,-0.288105214,1.489301834,X
CubaFemale,0.99195,0.88317,4.814000611,2.022797821,0.539872178,1.317616697,X
CyprusMale,0.99538,0.90663,5.372729869,2.273164334,0.626410029,1.463182581,X
CyprusFemale,0.99685,0.94984,5.757197854,2.941075653,1.444910688,1.329380168,X
Czech RepublicMale,0.9936,0.82669,5.045036721,1.562347877,-0.287954296,1.644039977,X
Czech RepublicFemale,0.99552,0.91298,5.403642167,2.350575997,0.728526131,1.441232066,X
"Korea, Democratic People's Republic OfMale",0.97138,0.69207,3.524611967,0.809814622,-0.632517913,1.281548701,X
"Korea, Democratic People's Republic OfFemale",0.97948,0.81245,3.865621798,1.466008897,0.191129295,1.132762562,X
"Congo, The Democratic Republic Of TheMale",0.87965,0.54893,1.989119937,0.196348391,-0.756125183,0.846296705,X
"Congo, The Democratic Republic Of TheFemale",0.89826,0.64842,2.178039019,0.612101353,-0.219858663,0.739217381,X
DenmarkMale,0.99422,0.87887,5.147554827,1.981772642,0.299838389,1.494440848,X
DenmarkFemale,0.99583,0.9222,5.475660524,2.472620689,0.87714909,1.417616607,X
DjiboutiMale,0.91901,0.61376,2.428971313,0.463145034,-0.581270014,0.927989015,X
DjiboutiFemale,0.93179,0.68674,2.614516286,0.784922247,-0.187114584,0.86367915,X
Dominican RepublicMale,0.9606,0.69209,3.193792273,0.809908472,-0.456614486,1.125337475,X
Dominican RepublicFemale,0.96974,0.81441,3.467201286,1.478923985,0.422581034,0.938587257,X
EcuadorMale,0.97674,0.82904,3.737485349,1.578838794,0.431981124,1.019011859,X
EcuadorFemale,0.98245,0.88339,4.024995502,2.024931746,0.962326821,0.944151177,X
EgyptMale,0.96895,0.69708,3.440614203,0.833431438,-0.551727029,1.230748105,X
EgyptFemale,0.97412,0.80108,3.62806403,1.393058083,0.205631774,1.055058114,X
El SalvadorMale,0.97101,0.70172,3.511385824,0.855501821,-0.555530908,1.253738037,X
El SalvadorFemale,0.98334,0.85481,4.077944304,1.772835993,0.548165311,1.088150675,X
Equatorial GuineaMale,0.88888,0.56506,2.079351545,0.26172383,-0.703955467,0.858030321,X
Equatorial GuineaFemale,0.90362,0.61656,2.238110207,0.474972487,-0.461757064,0.832307745,X
EritreaMale,0.93732,0.51682,2.704982322,0.067305396,-1.334054176,1.245143194,X
EritreaFemale,0.95366,0.65263,3.024301695,0.630619859,-0.641108654,1.129962741,X
EstoniaMale,0.99402,0.78131,5.113336759,1.273316796,-0.766830229,1.812721898,X
EstoniaFemale,0.99544,0.91186,5.385862227,2.33656001,0.716509878,1.439455252,X
EthiopiaMale,0.92743,0.67706,2.547865707,0.740293348,-0.220043683,0.853283584,X
EthiopiaFemale,0.94204,0.74307,2.788294619,1.061986579,0.144824104,0.814921906,X
FijiMale,0.96139,0.61691,3.214868844,0.476453198,-0.978427399,1.292697969,X
FijiFemale,0.96804,0.7095,3.410788288,0.89295692,-0.444730442,1.188568836,X
FinlandMale,0.99458,0.86656,5.212224722,1.870879412,0.095671012,1.577317272,X
FinlandFemale,0.99619,0.93255,5.566308813,2.626536187,1.064677541,1.387750654,X
FranceMale,0.99276,0.85601,4.920867737,1.782538206,0.11518915,1.481481534,X
FranceFemale,0.99455,0.92628,5.206674765,2.530902432,1.109303321,1.263126533,X
GabonMale,0.93333,0.5853,2.639003759,0.344569169,-0.874430719,1.083112032,X
GabonFemale,0.94874,0.71486,2.918224068,0.919106432,-0.142995833,0.943704551,X
GambiaMale,0.9263,0.58842,2.531195357,0.357437567,-0.797448484,1.026145277,X
GambiaFemale,0.9398,0.67954,2.747994734,0.751658635,-0.308965839,0.942391497,X
GeorgiaMale,0.98202,0.66069,4.000351646,0.6663706,-1.104925274,1.573840894,X
GeorgiaFemale,0.98772,0.87288,4.387427334,1.926666567,0.619299989,1.161628057,X
GermanyMale,0.99381,0.85683,5.078610955,1.789206797,0.041593979,1.552797904,X
GermanyFemale,0.99522,0.91863,5.338523272,2.423876775,0.875367278,1.3758896,X
GhanaMale,0.93046,0.59001,2.593776961,0.364006717,-0.82063794,1.052586546,X
GhanaFemale,0.94486,0.70745,2.841161363,0.883031363,-0.157294763,0.924355905,X
GreeceMale,0.99337,0.84664,5.009498399,1.708487476,-0.045291848,1.558276999,X
GreeceFemale,0.99517,0.92699,5.328067109,2.54134636,1.060801961,1.315500902,X
GrenadaMale,0.97424,0.73165,3.632834779,1.003010159,-0.394177597,1.241436431,X
GrenadaFemale,0.97891,0.8127,3.837640713,1.467650428,0.208508893,1.118778894,X
GuatemalaMale,0.96022,0.67844,3.183798151,0.746611894,-0.548229889,1.150499462,X
GuatemalaFemale,0.97085,0.78853,3.505717064,1.316087308,0.152768712,1.033637805,X
GuineaMale,0.87195,0.54577,1.91831127,0.183593964,-0.738036233,0.818891589,X
GuineaFemale,0.8858,0.59969,2.048539894,0.404173608,-0.469454399,0.776240437,X
Guinea-BissauMale,0.88966,0.46246,2.087272859,-0.150443109,-1.339309214,1.056337409,X
Guinea-BissauFemale,0.90786,0.59478,2.287781022,0.38376146,-0.627816575,0.898812503,X
GuyanaMale,0.9528,0.53343,3.005011125,0.133919791,-1.391449479,1.355328927,X
GuyanaFemale,0.96292,0.69439,3.256892594,0.820723983,-0.473577139,1.15001907,X
HaitiMale,0.91334,0.59823,2.355115794,0.39809551,-0.641641041,0.923832052,X
HaitiFemale,0.92645,0.62092,2.533394631,0.493454985,-0.590335423,0.962975011,X
HondurasMale,0.97203,0.72522,3.548254161,0.97050428,-0.399016922,1.216854002,X
HondurasFemale,0.97878,0.76583,3.831362765,1.184912866,-0.221107661,1.249284569,X
HungaryMale,0.99355,0.74013,5.037204257,1.04664434,-1.073482384,1.88378587,X
HungaryFemale,0.99511,0.87306,5.31566098,1.928289748,0.128628442,1.599044294,X
IcelandMale,0.99435,0.89579,5.170433712,2.151297917,0.547274767,1.425214875,X
IcelandFemale,0.99665,0.93645,5.695439309,2.690269133,1.093665715,1.418622257,X
IndiaMale,0.95795,0.70542,3.125936198,0.873242757,-0.323580663,1.063407683,X
IndiaFemale,0.95561,0.76876,3.069335661,1.201322695,0.208874444,0.88181521,X
IndonesiaMale,0.96224,0.71343,3.238013559,0.91210149,-0.323621927,1.097971308,X
IndonesiaFemale,0.97118,0.7894,3.517442236,1.321312564,0.154540655,1.03670616,X
Iran (Islamic Republic Of)Male,0.9773,0.81505,3.762428743,1.483163943,0.272223545,1.075950973,X
Iran (Islamic Republic Of)Female,0.9819,0.8891,3.993577532,2.081580821,1.065764643,0.9025782,X
IraqMale,0.96148,0.71846,3.217296177,0.936835499,-0.274740252,1.0765155,X
IraqFemale,0.97009,0.80839,3.479195978,1.439582559,0.355965471,0.962821012,X
IrelandMale,0.99469,0.89223,5.232839296,2.11372462,0.45658414,1.472410959,X
IrelandFemale,0.99599,0.93021,5.514945976,2.589919634,1.035895476,1.380789515,X
IsraelMale,0.99318,0.88832,4.981052445,2.073694399,0.529057151,1.372449009,X
IsraelFemale,0.9955,0.93769,5.399167727,2.711297477,1.283270918,1.268837482,X
ItalyMale,0.99433,0.89908,5.166880026,2.187043895,0.603900088,1.406663054,X
ItalyFemale,0.99582,0.94013,5.473255272,2.753842619,1.309058037,1.283727406,X
JamaicaMale,0.97918,0.78921,3.850801424,1.320170068,-0.024317743,1.194611205,X
JamaicaFemale,0.9838,0.83126,4.106411382,1.594583553,0.260085784,1.185734802,X
JapanMale,0.99525,0.90151,5.344849344,2.214116115,0.550802865,1.477895619,X
JapanFemale,0.99634,0.94688,5.606625417,2.880618864,1.432331039,1.286840126,X
JordanMale,0.97641,0.84529,3.723059687,1.698127367,0.622310135,0.955890645,X
JordanFemale,0.981,0.88614,3.94413348,2.051905328,1.046591899,0.893246244,X
KazakhstanMale,0.98132,0.70317,3.961445171,0.862439099,-0.784017972,1.462918481,X
KazakhstanFemale,0.98638,0.86115,4.282502375,1.824874492,0.519172369,1.160149146,X
KenyaMale,0.93412,0.58372,2.651770004,0.338063305,-0.891175576,1.092209634,X
KenyaFemale,0.94623,0.68577,2.867769978,0.780417093,-0.328563283,0.98535693,X
KiribatiMale,0.92272,0.3941,2.47989064,-0.430110272,-1.976151637,1.373696602,X
KiribatiFemale,0.93917,0.56189,2.736913418,0.248836081,-1.073043396,1.174523132,X
KuwaitMale,0.98679,0.87039,4.313483132,1.904411446,0.624506528,1.137227682,X
KuwaitFemale,0.99078,0.93462,4.677117474,2.659923628,1.588217735,0.952237617,X
KyrgyzstanMale,0.97144,0.7375,3.526772369,1.033015006,-0.291882186,1.177204448,X
KyrgyzstanFemale,0.97834,0.85833,3.810390016,1.801488232,0.73418779,0.948323262,X
Lao People's Democratic RepublicMale,0.93641,0.65247,2.689597189,0.629914169,-0.464365608,0.972295079,X
Lao People's Democratic RepublicFemale,0.94987,0.75086,2.941705502,1.103204229,0.126435113,0.867883904,X
LatviaMale,0.99211,0.69107,4.834237853,0.805126407,-1.335482187,1.901984526,X
LatviaFemale,0.9951,0.8752,5.31360803,1.947739976,0.159502997,1.588893492,X
LebanonMale,0.98624,0.79491,4.2721339,1.354779994,-0.195167911,1.377167661,X
LebanonFemale,0.98977,0.87325,4.572148013,1.930005241,0.526273029,1.247251344,X
LesothoMale,0.88077,0.22543,1.999742124,-1.234298347,-2.95249724,1.526662892,X
LesothoFemale,0.90255,0.39504,2.225884664,-0.426175315,-1.835176395,1.251932866,X
LiberiaMale,0.88924,0.61792,2.083001467,0.480728988,-0.370535188,0.756369612,X
LiberiaFemale,0.90324,0.64857,2.233754613,0.612759394,-0.248451903,0.765207879,X
Libyan Arab JamahiriyaMale,0.9771,0.78238,3.75345209,1.279590133,-0.034736917,1.167812612,X
Libyan Arab JamahiriyaFemale,0.98311,0.83261,4.063999285,1.604238926,0.29740385,1.161155804,X
LithuaniaMale,0.99076,0.71221,4.67493044,0.906141764,-1.096161109,1.779096418,X
LithuaniaFemale,0.99397,0.88579,5.104960014,2.048441043,0.424556754,1.442861997,X
LuxembourgMale,0.99514,0.89793,5.321844993,2.174433262,0.502258965,1.485768882,X
LuxembourgFemale,0.99673,0.93674,5.719689936,2.695152545,1.088259606,1.427764755,X
MadagascarMale,0.92109,0.60984,2.457249789,0.446639716,-0.621568314,0.949129677,X
MadagascarFemale,0.93367,0.65835,2.644480773,0.655949884,-0.400527796,0.938706966,X
MalawiMale,0.93245,0.55026,2.624947466,0.201721256,-1.085703756,1.143909474,X
MalawiFemale,0.94671,0.69695,2.87724412,0.832815864,-0.253359277,0.965093907,X
MalaysiaMale,0.98328,0.75623,4.074288314,1.132120405,-0.43101082,1.388881373,X
MalaysiaFemale,0.98848,0.85387,4.452083754,1.765282321,0.337823608,1.268332936,X
MaldivesMale,0.98673,0.89015,4.308890597,2.092274189,0.914617975,1.046377139,X
MaldivesFemale,0.98966,0.91597,4.561341581,2.388809735,1.234575011,1.025566557,X
MaliMale,0.87289,0.61345,1.926756692,0.461837535,-0.316452809,0.691530529,X
MaliFemale,0.88633,0.63021,2.053789828,0.53311782,-0.274793207,0.71784925,X
MaltaMale,0.98929,0.88789,4.52580963,2.069367329,0.76429509,1.159589479,X
MaltaFemale,0.99246,0.92845,4.879964527,2.563120023,1.332214072,1.093690868,X
MauritaniaMale,0.91048,0.71749,2.319509869,0.932045062,0.194905092,0.654967386,X
MauritaniaFemale,0.92272,0.72157,2.47989064,0.952262712,0.140656105,0.721132865,X
MauritiusMale,0.9774,0.71289,3.766946079,0.909461713,-0.608678371,1.348905613,X
MauritiusFemale,0.9826,0.83982,4.033731914,1.6568894,0.394107376,1.122013561,X
MexicoMale,0.97673,0.75454,3.73704528,1.122974291,-0.26584379,1.233999763,X
MexicoFemale,0.98294,0.85741,4.053811539,1.793942838,0.593307307,1.06679484,X
"Micronesia, Federated States OfMale",0.95351,0.47408,3.020912677,-0.103773026,-1.763873313,1.475040821,X
"Micronesia, Federated States OfFemale",0.96413,0.6194,3.291324849,0.487002313,-1.002893661,1.323810011,X
MongoliaMale,0.97326,0.5436,3.59449069,0.174844064,-1.641964692,1.614280233,X
MongoliaFemale,0.98086,0.76026,3.936649352,1.154105477,-0.324219809,1.313529165,X
MontenegroMale,0.99482,0.76977,5.25775676,1.20701296,-0.945088591,1.912196307,X
MontenegroFemale,0.99612,0.87803,5.548032579,1.973905649,0.075023743,1.687204289,X
MoroccoMale,0.96901,0.76105,3.44261036,1.158444734,-0.055099402,1.078264459,X
MoroccoFemale,0.9756,0.80087,3.688469534,1.391740759,0.171522004,1.084195026,X
MozambiqueMale,0.89335,0.39031,2.125425996,-0.446009336,-1.812175709,1.213873152,X
MozambiqueFemale,0.90824,0.56908,2.292332188,0.278098564,-0.792034607,0.950840213,X
MyanmarMale,0.93959,0.64325,2.744288956,0.589498195,-0.555310948,1.017191691,X
MyanmarFemale,0.95296,0.77729,3.008574626,1.249943034,0.315607524,0.830180579,X
NamibiaMale,0.93206,0.50223,2.618772228,0.008920059,-1.377656623,1.232008224,X
NamibiaFemale,0.94726,0.68208,2.888199426,0.763347174,-0.365556072,1.003058902,X
NepalMale,0.95642,0.70432,3.088598818,0.86795501,-0.311840903,1.048278315,X
NepalFemale,0.96389,0.78416,3.284407345,1.290075689,0.230516146,0.941445279,X
NetherlandsMale,0.99352,0.89389,5.032533682,2.131106433,0.589620131,1.369649315,X
NetherlandsFemale,0.99499,0.92032,5.291296772,2.446702822,0.93541123,1.342820556,X
New ZealandMale,0.99146,0.87924,4.754417596,1.985252793,0.514035614,1.307213433,X
New ZealandFemale,0.99356,0.92079,5.038765913,2.453129444,1.079418213,1.220576948,X
NicaraguaMale,0.97313,0.76419,3.589507258,1.175790053,-0.106582961,1.139420648,X
NicaraguaFemale,0.98085,0.8634,3.936116827,1.843821136,0.732214719,0.987690234,X
NigerMale,0.87915,0.60332,1.984405424,0.419317826,-0.412190562,0.738816097,X
NigerFemale,0.89032,0.65201,2.094013913,0.627886156,-0.151046301,0.692101061,X
NigeriaMale,0.85402,0.60624,1.766484987,0.431534361,-0.277705585,0.630177514,X
NigeriaFemale,0.86865,0.66195,1.889074766,0.671996211,0.02537999,0.57453476,X
NorwayMale,0.99537,0.90403,5.370557659,2.242826903,0.581108823,1.47647827,X
NorwayFemale,0.99641,0.93573,5.626006617,2.678234014,1.112125096,1.391527127,X
OmanMale,0.97988,0.82321,3.88571577,1.538248745,0.291073492,1.108146552,X
OmanFemale,0.98611,0.85093,4.262598753,1.741913875,0.402710483,1.189915866,X
PakistanMale,0.91507,0.63189,2.377173177,0.540333522,-0.435552801,0.86709952,X
PakistanFemale,0.92494,0.67154,2.511441077,0.715158517,-0.239180407,0.847954115,X
PanamaMale,0.97434,0.82229,3.63682696,1.531940123,0.413644213,0.993634017,X
PanamaFemale,0.98207,0.89136,4.003187301,2.104708722,1.096074532,0.896196824,X
Papua New GuineaMale,0.93553,0.57606,2.674913214,0.306619886,-0.95162008,1.117977828,X
Papua New GuineaFemale,0.94694,0.66482,2.881812384,0.684848626,-0.482366419,1.037099898,X
ParaguayMale,0.97117,0.75956,3.517085019,1.15026874,-0.107186491,1.117280571,X
ParaguayFemale,0.97833,0.85344,3.809918221,1.76184034,0.673726206,0.966816751,X
