CountrySex,l(20-24),l(65-69),logit (l(20-24)),logit (l(65-69)),alpha,beta,Affluence flag
TajikistanMale,0.95719,0.70579,3.107230189,0.875023945,-0.310914924,1.053736485,X
TajikistanFemale,0.96661,0.78609,3.365538651,1.301515924,0.204930524,0.974343684,X
ThailandMale,0.97905,0.76376,3.844444067,1.173405366,-0.245678835,1.260891972,X
ThailandFemale,0.98629,0.88213,4.275824935,2.012757115,0.810421938,1.068305018,X
"Macedonia, the Former Yugoslav Republic OfMale",0.98981,0.77824,4.576106158,1.255439244,-0.508783024,1.567555817,X
"Macedonia, the Former Yugoslav Republic OfFemale",0.99184,0.87309,4.800317635,1.928560469,0.402837454,1.355643239,X
Timor-LesteMale,0.94091,0.69559,2.767785787,0.826384929,-0.205053246,0.916458738,X
Timor-LesteFemale,0.95209,0.7633,2.989335317,1.170857622,0.204726744,0.858431563,X
TogoMale,0.90653,0.55893,2.271983595,0.236820649,-0.844431967,0.96072012,X
TogoFemale,0.92205,0.6815,2.470531857,0.760673776,-0.147749073,0.807156529,X
TongaMale,0.9777,0.69644,3.780616196,0.83040236,-0.73700355,1.392679537,X
TongaFemale,0.97728,0.80394,3.761527609,1.411103905,0.162357811,1.109542283,X
Trinidad and TobagoMale,0.97004,0.74863,3.477474149,1.091318912,-0.176410828,1.12640973,X
Trinidad and TobagoFemale,0.97998,0.852,3.890800389,1.750374253,0.613196828,1.010410718,X
TunisiaMale,0.97486,0.81572,3.657833668,1.487614819,0.334608956,1.024474682,X
TunisiaFemale,0.97995,0.88518,3.889272396,2.042425329,1.061222214,0.871823624,X
TurkeyMale,0.98511,0.82655,4.192063463,1.561371038,0.163722229,1.241846087,X
TurkeyFemale,0.9877,0.91064,4.385779746,2.321474494,1.224738993,0.974477052,X
TurkmenistanMale,0.94039,0.64014,2.758471338,0.575971836,-0.58355856,1.030271894,X
TurkmenistanFemale,0.9544,0.78464,3.041175154,1.292913967,0.364088103,0.82528512,X
UgandaMale,0.92729,0.58355,2.545787427,0.337363731,-0.835939813,1.042509683,X
UgandaFemale,0.94306,0.73126,2.807131825,1.001024704,0.041466132,0.852591903,X
UkraineMale,0.98487,0.63271,4.175830125,0.543860455,-1.385752462,1.714509565,X
UkraineFemale,0.98911,0.85539,4.508960612,1.777517042,0.326340608,1.289406727,X
United Arab EmiratesMale,0.9863,0.82367,4.276564735,1.541412725,0.088266051,1.291157336,X
United Arab EmiratesFemale,0.98977,0.8667,4.572148013,1.872090669,0.437589283,1.274590528,X
United KingdomMale,0.99315,0.87585,4.976633058,1.953704331,0.347666053,1.427005368,X
United KingdomFemale,0.99463,0.91629,5.2215429,2.392974464,0.890196994,1.335255544,X
"Tanzania, United Republic ofMale",0.92817,0.6363,2.55891269,0.559340798,-0.503002806,0.943918987,X
"Tanzania, United Republic ofFemale",0.93862,0.71572,2.727326662,0.923329361,-0.035108294,0.851595941,X
United StatesMale,0.98821,0.80055,4.428643511,1.389735413,-0.224792474,1.434548598,X
United StatesFemale,0.99162,0.87207,4.773492055,1.919386457,0.403041463,1.347310631,X
UruguayMale,0.98658,0.77704,4.297498285,1.248499446,-0.371389506,1.439312039,X
UruguayFemale,0.9907,0.87544,4.668397364,1.94993909,0.505661556,1.283276881,X
UzbekistanMale,0.97224,0.74008,3.556006552,1.046384397,-0.286941529,1.18469359,X
UzbekistanFemale,0.97896,0.83152,3.840065396,1.596438303,0.404431703,1.059127818,X
VanuatuMale,0.95855,0.53413,3.140933844,0.13673263,-1.459355992,1.418164848,X
VanuatuFemale,0.96717,0.67399,3.38303155,0.726287218,-0.685202591,1.254144164,X
VenezuelaMale,0.95108,0.71393,2.96741187,0.914548382,-0.176108276,0.969075847,X
VenezuelaFemale,0.96867,0.84171,3.431347892,1.671006743,0.73576297,0.830987594,X
VietnamMale,0.96893,0.70632,3.439949646,0.877577653,-0.483773499,1.209594707,X
VietnamFemale,0.98031,0.86896,3.907757956,1.891794474,0.820742256,0.95165681,X
YemenMale,0.91658,0.63128,2.396761263,0.537711956,-0.449974033,0.87758382,X
YemenFemale,0.92941,0.72024,2.577661485,0.945652397,0.078589591,0.770407092,X
ZambiaMale,0.91196,0.4972,2.337804873,-0.011200117,-1.259192469,1.108872564,X
ZambiaFemale,0.92713,0.63223,2.543416761,0.541795509,-0.52163689,0.94488641,X
ZimbabweMale,0.91413,0.43592,2.365138269,-0.257737345,-1.651233195,1.238156079,X
ZimbabweFemale,0.93078,0.58452,2.598733106,0.341356519,-0.857954988,1.065618411,X
American SamoaMale,0.97783,0.67508,3.786595807,0.731252204,-0.892007629,1.442307152,X
American SamoaFemale,0.98294,0.73366,4.053811539,1.013272018,-0.60212262,1.435318729,X
AndorraMale,0.99495,0.8851,5.283304241,2.041638448,0.319388332,1.530262506,X
AndorraFemale,0.99602,0.94003,5.522485518,2.752067352,1.28018428,1.307805096,X
AnguillaMale,0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
AnguillaFemale,0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
AntarcticaMale,0.98775,0.8484,4.389903692,1.722106749,0.304744848,1.259361666,X
AntarcticaFemale,0.99084,0.91391,4.68370689,2.362338838,1.129029591,1.095826257,X
ArubaMale,0.95108,0.71393,2.96741187,0.914548382,-0.176108276,0.969075847,X
ArubaFemale,0.96867,0.84171,3.431347892,1.671006743,0.73576297,0.830987594,X
BermudaMale,0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
BermudaFemale,0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
British Indian Ocean TerritoryMale,0.99315,0.87585,4.976633058,1.953704331,0.347666053,1.427005368,X
British Indian Ocean TerritoryFemale,0.99463,0.91629,5.2215429,2.392974464,0.890196994,1.335255544,X
Cayman IslandsMale,0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
Cayman IslandsFemale,0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
Christmas IslandMale,0.96224,0.71343,3.238013559,0.91210149,-0.323621927,1.097971308,X
Christmas IslandFemale,0.97118,0.7894,3.517442236,1.321312564,0.154540655,1.03670616,X
Cocos (Keeling) IslandsMale,0.96224,0.71343,3.238013559,0.91210149,-0.323621927,1.097971308,X
Cocos (Keeling) IslandsFemale,0.97118,0.7894,3.517442236,1.321312564,0.154540655,1.03670616,X
Cook IslandsMale,0.9777,0.69644,3.780616196,0.83040236,-0.73700355,1.392679537,X
Cook IslandsFemale,0.97728,0.80394,3.761527609,1.411103905,0.162357811,1.109542283,X
DominicaMale,0.9679,0.73588,3.406272746,1.024663517,-0.240650995,1.124263739,X
DominicaFemale,0.97541,0.84075,3.680518039,1.663819056,0.592376076,0.952004011,X
Falkland Islands (Malvinas)Male,0.98328,0.78228,4.074288314,1.279002899,-0.206091783,1.319543943,X
Falkland Islands (Malvinas)Female,0.98812,0.87106,4.420947834,1.910363681,0.576526659,1.185147712,X
Faroe IslandsMale,0.99435,0.89579,5.170433712,2.151297917,0.547274767,1.425214875,X
Faroe IslandsFemale,0.99665,0.93645,5.695439309,2.690269133,1.093665715,1.418622257,X
French GuianaMale,0.97232,0.67133,3.558974838,0.714206611,-0.797177572,1.342902826,X
French GuianaFemale,0.97816,0.79239,3.801930105,1.339392375,0.031081722,1.162466891,X
French PolynesiaMale,0.9777,0.69644,3.780616196,0.83040236,-0.73700355,1.392679537,X
French PolynesiaFemale,0.97728,0.80394,3.761527609,1.411103905,0.162357811,1.109542283,X
French Southern TerritoriesMale,0.92109,0.60984,2.457249789,0.446639716,-0.621568314,0.949129677,X
French Southern TerritoriesFemale,0.93367,0.65835,2.644480773,0.655949884,-0.400527796,0.938706966,X
GibraltarMale,0.99495,0.8851,5.283304241,2.041638448,0.319388332,1.530262506,X
GibraltarFemale,0.99602,0.94003,5.522485518,2.752067352,1.28018428,1.307805096,X
GreenlandMale,0.99435,0.89579,5.170433712,2.151297917,0.547274767,1.425214875,X
GreenlandFemale,0.99665,0.93645,5.695439309,2.690269133,1.093665715,1.418622257,X
GuadeloupeMale,0.98811,0.79832,4.420096317,1.375827237,-0.241548863,1.437079307,X
GuadeloupeFemale,0.99076,0.85521,4.67493044,1.776062636,0.23593613,1.368441101,X
GuamMale,0.95958,0.67606,3.167170977,0.735723516,-0.556069327,1.147790402,X
GuamFemale,0.96807,0.80204,3.411758392,1.399093492,0.329793762,0.95009968,X
GuernseyMale,0.99276,0.85601,4.920867737,1.782538206,0.11518915,1.481481534,X
GuernseyFemale,0.99455,0.92628,5.206674765,2.530902432,1.109303321,1.263126533,X
Holy See (Vatican City State)Male,0.99433,0.89908,5.166880026,2.187043895,0.603900088,1.406663054,X
Holy See (Vatican City State)Female,0.99582,0.94013,5.473255272,2.753842619,1.309058037,1.283727406,X
Hong KongMale,0.98708,0.81888,4.335974591,1.508777758,0.006729001,1.334608065,X
Hong KongFemale,0.99,0.90523,4.59511985,2.256736152,1.014386738,1.103858672,X
Isle of ManMale,0.99315,0.87585,4.976633058,1.953704331,0.347666053,1.427005368,X
Isle of ManFemale,0.99463,0.91629,5.2215429,2.392974464,0.890196994,1.335255544,X
JerseyMale,0.99276,0.85601,4.920867737,1.782538206,0.11518915,1.481481534,X
JerseyFemale,0.99455,0.92628,5.206674765,2.530902432,1.109303321,1.263126533,X
LiechtensteinMale,0.99385,0.90622,5.085134208,2.268330489,0.771803443,1.329701886,X
