Occupation code,No adjustment,Loading,Discount,Location (host) = Nationality,Location (host) > Nationality,Location (host) < Nationality
1,1,1.13,0.87,1,1.5,0.2
2,1,1.11,0.89,1,1.5,0.2
3,1,1.09,0.91,1,1.5,0.2
4,1,1.07,0.93,1,1.5,0.2
5,0,0.0,0.0,1,1.5,0.2
