Age,M,F
15,6.32295787010875,4.55990843831143
20,6.75916695515278,5.21098185553333
25,8.33897375859688,7.41588739055387
30,11.1350446681768,10.6818631413804
35,16.3719992093298,16.4084942056451
40,25.7697452134187,27.0332092717265
45,44.5325299922793,43.666516246086
50,77.7820458392876,65.0115283899294
55,130.439695740357,93.4493012186035
60,213.894513405727,129.487095226549
65,350.132712572266,189.305023884271
