Age group,Age to match,M,F
15-24,15,0.0971827415514946,0.0952336438102339
25-34,25,0.121452551287329,0.171248050625643
35-44,35,0.149320428096799,0.197746186696256
45-54,45,0.166133616478074,0.217475384237163
55-64,55,0.181078013472049,0.22
65-74,65,0.18,0.22
