Sex and Country,Age,SCA,Value
FParaguay,25,FParaguay25,0.912177939
FPeru,25,FPeru25,0.737400183
FPhilippines,25,FPhilippines25,0.666917026
FPitcairn,25,FPitcairn25,0.483469583
FPoland,25,FPoland25,0.552695776
FPortugal,25,FPortugal25,1.457655009
FPuerto Rico,25,FPuerto Rico25,0.818277292
FQatar,25,FQatar25,0.81713169
FRomania,25,FRomania25,0.89214485
FRussian Federation,25,FRussian Federation25,0.667933403
FRwanda,25,FRwanda25,1.05869188
FRéunion,25,FRéunion25,1.05869188
FSaint Barthélemy,25,FSaint Barthélemy25,0.818277292
FSaint Helena,25,FSaint Helena25,0.465313339
FSaint Kitts And Nevis,25,FSaint Kitts And Nevis25,0.818277292
FSaint Lucia,25,FSaint Lucia25,0.818277292
FSaint Martin,25,FSaint Martin25,0.818277292
FSaint Pierre And Miquelon,25,FSaint Pierre And Miquelon25,1.016121283
FSaint Vincent And The Grenadines,25,FSaint Vincent And The Grenadines25,0.818277292
FSamoa,25,FSamoa25,0.483469583
FSan Marino,25,FSan Marino25,1.118387842
FSao Tome and Principe,25,FSao Tome and Principe25,0.465313339
FSaudi Arabia,25,FSaudi Arabia25,0.491449166
FSenegal,25,FSenegal25,0.465313339
FSerbia,25,FSerbia25,0.950666423
FSeychelles,25,FSeychelles25,1.05869188
FSierra Leone,25,FSierra Leone25,0.465313339
FSingapore,25,FSingapore25,0.607635324
FSlovakia,25,FSlovakia25,0.647301267
FSlovenia,25,FSlovenia25,0.97390906
FSolomon Islands,25,FSolomon Islands25,0.483469583
FSomalia,25,FSomalia25,1.05869188
FSouth Africa,25,FSouth Africa25,0.297241044
FSouth Georgia and the South Sandwich Islands,25,FSouth Georgia and the South Sandwich Islands25,0.297241044
FSpain,25,FSpain25,0.727809621
FSri Lanka,25,FSri Lanka25,0.393633099
FSudan,25,FSudan25,0.465313339
FSuriname,25,FSuriname25,0.80670467
FSvalbard And Jan Mayen,25,FSvalbard And Jan Mayen25,1.070915799
FSwaziland,25,FSwaziland25,0.297241044
FSweden,25,FSweden25,0.906322291
FSwitzerland,25,FSwitzerland25,0.91596056
FSyrian Arab Republic,25,FSyrian Arab Republic25,0.732112186
"FTaiwan, Province Of China",25,"FTaiwan, Province Of China25",0.591766189
FTajikistan,25,FTajikistan25,0.393633099
"FTanzania, United Republic of",25,"FTanzania, United Republic of25",1.05869188
FThailand,25,FThailand25,0.499714405
FTimor-Leste,25,FTimor-Leste25,0.607635324
FTogo,25,FTogo25,0.465313339
FTokelau,25,FTokelau25,0.483469583
FTonga,25,FTonga25,0.483469583
FTrinidad and Tobago,25,FTrinidad and Tobago25,0.818277292
FTunisia,25,FTunisia25,0.46829696
FTurkey,25,FTurkey25,0.724782191
FTurkmenistan,25,FTurkmenistan25,0.393633099
FTurks and Caicos Islands,25,FTurks and Caicos Islands25,0.818277292
FTuvalu,25,FTuvalu25,0.483469583
FUganda,25,FUganda25,1.05869188
FUkraine,25,FUkraine25,0.87414854
FUnited Arab Emirates,25,FUnited Arab Emirates25,0.491449166
FUnited Kingdom,25,FUnited Kingdom25,1
FUnited States,25,FUnited States25,1.10138367
FUnited States Minor Outlying Islands,25,FUnited States Minor Outlying Islands25,1.10138367
FUruguay,25,FUruguay25,0.912177939
FUzbekistan,25,FUzbekistan25,0.393633099
FVanuatu,25,FVanuatu25,0.483469583
FVenezuela,25,FVenezuela25,0.80670467
Fvietnam,25,Fvietnam25,0.607635324
"FVirgin Islands, British",25,"FVirgin Islands, British25",0.818277292
"FVirgin Islands, U.S.",25,"FVirgin Islands, U.S.25",0.818277292
FWallis and Futuna,25,FWallis and Futuna25,0.483469583
FWestern Sahara,25,FWestern Sahara25,0.465313339
FYemen,25,FYemen25,0.491449166
FZambia,25,FZambia25,1.05869188
FZimbabwe,25,FZimbabwe25,0.936450902
FÅland Islands,25,FÅland Islands25,0.906322291
MAfghanistan,30,MAfghanistan30,0.719148644
MAlbania,30,MAlbania30,0.987906844
MAlgeria,30,MAlgeria30,0.628235487
MAmerican Samoa,30,MAmerican Samoa30,0.531039665
MAndorra,30,MAndorra30,1.131551787
MAngola,30,MAngola30,0.540271464
MAnguilla,30,MAnguilla30,0.730060348
MAntarctica,30,MAntarctica30,0.84429046
MAntigua and Barbuda,30,MAntigua and Barbuda30,0.730060348
MArgentina,30,MArgentina30,1.098100435
MArmenia,30,MArmenia30,0.770563253
MAruba,30,MAruba30,0.730060348
MAustralia,30,MAustralia30,1.56349718
MAustria,30,MAustria30,1.071920416
MAzerbaijan,30,MAzerbaijan30,0.770563253
MBahamas,30,MBahamas30,0.730060348
MBahrain,30,MBahrain30,0.466227414
MBangladesh,30,MBangladesh30,0.460810999
MBarbados,30,MBarbados30,0.730060348
MBelarus,30,MBelarus30,0.790745879
MBelgium,30,MBelgium30,1.074265396
MBelize,30,MBelize30,0.622439306
MBenin,30,MBenin30,0.540271464
MBermuda,30,MBermuda30,1.10339048
MBhutan,30,MBhutan30,0.460810999
MBolivia,30,MBolivia30,0.736588091
MBosnia and Herzegovina,30,MBosnia and Herzegovina30,0.987906844
MBotswana,30,MBotswana30,0.404797083
MBouvet Island,30,MBouvet Island30,1.098100435
MBrazil,30,MBrazil30,0.844262603
MBritish Indian Ocean Territory,30,MBritish Indian Ocean Territory30,1.313780926
MBrunei Darussalam,30,MBrunei Darussalam30,0.586663662
MBulgaria,30,MBulgaria30,0.836763495
MBurkina Faso,30,MBurkina Faso30,0.540271464
MBurundi,30,MBurundi30,1.313780926
MCambodia,30,MCambodia30,0.586663662
MCameroon,30,MCameroon30,0.540271464
MCanada,30,MCanada30,1.001284118
MCape Verde,30,MCape Verde30,0.540271464
MCayman Islands,30,MCayman Islands30,0.730060348
MCentral African Republic,30,MCentral African Republic30,0.540271464
MChad,30,MChad30,0.540271464
MChile,30,MChile30,0.84429046
MChina,30,MChina30,0.686146098
MChristmas Island,30,MChristmas Island30,0.586663662
MCocos (Keeling) Islands,30,MCocos (Keeling) Islands30,0.586663662
MColombia,30,MColombia30,0.771036182
MComoros,30,MComoros30,1.313780926
MCongo,30,MCongo30,0.540271464
"MCongo, The Democratic Republic Of The",30,"MCongo, The Democratic Republic Of The30",0.540271464
MCook Islands,30,MCook Islands30,0.531039665
MCosta Rica,30,MCosta Rica30,0.622439306
MCroatia,30,MCroatia30,1.116914373
MCuba,30,MCuba30,0.487233013
MCyprus,30,MCyprus30,0.908841871
MCzech Republic,30,MCzech Republic30,1.021669291
MCôte D'Ivoire,30,MCôte D'Ivoire30,0.540271464
MDenmark,30,MDenmark30,1.258003573
MDjibouti,30,MDjibouti30,1.313780926
MDominica,30,MDominica30,0.730060348
MDominican Republic,30,MDominican Republic30,0.730060348
MEcuador,30,MEcuador30,0.736588091
MEgypt,30,MEgypt30,0.540271464
MEl Salvador,30,MEl Salvador30,0.622439306
MEquatorial Guinea,30,MEquatorial Guinea30,0.540271464
MEritrea,30,MEritrea30,1.313780926
MEstonia,30,MEstonia30,0.779250889
MEthiopia,30,MEthiopia30,1.313780926
MFalkland Islands (Malvinas),30,MFalkland Islands (Malvinas)30,1.098100435
MFaroe Islands,30,MFaroe Islands30,1
MFiji,30,MFiji30,0.531039665
MFinland,30,MFinland30,0.936171616
MFrance,30,MFrance30,1.086965662
MFrench Guiana,30,MFrench Guiana30,0.771036182
MFrench Polynesia,30,MFrench Polynesia30,0.531039665
MFrench Southern Territories,30,MFrench Southern Territories30,0.404797083
MGabon,30,MGabon30,0.540271464
MGambia,30,MGambia30,0.540271464
MGeorgia,30,MGeorgia30,0.770563253
MGermany,30,MGermany30,1.131551787
MGhana,30,MGhana30,0.540271464
MGibraltar,30,MGibraltar30,0.95606136
MGreece,30,MGreece30,0.770563253
MGreenland,30,MGreenland30,1.001284118
MGrenada,30,MGrenada30,0.730060348
MGuadeloupe,30,MGuadeloupe30,0.730060348
MGuam,30,MGuam30,0.531039665
MGuatemala,30,MGuatemala30,0.622439306
MGuernsey,30,MGuernsey30,1
MGuinea,30,MGuinea30,0.540271464
MGuinea-Bissau,30,MGuinea-Bissau30,0.540271464
MGuyana,30,MGuyana30,0.771036182
MHaiti,30,MHaiti30,0.730060348
MHeard and McDonald Islands,30,MHeard and McDonald Islands30,0.404797083
MHoly See (Vatican City State),30,MHoly See (Vatican City State)30,1.22131603
MHonduras,30,MHonduras30,0.622439306
MHong Kong,30,MHong Kong30,0.686146098
MHungary,30,MHungary30,1.021669291
MIceland,30,MIceland30,0.962580844
MIndia,30,MIndia30,0.460810999
MIndonesia,30,MIndonesia30,0.586663662
MIran (Islamic Republic Of),30,MIran (Islamic Republic Of)30,0.719148644
MIraq,30,MIraq30,0.719148644
MIreland,30,MIreland30,0.97179794
MIsle of Man,30,MIsle of Man30,1
MIsrael,30,MIsrael30,1.079325301
MItaly,30,MItaly30,1.22131603
MJamaica,30,MJamaica30,0.385595725
MJapan,30,MJapan30,0.554069736
MJersey,30,MJersey30,1
MJordan,30,MJordan30,0.434508984
MKazakhstan,30,MKazakhstan30,0.460810999
MKenya,30,MKenya30,1.313780926
MKiribati,30,MKiribati30,0.531039665
"MKorea, Democratic People's Republic Of",30,"MKorea, Democratic People's Republic Of30",0.827670953
"MKorea, Republic of",30,"MKorea, Republic of30",0.827670953
MKuwait,30,MKuwait30,0.251841015
MKyrgyzstan,30,MKyrgyzstan30,0.460810999
MLao People's Democratic Republic,30,MLao People's Democratic Republic30,0.586663662
MLatvia,30,MLatvia30,0.642602086
MLebanon,30,MLebanon30,0.719148644
MLesotho,30,MLesotho30,0.404797083
MLiberia,30,MLiberia30,0.540271464
MLibyan Arab Jamahiriya,30,MLibyan Arab Jamahiriya30,0.414811382
MLiechtenstein,30,MLiechtenstein30,1.131551787
MLithuania,30,MLithuania30,0.794128316
MLuxembourg,30,MLuxembourg30,1.131551787
MMacao,30,MMacao30,0.686146098
"MMacedonia, the Former Yugoslav Republic Of",30,"MMacedonia, the Former Yugoslav Republic Of30",0.987906844
MMadagascar,30,MMadagascar30,1.313780926
MMalawi,30,MMalawi30,5.046072331
MMalaysia,30,MMalaysia30,0.531039665
MMaldives,30,MMaldives30,0.460810999
MMali,30,MMali30,0.540271464
MMalta,30,MMalta30,0.580580835
MMarshall Islands,30,MMarshall Islands30,0.531039665
MMartinique,30,MMartinique30,0.730060348
MMauritania,30,MMauritania30,0.540271464
MMauritius,30,MMauritius30,1.313780926
MMayotte,30,MMayotte30,1.313780926
MMexico,30,MMexico30,0.622439306
"MMicronesia, Federated States Of",30,"MMicronesia, Federated States Of30",0.531039665
MMoldova,30,MMoldova30,1.021669291
MMonaco,30,MMonaco30,1.131551787
MMongolia,30,MMongolia30,0.686146098
MMontenegro,30,MMontenegro30,0.987906844
MMontserrat,30,MMontserrat30,0.730060348
MMorocco,30,MMorocco30,0.540271464
MMozambique,30,MMozambique30,1.313780926
MMyanmar,30,MMyanmar30,0.586663662
MNamibia,30,MNamibia30,0.404797083
MNauru,30,MNauru30,0.531039665
MNepal,30,MNepal30,0.460810999
MNetherlands,30,MNetherlands30,1.103701052
MNetherlands Antilles,30,MNetherlands Antilles30,0.730060348
MNew Caledonia,30,MNew Caledonia30,0.531039665
MNew Zealand,30,MNew Zealand30,1.243697016
MNicaragua,30,MNicaragua30,0.622439306
MNiger,30,MNiger30,0.540271464
MNigeria,30,MNigeria30,0.540271464
MNiue,30,MNiue30,0.531039665
MNorfolk Island,30,MNorfolk Island30,1.56349718
MNorthern Mariana Islands,30,MNorthern Mariana Islands30,0.531039665
MNorway,30,MNorway30,1.334779212
MOman,30,MOman30,0.434508984
MPakistan,30,MPakistan30,0.460810999
MPalau,30,MPalau30,0.586663662
"MPalestinian Territory, Occupied",30,"MPalestinian Territory, Occupied30",0.719148644
MPanama,30,MPanama30,0.622439306
MPapua New Guinea,30,MPapua New Guinea30,0.531039665
MParaguay,30,MParaguay30,0.843598814
MPeru,30,MPeru30,0.736588091
MPhilippines,30,MPhilippines30,0.602227613
MPitcairn,30,MPitcairn30,0.531039665
MPoland,30,MPoland30,0.695656422
MPortugal,30,MPortugal30,0.962305261
MPuerto Rico,30,MPuerto Rico30,0.730060348
MQatar,30,MQatar30,0.670158042
MRomania,30,MRomania30,1.021669291
MRussian Federation,30,MRussian Federation30,0.530916556
MRwanda,30,MRwanda30,1.313780926
MRéunion,30,MRéunion30,1.313780926
MSaint Barthélemy,30,MSaint Barthélemy30,0.730060348
MSaint Helena,30,MSaint Helena30,0.540271464
MSaint Kitts And Nevis,30,MSaint Kitts And Nevis30,0.730060348
MSaint Lucia,30,MSaint Lucia30,0.730060348
MSaint Martin,30,MSaint Martin30,0.730060348
MSaint Pierre And Miquelon,30,MSaint Pierre And Miquelon30,1.001284118
MSaint Vincent And The Grenadines,30,MSaint Vincent And The Grenadines30,0.730060348
MSamoa,30,MSamoa30,0.531039665
MSan Marino,30,MSan Marino30,1.22131603
MSao Tome and Principe,30,MSao Tome and Principe30,0.540271464
MSaudi Arabia,30,MSaudi Arabia30,0.434508984
MSenegal,30,MSenegal30,0.540271464
MSerbia,30,MSerbia30,0.987906844
MSeychelles,30,MSeychelles30,1.313780926
MSierra Leone,30,MSierra Leone30,0.540271464
MSingapore,30,MSingapore30,0.586663662
MSlovakia,30,MSlovakia30,0.978443294
MSlovenia,30,MSlovenia30,1.145090696
MSolomon Islands,30,MSolomon Islands30,0.531039665
MSomalia,30,MSomalia30,1.313780926
MSouth Africa,30,MSouth Africa30,0.404797083
MSouth Georgia and the South Sandwich Islands,30,MSouth Georgia and the South Sandwich Islands30,0.404797083
MSpain,30,MSpain30,0.95606136
MSri Lanka,30,MSri Lanka30,0.460810999
MSudan,30,MSudan30,0.540271464
MSuriname,30,MSuriname30,0.771036182
MSvalbard And Jan Mayen,30,MSvalbard And Jan Mayen30,1.334779212
MSwaziland,30,MSwaziland30,0.404797083
MSweden,30,MSweden30,0.971201547
MSwitzerland,30,MSwitzerland30,1.241499274
MSyrian Arab Republic,30,MSyrian Arab Republic30,0.719148644
"MTaiwan, Province Of China",30,"MTaiwan, Province Of China30",0.686146098
MTajikistan,30,MTajikistan30,0.460810999
"MTanzania, United Republic of",30,"MTanzania, United Republic of30",1.313780926
MThailand,30,MThailand30,0.503671708
MTimor-Leste,30,MTimor-Leste30,0.586663662
MTogo,30,MTogo30,0.540271464
MTokelau,30,MTokelau30,0.531039665
MTonga,30,MTonga30,0.531039665
MTrinidad and Tobago,30,MTrinidad and Tobago30,0.730060348
MTunisia,30,MTunisia30,0.480968808
MTurkey,30,MTurkey30,0.770563253
MTurkmenistan,30,MTurkmenistan30,0.460810999
MTurks and Caicos Islands,30,MTurks and Caicos Islands30,0.730060348
MTuvalu,30,MTuvalu30,0.531039665
MUganda,30,MUganda30,1.313780926
MUkraine,30,MUkraine30,0.74978132
MUnited Arab Emirates,30,MUnited Arab Emirates30,0.434508984
MUnited Kingdom,30,MUnited Kingdom30,1
MUnited States,30,MUnited States30,1.10339048
MUnited States Minor Outlying Islands,30,MUnited States Minor Outlying Islands30,1.10339048
MUruguay,30,MUruguay30,0.843598814
MUzbekistan,30,MUzbekistan30,0.460810999
MVanuatu,30,MVanuatu30,0.531039665
MVenezuela,30,MVenezuela30,0.771036182
Mvietnam,30,Mvietnam30,0.586663662
"MVirgin Islands, British",30,"MVirgin Islands, British30",0.730060348
"MVirgin Islands, U.S.",30,"MVirgin Islands, U.S.30",0.730060348
MWallis and Futuna,30,MWallis and Futuna30,0.531039665
MWestern Sahara,30,MWestern Sahara30,0.540271464
MYemen,30,MYemen30,0.434508984
MZambia,30,MZambia30,1.313780926
MZimbabwe,30,MZimbabwe30,1.683004485
MÅland Islands,30,MÅland Islands30,0.971201547
FAfghanistan,30,FAfghanistan30,0.693709097
FAlbania,30,FAlbania30,1.013158517
FAlgeria,30,FAlgeria30,0.642768854
FAmerican Samoa,30,FAmerican Samoa30,0.505367428
FAndorra,30,FAndorra30,0.978756147
FAngola,30,FAngola30,0.62599048
FAnguilla,30,FAnguilla30,0.981042121
FAntarctica,30,FAntarctica30,0.58491222
FAntigua and Barbuda,30,FAntigua and Barbuda30,0.981042121
FArgentina,30,FArgentina30,0.917100363
FArmenia,30,FArmenia30,0.762898825
FAruba,30,FAruba30,0.981042121
FAustralia,30,FAustralia30,1.227209982
FAustria,30,FAustria30,0.878355222
FAzerbaijan,30,FAzerbaijan30,0.762898825
FBahamas,30,FBahamas30,0.981042121
FBahrain,30,FBahrain30,0.562201627
FBangladesh,30,FBangladesh30,0.439340239
FBarbados,30,FBarbados30,0.981042121
FBelarus,30,FBelarus30,0.890234699
FBelgium,30,FBelgium30,1.160334448
FBelize,30,FBelize30,0.822679677
FBenin,30,FBenin30,0.62599048
FBermuda,30,FBermuda30,1.172266718
FBhutan,30,FBhutan30,0.439340239
FBolivia,30,FBolivia30,0.86806473
FBosnia and Herzegovina,30,FBosnia and Herzegovina30,1.013158517
FBotswana,30,FBotswana30,0.475123852
FBouvet Island,30,FBouvet Island30,0.917100363
FBrazil,30,FBrazil30,1.066636227
FBritish Indian Ocean Territory,30,FBritish Indian Ocean Territory30,1.485904194
FBrunei Darussalam,30,FBrunei Darussalam30,0.740037727
FBulgaria,30,FBulgaria30,0.937879799
FBurkina Faso,30,FBurkina Faso30,0.62599048
FBurundi,30,FBurundi30,1.485904194
FCambodia,30,FCambodia30,0.740037727
FCameroon,30,FCameroon30,0.62599048
FCanada,30,FCanada30,1.104848789
FCape Verde,30,FCape Verde30,0.62599048
FCayman Islands,30,FCayman Islands30,0.981042121
FCentral African Republic,30,FCentral African Republic30,0.62599048
FChad,30,FChad30,0.62599048
FChile,30,FChile30,0.58491222
FChina,30,FChina30,0.674821065
FChristmas Island,30,FChristmas Island30,0.740037727
FCocos (Keeling) Islands,30,FCocos (Keeling) Islands30,0.740037727
FColombia,30,FColombia30,0.915419674
FComoros,30,FComoros30,1.485904194
FCongo,30,FCongo30,0.62599048
"FCongo, The Democratic Republic Of The",30,"FCongo, The Democratic Republic Of The30",0.62599048
FCook Islands,30,FCook Islands30,0.505367428
FCosta Rica,30,FCosta Rica30,0.822679677
FCroatia,30,FCroatia30,0.883887213
FCuba,30,FCuba30,0.662963465
FCyprus,30,FCyprus30,0.990361719
FCzech Republic,30,FCzech Republic30,0.953621425
FCôte D'Ivoire,30,FCôte D'Ivoire30,0.62599048
FDenmark,30,FDenmark30,1.115744746
FDjibouti,30,FDjibouti30,1.485904194
FDominica,30,FDominica30,0.981042121
FDominican Republic,30,FDominican Republic30,0.981042121
FEcuador,30,FEcuador30,0.86806473
FEgypt,30,FEgypt30,0.62599048
FEl Salvador,30,FEl Salvador30,0.822679677
FEquatorial Guinea,30,FEquatorial Guinea30,0.62599048
FEritrea,30,FEritrea30,1.485904194
FEstonia,30,FEstonia30,0.800435677
FEthiopia,30,FEthiopia30,1.485904194
FFalkland Islands (Malvinas),30,FFalkland Islands (Malvinas)30,0.917100363
FFaroe Islands,30,FFaroe Islands30,1
FFiji,30,FFiji30,0.505367428
FFinland,30,FFinland30,0.797983031
FFrance,30,FFrance30,1.034331849
FFrench Guiana,30,FFrench Guiana30,0.915419674
FFrench Polynesia,30,FFrench Polynesia30,0.505367428
FFrench Southern Territories,30,FFrench Southern Territories30,0.475123852
FGabon,30,FGabon30,0.62599048
FGambia,30,FGambia30,0.62599048
FGeorgia,30,FGeorgia30,0.762898825
FGermany,30,FGermany30,0.978756147
FGhana,30,FGhana30,0.62599048
FGibraltar,30,FGibraltar30,0.819956605
FGreece,30,FGreece30,0.762898825
FGreenland,30,FGreenland30,1.104848789
FGrenada,30,FGrenada30,0.981042121
FGuadeloupe,30,FGuadeloupe30,0.981042121
FGuam,30,FGuam30,0.505367428
FGuatemala,30,FGuatemala30,0.822679677
FGuernsey,30,FGuernsey30,1
FGuinea,30,FGuinea30,0.62599048
FGuinea-Bissau,30,FGuinea-Bissau30,0.62599048
FGuyana,30,FGuyana30,0.915419674
FHaiti,30,FHaiti30,0.981042121
FHeard and McDonald Islands,30,FHeard and McDonald Islands30,0.475123852
FHoly See (Vatican City State),30,FHoly See (Vatican City State)30,1.082673224
FHonduras,30,FHonduras30,0.822679677
FHong Kong,30,FHong Kong30,0.674821065
FHungary,30,FHungary30,0.953621425
FIceland,30,FIceland30,1.236644114
FIndia,30,FIndia30,0.439340239
FIndonesia,30,FIndonesia30,0.740037727
FIran (Islamic Republic Of),30,FIran (Islamic Republic Of)30,0.693709097
FIraq,30,FIraq30,0.693709097
FIreland,30,FIreland30,0.952606682
FIsle of Man,30,FIsle of Man30,1
FIsrael,30,FIsrael30,1.050300222
FItaly,30,FItaly30,1.082673224
FJamaica,30,FJamaica30,0.636103912
FJapan,30,FJapan30,0.68325214
FJersey,30,FJersey30,1
FJordan,30,FJordan30,0.52896418
FKazakhstan,30,FKazakhstan30,0.439340239
FKenya,30,FKenya30,1.485904194
FKiribati,30,FKiribati30,0.505367428
"FKorea, Democratic People's Republic Of",30,"FKorea, Democratic People's Republic Of30",1.309215094
"FKorea, Republic of",30,"FKorea, Republic of30",1.309215094
FKuwait,30,FKuwait30,0.395021561
FKyrgyzstan,30,FKyrgyzstan30,0.439340239
FLao People's Democratic Republic,30,FLao People's Democratic Republic30,0.740037727
FLatvia,30,FLatvia30,0.691810685
FLebanon,30,FLebanon30,0.693709097
FLesotho,30,FLesotho30,0.475123852
FLiberia,30,FLiberia30,0.62599048
FLibyan Arab Jamahiriya,30,FLibyan Arab Jamahiriya30,0.491076916
FLiechtenstein,30,FLiechtenstein30,0.978756147
FLithuania,30,FLithuania30,1.003359762
FLuxembourg,30,FLuxembourg30,0.978756147
FMacao,30,FMacao30,0.674821065
"FMacedonia, the Former Yugoslav Republic Of",30,"FMacedonia, the Former Yugoslav Republic Of30",1.013158517
FMadagascar,30,FMadagascar30,1.485904194
FMalawi,30,FMalawi30,2.935517345
FMalaysia,30,FMalaysia30,0.505367428
FMaldives,30,FMaldives30,0.439340239
FMali,30,FMali30,0.62599048
FMalta,30,FMalta30,0.800078532
FMarshall Islands,30,FMarshall Islands30,0.505367428
FMartinique,30,FMartinique30,0.981042121
FMauritania,30,FMauritania30,0.62599048
FMauritius,30,FMauritius30,1.485904194
FMayotte,30,FMayotte30,1.485904194
FMexico,30,FMexico30,0.822679677
"FMicronesia, Federated States Of",30,"FMicronesia, Federated States Of30",0.505367428
FMoldova,30,FMoldova30,0.953621425
FMonaco,30,FMonaco30,0.978756147
FMongolia,30,FMongolia30,0.674821065
FMontenegro,30,FMontenegro30,1.013158517
FMontserrat,30,FMontserrat30,0.981042121
FMorocco,30,FMorocco30,0.62599048
FMozambique,30,FMozambique30,1.485904194
FMyanmar,30,FMyanmar30,0.740037727
FNamibia,30,FNamibia30,0.475123852
FNauru,30,FNauru30,0.505367428
FNepal,30,FNepal30,0.439340239
FNetherlands,30,FNetherlands30,1.108196808
FNetherlands Antilles,30,FNetherlands Antilles30,0.981042121
FNew Caledonia,30,FNew Caledonia30,0.505367428
FNew Zealand,30,FNew Zealand30,1.266500932
FNicaragua,30,FNicaragua30,0.822679677
FNiger,30,FNiger30,0.62599048
FNigeria,30,FNigeria30,0.62599048
FNiue,30,FNiue30,0.505367428
FNorfolk Island,30,FNorfolk Island30,1.227209982
FNorthern Mariana Islands,30,FNorthern Mariana Islands30,0.505367428
FNorway,30,FNorway30,1.045345738
FOman,30,FOman30,0.52896418
FPakistan,30,FPakistan30,0.439340239
FPalau,30,FPalau30,0.740037727
"FPalestinian Territory, Occupied",30,"FPalestinian Territory, Occupied30",0.693709097
FPanama,30,FPanama30,0.822679677
FPapua New Guinea,30,FPapua New Guinea30,0.505367428
FParaguay,30,FParaguay30,1.041402445
FPeru,30,FPeru30,0.86806473
FPhilippines,30,FPhilippines30,0.788041858
FPitcairn,30,FPitcairn30,0.505367428
FPoland,30,FPoland30,0.63133359
FPortugal,30,FPortugal30,1.043560979
FPuerto Rico,30,FPuerto Rico30,0.981042121
FQatar,30,FQatar30,0.670363666
FRomania,30,FRomania30,0.953621425
FRussian Federation,30,FRussian Federation30,0.697191675
FRwanda,30,FRwanda30,1.485904194
FRéunion,30,FRéunion30,1.485904194
FSaint Barthélemy,30,FSaint Barthélemy30,0.981042121
FSaint Helena,30,FSaint Helena30,0.62599048
FSaint Kitts And Nevis,30,FSaint Kitts And Nevis30,0.981042121
FSaint Lucia,30,FSaint Lucia30,0.981042121
FSaint Martin,30,FSaint Martin30,0.981042121
FSaint Pierre And Miquelon,30,FSaint Pierre And Miquelon30,1.104848789
FSaint Vincent And The Grenadines,30,FSaint Vincent And The Grenadines30,0.981042121
FSamoa,30,FSamoa30,0.505367428
FSan Marino,30,FSan Marino30,1.082673224
FSao Tome and Principe,30,FSao Tome and Principe30,0.62599048
FSaudi Arabia,30,FSaudi Arabia30,0.52896418
FSenegal,30,FSenegal30,0.62599048
FSerbia,30,FSerbia30,1.013158517
FSeychelles,30,FSeychelles30,1.485904194
FSierra Leone,30,FSierra Leone30,0.62599048
FSingapore,30,FSingapore30,0.740037727
FSlovakia,30,FSlovakia30,0.771448944
FSlovenia,30,FSlovenia30,0.9939362
FSolomon Islands,30,FSolomon Islands30,0.505367428
FSomalia,30,FSomalia30,1.485904194
FSouth Africa,30,FSouth Africa30,0.475123852
FSouth Georgia and the South Sandwich Islands,30,FSouth Georgia and the South Sandwich Islands30,0.475123852
FSpain,30,FSpain30,0.819956605
FSri Lanka,30,FSri Lanka30,0.439340239
FSudan,30,FSudan30,0.62599048
FSuriname,30,FSuriname30,0.915419674
FSvalbard And Jan Mayen,30,FSvalbard And Jan Mayen30,1.045345738
FSwaziland,30,FSwaziland30,0.475123852
FSweden,30,FSweden30,0.993507029
FSwitzerland,30,FSwitzerland30,0.982331998
FSyrian Arab Republic,30,FSyrian Arab Republic30,0.693709097
"FTaiwan, Province Of China",30,"FTaiwan, Province Of China30",0.674821065
FTajikistan,30,FTajikistan30,0.439340239
"FTanzania, United Republic of",30,"FTanzania, United Republic of30",1.485904194
FThailand,30,FThailand30,0.548903085
FTimor-Leste,30,FTimor-Leste30,0.740037727
FTogo,30,FTogo30,0.62599048
FTokelau,30,FTokelau30,0.505367428
FTonga,30,FTonga30,0.505367428
FTrinidad and Tobago,30,FTrinidad and Tobago30,0.981042121
FTunisia,30,FTunisia30,0.470001254
FTurkey,30,FTurkey30,0.762898825
FTurkmenistan,30,FTurkmenistan30,0.439340239
FTurks and Caicos Islands,30,FTurks and Caicos Islands30,0.981042121
FTuvalu,30,FTuvalu30,0.505367428
FUganda,30,FUganda30,1.485904194
FUkraine,30,FUkraine30,0.904116275
FUnited Arab Emirates,30,FUnited Arab Emirates30,0.52896418
FUnited Kingdom,30,FUnited Kingdom30,1
FUnited States,30,FUnited States30,1.172266718
FUnited States Minor Outlying Islands,30,FUnited States Minor Outlying Islands30,1.172266718
FUruguay,30,FUruguay30,1.041402445
FUzbekistan,30,FUzbekistan30,0.439340239
FVanuatu,30,FVanuatu30,0.505367428
FVenezuela,30,FVenezuela30,0.915419674
Fvietnam,30,Fvietnam30,0.740037727
"FVirgin Islands, British",30,"FVirgin Islands, British30",0.981042121
"FVirgin Islands, U.S.",30,"FVirgin Islands, U.S.30",0.981042121
FWallis and Futuna,30,FWallis and Futuna30,0.505367428
FWestern Sahara,30,FWestern Sahara30,0.62599048
FYemen,30,FYemen30,0.52896418
FZambia,30,FZambia30,1.485904194
FZimbabwe,30,FZimbabwe30,1.549470344
FÅland Islands,30,FÅland Islands30,0.993507029
MAfghanistan,35,MAfghanistan35,0.841852075
MAlbania,35,MAlbania35,1.05124042
MAlgeria,35,MAlgeria35,0.597725866
MAmerican Samoa,35,MAmerican Samoa35,0.671394227
MAndorra,35,MAndorra35,1.174931529
MAngola,35,MAngola35,0.699162905
