years,development
1,0.32412
2,0.67789
3,0.95000
4,1.00000
5,1.00000
6,1.00000
7,1.00000
8,1.00000
9,1.00000
10,1.00000
11,1.00000
12,1.00000
13,1.00000
14,1.00000
15,1.00000
16,1.00000
17,1.00000
18,1.00000
19,1.00000
20,1.00000
