Age (lower bound),Age grouping,Age Band,Average age
0,0,less than 1,0
1,1,1-4,2
5,2,5-9,7
10,3,10-14,12
15,4,15-19,17
20,5,20-24,22
25,6,25-29,27
30,7,30-34,32
35,8,35-39,37
40,9,40-44,42
45,10,45-49,47
50,11,50-54,52
55,12,55-59,57
60,13,60-64,62
65,14,65-69,67
70,15,70-74,72
75,16,75-79,77
80,17,80-84,82
85,18,85-89,87
90,19,90-120,92
120,20,120+,120
