Age band,lx,l(x),logit(l(x))
less than 1,100000.0,1.0,0.0
1-4,97857.8879781421,0.978578879781421,3.82172403510888
5-9,97170.2267759563,0.971702267759563,3.53626778005731
10-14,96869.6010928962,0.968696010928962,3.43220531267601
15-19,96626.4945355191,0.966264945355191,3.35490057325781
20-24,96245.087431694,0.96245087431694,3.24383293132256
25-29,95694.4480874317,0.956944480874317,3.10125495071099
30-34,95019.4344262295,0.950194344262295,2.94853798996773
35-39,94146.131147541,0.94146131147541,2.77774537687299
40-44,92973.3224043716,0.929733224043716,2.58259860577634
45-49,91346.5109289618,0.913465109289618,2.35669748712732
50-54,89118.3579234973,0.891183579234973,2.10288819436601
55-59,85974.3278688525,0.859743278688525,1.81315936448677
60-64,81601.3032786885,0.816013032786885,1.48956540165223
65-69,75500.0191256831,0.755000191256831,1.125460572665
70-74,67380.3661202186,0.673803661202186,0.725439298292635
75-79,56751.3743169399,0.567513743169399,0.271714416348073
80-84,43620.868852459,0.43620868852459,-0.256563395670212
85-89,28514.4972677596,0.285144972677596,-0.919082036147402
90-120,14911.6984750244,0.149116984750244,-1.74154352129017
120,1.0,1e-05,-11.5129154649202
