Age [x],PTD Acc Only Own Occ M 1,PTD Acc Only Own Occ F 1,PTD Acc Only Own Occ M 2,PTD Acc Only Own Occ F 2,PTD Acc Only Own Occ M 3,PTD Acc Only Own Occ F 3,PTD Acc Only Own Occ M 4,PTD Acc Only Own Occ F 4,PTD Sick Only Own Occ M 1,PTD Sick Only Own Occ F 1,PTD Sick Only Own Occ M 2,PTD Sick Only Own Occ F 2,PTD Sick Only Own Occ M 3,PTD Sick Only Own Occ F 3,PTD Sick Only Own Occ M 4,PTD Sick Only Own Occ F 4,PTD Acc Sick Own Occ M 1,PTD Acc Sick Own Occ F 1,PTD Acc Sick Own Occ M 2,PTD Acc Sick Own Occ F 2,PTD Acc Sick Own Occ M 3,PTD Acc Sick Own Occ F 3,PTD Acc Sick Own Occ M 4,PTD Acc Sick Own Occ F 4,PTD Acc Only Any Occ M 1,PTD Acc Only Any Occ F 1,PTD Acc Only Any Occ M 2,PTD Acc Only Any Occ F 2,PTD Acc Only Any Occ M 3,PTD Acc Only Any Occ F 3,PTD Acc Only Any Occ M 4,PTD Acc Only Any Occ F 4,PTD Sick Only Any Occ M 1,PTD Sick Only Any Occ F 1,PTD Sick Only Any Occ M 2,PTD Sick Only Any Occ F 2,PTD Sick Only Any Occ M 3,PTD Sick Only Any Occ F 3,PTD Sick Only Any Occ M 4,PTD Sick Only Any Occ F 4,PTD Acc Sick Any Occ M 1,PTD Acc Sick Any Occ F 1,PTD Acc Sick Any Occ M 2,PTD Acc Sick Any Occ F 2,PTD Acc Sick Any Occ M 3,PTD Acc Sick Any Occ F 3,PTD Acc Sick Any Occ M 4,PTD Acc Sick Any Occ F 4,PPD Acc Only Full Contl Scale M 1,PPD Acc Only Full Contl Scale F 1,PPD Acc Only Full Contl Scale M 2,PPD Acc Only Full Contl Scale F 2,PPD Acc Only Full Contl Scale M 3,PPD Acc Only Full Contl Scale F 3,PPD Acc Only Full Contl Scale M 4,PPD Acc Only Full Contl Scale F 4,PPD Sick Only Full Contl Scale M 1,PPD Sick Only Full Contl Scale F 1,PPD Sick Only Full Contl Scale M 2,PPD Sick Only Full Contl Scale F 2,PPD Sick Only Full Contl Scale M 3,PPD Sick Only Full Contl Scale F 3,PPD Sick Only Full Contl Scale M 4,PPD Sick Only Full Contl Scale F 4,PPD Acc Sick Full Contl Scale M 1,PPD Acc Sick Full Contl Scale F 1,PPD Acc Sick Full Contl Scale M 2,PPD Acc Sick Full Contl Scale F 2,PPD Acc Sick Full Contl Scale M 3,PPD Acc Sick Full Contl Scale F 3,PPD Acc Sick Full Contl Scale M 4,PPD Acc Sick Full Contl Scale F 4,PPD Acc Only Ltd Scale M 1,PPD Acc Only Ltd Scale F 1,PPD Acc Only Ltd Scale M 2,PPD Acc Only Ltd Scale F 2,PPD Acc Only Ltd Scale M 3,PPD Acc Only Ltd Scale F 3,PPD Acc Only Ltd Scale M 4,PPD Acc Only Ltd Scale F 4,PPD Sick Only Ltd Scale M 1,PPD Sick Only Ltd Scale F 1,PPD Sick Only Ltd Scale M 2,PPD Sick Only Ltd Scale F 2,PPD Sick Only Ltd Scale M 3,PPD Sick Only Ltd Scale F 3,PPD Sick Only Ltd Scale M 4,PPD Sick Only Ltd Scale F 4,PPD Acc Sick Ltd Scale M 1,PPD Acc Sick Ltd Scale F 1,PPD Acc Sick Ltd Scale M 2,PPD Acc Sick Ltd Scale F 2,PPD Acc Sick Ltd Scale M 3,PPD Acc Sick Ltd Scale F 3,PPD Acc Sick Ltd Scale M 4,PPD Acc Sick Ltd Scale F 4,TTD Acc Only M 1,TTD Acc Only F 1,TTD Acc Only M 2,TTD Acc Only F 2,TTD Acc Only M 3,TTD Acc Only F 3,TTD Acc Only M 4,TTD Acc Only F 4,TTD Sick Only M 1,TTD Sick Only F 1,TTD Sick Only M 2,TTD Sick Only F 2,TTD Sick Only M 3,TTD Sick Only F 3,TTD Sick Only M 4,TTD Sick Only F 4,TTD Acc Sick M 1,TTD Acc Sick F 1,TTD Acc Sick M 2,TTD Acc Sick F 2,TTD Acc Sick M 3,TTD Acc Sick F 3,TTD Acc Sick M 4,TTD Acc Sick F 4
17,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
18,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
19,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
20,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
21,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
22,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
23,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
24,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
25,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
26,0.032,0.02,0.0352,0.022,0.0384,0.024,0.0448,0.028,0.048,0.036,0.0528,0.0396,0.0576,0.0432,0.0672,0.0504,0.08,0.06,0.088,0.066,0.096,0.072,0.112,0.084,0.02,0.015,0.022,0.0165,0.024,0.018,0.028,0.021,0.036,0.027,0.0396,0.0297,0.0432,0.0324,0.0504,0.0378,0.06,0.045,0.066,0.0495,0.072,0.054,0.084,0.063,0.12,0.09,0.132,0.099,0.144,0.108,0.168,0.126,0.1,0.13,0.11,0.143,0.12,0.156,0.14,0.182,0.22,0.22,0.242,0.242,0.264,0.264,0.308,0.308,0.09,0.09,0.099,0.099,0.108,0.108,0.126,0.126,0.08,0.08,0.088,0.088,0.096,0.096,0.112,0.112,0.17,0.17,0.187,0.187,0.204,0.204,0.238,0.238,0.122859777874919,0.0671889410253462,0.135145755662411,0.0739078351278808,0.147431733449902,0.0806267292304154,0.172003689024886,0.0940645174354846,0.0868311502600039,0.0633143803979195,0.0955142652860042,0.0696458184377114,0.104197380312005,0.0759772564775034,0.121563610364005,0.0886401325570873,0.209690928134923,0.130503321423266,0.230660020948415,0.143553653565592,0.251629113761907,0.156603985707919,0.293567299388892,0.182704649992572
