policy_id,model_version_id,datafix,status,time,error_step,error_message,error_detail,time_taken,policy_id_new
327535,5673,yes,,,,,,,
1285936,5673,yes,,,,,,,
1285944,5673,yes,,,,,,,
1288226,5673,yes,,,,,,,
1288246,5673,yes,,,,,,,
1289387,5673,yes,,,,,,,
1291014,5673,yes,,,,,,,
1292633,5673,yes,,,,,,,
1292634,5673,yes,,,,,,,
1292635,5673,yes,,,,,,,
1292636,5673,yes,,,,,,,
1292637,5673,yes,,,,,,,
1292638,5673,yes,,,,,,,
1292639,5673,yes,,,,,,,
1292640,5673,yes,,,,,,,
1292641,5673,yes,,,,,,,
1292642,5673,yes,,,,,,,
1292643,5673,yes,,,,,,,
1292644,5673,yes,,,,,,,
1292645,5673,yes,,,,,,,
1292646,5673,yes,,,,,,,
1292647,5673,yes,,,,,,,
1292648,5673,yes,,,,,,,
1292649,5673,yes,,,,,,,
1292650,5673,yes,,,,,,,
1292651,5673,yes,,,,,,,
1292652,5673,yes,,,,,,,
1292653,5673,yes,,,,,,,
1292654,5673,yes,,,,,,,
1292655,5673,yes,,,,,,,
1292656,5673,yes,,,,,,,
1292657,5673,yes,,,,,,,
1292658,5673,yes,,,,,,,
1292659,5673,yes,,,,,,,
1292660,5673,yes,,,,,,,
1292661,5673,yes,,,,,,,
1292662,5673,yes,,,,,,,
1292663,5673,yes,,,,,,,
1292664,5673,yes,,,,,,,
1292665,5673,yes,,,,,,,
1292666,5673,yes,,,,,,,
1292667,5673,yes,,,,,,,
1292668,5673,yes,,,,,,,
1292669,5673,yes,,,,,,,
1292670,5673,yes,,,,,,,
1292671,5673,yes,,,,,,,
1292672,5673,yes,,,,,,,
1292673,5673,yes,,,,,,,
1292674,5673,yes,,,,,,,
1292675,5673,yes,,,,,,,
1292676,5673,yes,,,,,,,
1292677,5673,yes,,,,,,,
1292678,5673,yes,,,,,,,
1292679,5673,yes,,,,,,,
1292680,5673,yes,,,,,,,
1292681,5673,yes,,,,,,,
1292682,5673,yes,,,,,,,
1292683,5673,yes,,,,,,,
1292684,5673,yes,,,,,,,
1292685,5673,yes,,,,,,,
1292686,5673,yes,,,,,,,
1292687,5673,yes,,,,,,,
1292687,5673,yes,,,,,,,
1292688,5673,yes,,,,,,,
1292689,5673,yes,,,,,,,
1292690,5673,yes,,,,,,,
1292691,5673,yes,,,,,,,
1292692,5673,yes,,,,,,,
1292693,5673,yes,,,,,,,
1292694,5673,yes,,,,,,,
1292695,5673,yes,,,,,,,
1292696,5673,yes,,,,,,,
1292697,5673,yes,,,,,,,
1292698,5673,yes,,,,,,,
1292699,5673,yes,,,,,,,
1292700,5673,yes,,,,,,,
1292701,5673,yes,,,,,,,
1292702,5673,yes,,,,,,,
1292703,5673,yes,,,,,,,
1292704,5673,yes,,,,,,,
1292705,5673,yes,,,,,,,
1292706,5673,yes,,,,,,,
1292707,5673,yes,,,,,,,
1292708,5673,yes,,,,,,,
1292709,5673,yes,,,,,,,
1292710,5673,yes,,,,,,,
1292711,5673,yes,,,,,,,
1292712,5673,yes,,,,,,,
1292713,5673,yes,,,,,,,
1292714,5673,yes,,,,,,,
1292715,5673,yes,,,,,,,
1292716,5673,yes,,,,,,,
1292717,5673,yes,,,,,,,
1292718,5673,yes,,,,,,,
1292719,5673,yes,,,,,,,
1292720,5673,yes,,,,,,,
1292721,5673,yes,,,,,,,
1292722,5673,yes,,,,,,,
1292723,5673,yes,,,,,,,
1292724,5673,yes,,,,,,,
1292725,5673,yes,,,,,,,
1292726,5673,yes,,,,,,,
1292727,5673,yes,,,,,,,
1292728,5673,yes,,,,,,,
1292729,5673,yes,,,,,,,
1292730,5673,yes,,,,,,,
1292731,5673,yes,,,,,,,
1292732,5673,yes,,,,,,,
1292733,5673,yes,,,,,,,
1292734,5673,yes,,,,,,,
1292735,5673,yes,,,,,,,
1292736,5673,yes,,,,,,,
1292737,5673,yes,,,,,,,
1292738,5673,yes,,,,,,,
1292739,5673,yes,,,,,,,
1292740,5673,yes,,,,,,,
1292741,5673,yes,,,,,,,
1292742,5673,yes,,,,,,,
1292743,5673,yes,,,,,,,
1292744,5673,yes,,,,,,,
1292745,5673,yes,,,,,,,
1292746,5673,yes,,,,,,,
1292747,5673,yes,,,,,,,
1292748,5673,yes,,,,,,,
1292749,5673,yes,,,,,,,
1292750,5673,yes,,,,,,,
1292751,5673,yes,,,,,,,
1292752,5673,yes,,,,,,,
1292753,5673,yes,,,,,,,
1292754,5673,yes,,,,,,,
1292755,5673,yes,,,,,,,
1292756,5673,yes,,,,,,,
1292757,5673,yes,,,,,,,
1292758,5673,yes,,,,,,,
1292759,5673,yes,,,,,,,
1292760,5673,yes,,,,,,,
1292761,5673,yes,,,,,,,
1292762,5673,yes,,,,,,,
1292763,5673,yes,,,,,,,
1292764,5673,yes,,,,,,,
1292765,5673,yes,,,,,,,
1292765,5673,yes,,,,,,,
1292766,5673,yes,,,,,,,
1292767,5673,yes,,,,,,,
1292768,5673,yes,,,,,,,
1292769,5673,yes,,,,,,,
1292770,5673,yes,,,,,,,
1292771,5673,yes,,,,,,,
1292772,5673,yes,,,,,,,
1292773,5673,yes,,,,,,,
1292774,5673,yes,,,,,,,
1292775,5673,yes,,,,,,,
1292776,5673,yes,,,,,,,
1292777,5673,yes,,,,,,,
1292778,5673,yes,,,,,,,
1292779,5673,yes,,,,,,,
1292780,5673,yes,,,,,,,
1292781,5673,yes,,,,,,,
1292782,5673,yes,,,,,,,
1292783,5673,yes,,,,,,,
1292784,5673,yes,,,,,,,
1292785,5673,yes,,,,,,,
1292786,5673,yes,,,,,,,
1292787,5673,yes,,,,,,,
1292788,5673,yes,,,,,,,
1292789,5673,yes,,,,,,,
1292790,5673,yes,,,,,,,
1292791,5673,yes,,,,,,,
1292792,5673,yes,,,,,,,
1292793,5673,yes,,,,,,,
1292794,5673,yes,,,,,,,
1292795,5673,yes,,,,,,,
1292796,5673,yes,,,,,,,
1292797,5673,yes,,,,,,,
1292798,5673,yes,,,,,,,
1292799,5673,yes,,,,,,,
1292800,5673,yes,,,,,,,
1292801,5673,yes,,,,,,,
1292802,5673,yes,,,,,,,
1292803,5673,yes,,,,,,,
1292804,5673,yes,,,,,,,
1292805,5673,yes,,,,,,,
1292806,5673,yes,,,,,,,
1292807,5673,yes,,,,,,,
1292808,5673,yes,,,,,,,
1292809,5673,yes,,,,,,,
1292810,5673,yes,,,,,,,
1292811,5673,yes,,,,,,,
1292812,5673,yes,,,,,,,
1292813,5673,yes,,,,,,,
1292814,5673,yes,,,,,,,
1292815,5673,yes,,,,,,,
1292816,5673,yes,,,,,,,
1292816,5673,yes,,,,,,,
1292817,5673,yes,,,,,,,
1292818,5673,yes,,,,,,,
1292819,5673,yes,,,,,,,
1292820,5673,yes,,,,,,,
1292821,5673,yes,,,,,,,
1292822,5673,yes,,,,,,,
1292823,5673,yes,,,,,,,
1292824,5673,yes,,,,,,,
1292825,5673,yes,,,,,,,
1292826,5673,yes,,,,,,,
1292827,5673,yes,,,,,,,
1292828,5673,yes,,,,,,,
1292829,5673,yes,,,,,,,
1292830,5673,yes,,,,,,,
1292831,5673,yes,,,,,,,
1292832,5673,yes,,,,,,,
1292833,5673,yes,,,,,,,
1292834,5673,yes,,,,,,,
1292835,5673,yes,,,,,,,
1292836,5673,yes,,,,,,,
1292837,5673,yes,,,,,,,
