Index,Buildings,Contents
WYOMINGEASTERN WYOMING,0.2220000000000000000,0.194000000000000000
HAWAIIENTIRE STATE,0.0050000000000000000,0.004500000000000000
ALASKAENTIRE STATE,0.0280000000000000000,0.029000000000000000
ALABAMAUNKNOWN,0.1075000000000000000,0.088000000000000000
ARIZONAUNKNOWN,0.0510000000000000000,0.065000000000000000
ARKANSASUNKNOWN,0.2030000000000000000,0.236000000000000000
CALIFORNIAUNKNOWN,0.0137500000000000000,0.016250000000000000
COLORADOUNKNOWN,0.1310000000000000000,0.067000000000000000
CONNECTICUTUNKNOWN,0.0415000000000000000,0.046500000000000000
DELAWAREUNKNOWN,0.1000000000000000000,0.108000000000000000
DIST. OF COLUMBIAUNKNOWN,0.0520000000000000000,0.046000000000000000
FLORIDAUNKNOWN,0.0343750000000000000,0.072500000000000000
GEORGIAUNKNOWN,0.0595833333333333000,0.050416666666666700
ILLINOISUNKNOWN,0.0850000000000000000,0.099500000000000000
INDIANAUNKNOWN,0.0870000000000000000,0.106000000000000000
IOWAUNKNOWN,0.3240000000000000000,0.364000000000000000
KANSASUNKNOWN,0.4190000000000000000,0.371000000000000000
KENTUCKYUNKNOWN,0.1130000000000000000,0.139000000000000000
MAINEUNKNOWN,0.0160000000000000000,0.018000000000000000
MARYLANDUNKNOWN,0.0455000000000000000,0.048500000000000000
MASSACHUSETTSUNKNOWN,0.0370000000000000000,0.044250000000000000
MICHIGANUNKNOWN,0.0510000000000000000,0.060000000000000000
MINNESOTAUNKNOWN,0.3220000000000000000,0.250000000000000000
MISSOURIUNKNOWN,0.1670000000000000000,0.196000000000000000
MONTANAUNKNOWN,0.2393333333333330000,0.168000000000000000
NEBRASKAUNKNOWN,0.2995000000000000000,0.246000000000000000
NEVADAUNKNOWN,0.0210000000000000000,0.024000000000000000
NEW HAMPSHIREUNKNOWN,0.0480000000000000000,0.054000000000000000
NEW JERSEYUNKNOWN,0.0390000000000000000,0.034333333333333300
NEW MEXICOUNKNOWN,0.1130000000000000000,0.084500000000000000
NEW YORKUNKNOWN,0.0973333333333333000,0.104666666666667000
NORTH CAROLINAUNKNOWN,0.0820000000000000000,0.072000000000000000
NORTH DAKOTAUNKNOWN,0.3620000000000000000,0.372000000000000000
OHIOUNKNOWN,0.0610000000000000000,0.075000000000000000
OKLAHOMAUNKNOWN,0.3360000000000000000,0.288000000000000000
OREGONUNKNOWN,0.0250000000000000000,0.028000000000000000
PENNSYLVANIAUNKNOWN,0.0360000000000000000,0.047000000000000000
RHODE ISLANDUNKNOWN,0.0940000000000000000,0.103000000000000000
SOUTH CAROLINAUNKNOWN,0.1130000000000000000,0.091000000000000000
SOUTH DAKOTAUNKNOWN,0.4140000000000000000,0.476000000000000000
TENNESSEEUNKNOWN,0.1280000000000000000,0.149000000000000000
TEXASUNKNOWN,0.3836250000000000000,0.292500000000000000
UTAHUNKNOWN,0.0170000000000000000,0.019000000000000000
IDAHOUNKNOWN,0.0350000000000000000,0.032000000000000000
LOUISIANAUNKNOWN,0.1632000000000000000,0.142500000000000000
MISSISSIPPIUNKNOWN,0.1276666666666670000,0.138333333333333000
VERMONTUNKNOWN,0.0620000000000000000,0.072000000000000000
VIRGINIAUNKNOWN,0.0730000000000000000,0.060000000000000000
WASHINGTONUNKNOWN,0.0240000000000000000,0.028000000000000000
WEST VIRGINIAUNKNOWN,0.0470000000000000000,0.051000000000000000
WISCONSINUNKNOWN,0.0610000000000000000,0.056000000000000000
WYOMINGUNKNOWN,0.2130000000000000000,0.190000000000000000
HAWAIIUNKNOWN,0.0050000000000000000,0.004500000000000000
ALASKAUNKNOWN,0.0280000000000000000,0.029000000000000000
ONUNKNOWN,0.0426015625000000000,0.032411458333333300
QCUNKNOWN,0.0696500000000000000,0.062650000000000000
MBUNKNOWN,0.0472625000000000000,0.042512500000000000
NSUNKNOWN,0.0265000000000000000,0.032500000000000000
NBUNKNOWN,0.0265000000000000000,0.032500000000000000
BCUNKNOWN,0.0207733333333333000,0.015804444444444400
PEUNKNOWN,0.0212000000000000000,0.026000000000000000
SKUNKNOWN,0.0268000000000000000,0.021533333333333300
ABUNKNOWN,0.0230000000000000000,0.016166666666666700
NLUNKNOWN,0.0497500000000000000,0.044750000000000000
YTUNKNOWN,0.0225000000000000000,0.023250000000000000
NTUNKNOWN,0.0150000000000000000,0.015500000000000000
NUUNKNOWN,0.0195000000000000000,0.020150000000000000
AUSTRALIAN CAPITAL TERRITORYNA,0.0000000000000000000,0.000000000000000000
NEW SOUTH WALESNA,0.0000000000000000000,0.000000000000000000
NORTHERN TERRITORYNA,0.0000000000000000000,0.000000000000000000
QUEENSLANDNA,0.0000000000000000000,0.000000000000000000
SOUTH AUSTRALIANA,0.0000000000000000000,0.000000000000000000
TASMANIANA,0.0000000000000000000,0.000000000000000000
VICTORIANA,0.0000000000000000000,0.000000000000000000
WESTERN AUSTRALIANA,0.0000000000000000000,0.000000000000000000
LONDONNA,0.0000000000000000000,0.000000000000000000
SOUTH WESTNA,0.0000000000000000000,0.000000000000000000
SOUTH EASTNA,0.0000000000000000000,0.000000000000000000
WEST MIDLANDSNA,0.0000000000000000000,0.000000000000000000
EAST MIDLANDSNA,0.0000000000000000000,0.000000000000000000
EAST ANGLIANA,0.0000000000000000000,0.000000000000000000
NORTH WESTNA,0.0000000000000000000,0.000000000000000000
NORTH EASTNA,0.0000000000000000000,0.000000000000000000
YORKSHIRE AND HUMBERSIDENA,0.0000000000000000000,0.000000000000000000
SCOTLANDNA,0.0000000000000000000,0.000000000000000000
WALESNA,0.0000000000000000000,0.000000000000000000
AUCKLANDNA,0.0000000000000000000,0.000000000000000000
TARANAKINA,0.0000000000000000000,0.000000000000000000
HAWKE'S BAYNA,0.0000000000000000000,0.000000000000000000
WELLINGTONNA,0.0000000000000000000,0.000000000000000000
NELSONNA,0.0000000000000000000,0.000000000000000000
CANTERBURYNA,0.0000000000000000000,0.000000000000000000
OTAGONA,0.0000000000000000000,0.000000000000000000
NORTHLAND REGIONNA,0.0000000000000000000,0.000000000000000000
WAIKATONA,0.0000000000000000000,0.000000000000000000
GISBORNE DISTRICTNA,0.0000000000000000000,0.000000000000000000
BAY OF PLENTYNA,0.0000000000000000000,0.000000000000000000
MANAWATU-WANGANUINA,0.0000000000000000000,0.000000000000000000
MARLBOROUGHNA,0.0000000000000000000,0.000000000000000000
SOUTHLANDNA,0.0000000000000000000,0.000000000000000000
WEST COASTNA,0.0000000000000000000,0.000000000000000000
TASMAN DISTRICTNA,0.0000000000000000000,0.000000000000000000
WELLINGTON REGIONNA,0.0000000000000000000,0.000000000000000000
AUCKLAND REGIONNA,0.0000000000000000000,0.000000000000000000
BRITTANYNA,0.0000000000000000000,0.000000000000000000
BOURGOGNE-FRANCHE-COMTÉNA,0.0000000000000000000,0.000000000000000000
CORSICANA,0.0000000000000000000,0.000000000000000000
CENTRE-VAL DE LOIRENA,0.0000000000000000000,0.000000000000000000
GRAND ESTNA,0.0000000000000000000,0.000000000000000000
HAUTS-DE-FRANCENA,0.0000000000000000000,0.000000000000000000
ÎLE-DE-FRANCENA,0.0000000000000000000,0.000000000000000000
NOUVELLE-AQUITAINENA,0.0000000000000000000,0.000000000000000000
NORMANDYNA,0.0000000000000000000,0.000000000000000000
OCCITANIANA,0.0000000000000000000,0.000000000000000000
PAYS DE LA LOIRENA,0.0000000000000000000,0.000000000000000000
PROVENCE-ALPES-CÔTE D'AZURNA,0.0000000000000000000,0.000000000000000000
