Scheme Code,ISO Class
RMS-4A2,ISO.5
RMS-4A3,ISO.5
RMS-4A4,ISO.5
RMS-4A5,ISO.5
RMS-4A7,ISO.3
RMS-4B,ISO.3
RMS-4B1,ISO.3
RMS-4B2,ISO.3
RMS-4C,ISO.5
RMS-50A,ISO.1
RMS-50B,ISO.1
RMS-50C,ISO.1
RMS-50D,ISO.1
RMS-51A,ISO.1
RMS-51B,ISO.1
RMS-52A,ISO.1
RMS-52B,ISO.1
RMS-5A,ISO.1
RMS-5B,ISO.1
FIRE-0,ISO.1
FIRE-1,ISO.1
FIRE-2,ISO.2
FIRE-3,ISO.3
FIRE-4,ISO.4
FIRE-5,ISO.5
FIRE-6,ISO.6
FIRE-7,ISO.2
FIRE-8,ISO.3
FIRE-9,ISO.4
FIRE-10,ISO.1
FIRE-12,ISO.1
FIRE-14,ISO.1
FIRE-22,ISO.1
FIRE-24,ISO.1
FIRE-25,ISO.1
FIRE-34,ISO.1
FIRE-36,ISO.1
FIRE-37,ISO.1
FIRE-41,ISO.1
FIRE-44,ISO.1
FIRE-45,ISO.1
