StateCounty,Occ.0,Occ.1,Occ.2,Occ.3,Occ.4,Occ.5,Occ.6,Occ.7,Occ.8,Occ.9,Occ.10,Occ.11,Occ.12,Occ.13,Occ.14,Occ.15,Occ.16,Occ.17,Occ.18,Occ.19,Occ.20,Occ.21,Occ.22,Occ.23,Occ.24,Occ.25,Occ.26,Occ.27,Occ.28,Occ.29,Occ.30,Occ.31,Occ.32,Occ.33,Occ.34,Occ.35,Occ.36,Occ.37,Occ.38,Occ.39,Occ.40,Occ.41,Occ.42,Occ.43,Occ.44,Occ.47,Occ.48,Occ.49,Occ.50,Occ.51,Occ.52,Occ.53,Occ.54
CAPlumas County,-0.01113,0.10554,0.10554,0.07978,0.10554,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24485,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.24211,-0.02000,0.09965,0.00000,0.00000,0.02958,-0.02000,-0.03042,-0.03042,-0.03042,-0.03042,-0.03042,-0.03042,-0.03042,-0.03042,-0.02379,-0.03042,0.00000,-0.03042,0.10554,0.10554,0.10554,0.10595,0.10554,0.36685,0.10554,0.00000,0.00000,0.00000,0.07978,0.07978,0.00000,0.00000
CARiverside County,0.05496,0.15163,0.19803,0.21557,0.19803,0.00429,0.00429,-0.00530,-0.00530,-0.00530,0.00429,-0.24212,0.01890,0.01890,0.01890,0.01890,0.01890,0.01890,0.01890,0.01890,0.38018,0.01890,0.18316,-0.00530,-0.00530,0.15935,0.01890,0.01151,0.01151,0.01151,0.01151,0.01151,0.01151,0.01151,0.01151,0.00730,0.01151,0.00000,0.01151,0.18265,0.18265,0.18265,0.20076,0.18894,0.60326,0.19774,0.00429,-0.00530,-0.00530,0.21557,0.21557,0.00000,-0.00530
CASacramento County,0.00627,0.20562,0.24936,0.27838,0.24936,0.00731,0.00731,-0.00879,-0.00879,-0.00879,0.00731,-0.22891,0.04191,0.04191,0.04191,0.04191,0.04191,0.04191,0.04191,0.04191,0.43467,0.04191,0.23411,-0.00879,-0.00879,0.23928,0.04191,0.03741,0.03741,0.03741,0.03741,0.03741,0.03741,0.03741,0.03741,0.02929,0.03741,0.00000,0.03741,0.26802,0.26802,0.26802,0.25342,0.23414,0.67310,0.25009,0.00731,-0.00879,-0.00879,0.27838,0.27838,0.00000,-0.00879
CASan Benito County,-0.01723,0.10715,0.10715,0.08103,0.10715,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.26671,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.24059,-0.02000,0.10125,0.00000,0.00000,0.03096,-0.02000,-0.02651,-0.02651,-0.02651,-0.02651,-0.02651,-0.02651,-0.02651,-0.02651,-0.03277,-0.02651,0.00000,-0.02651,0.10715,0.10715,0.10715,0.10756,0.10715,0.36936,0.10715,0.00000,0.00000,0.00000,0.08103,0.08103,0.00000,0.00000
CASan Bernardino County,0.22754,0.25403,0.39530,0.49430,0.39530,0.01317,0.01317,-0.01627,-0.01627,-0.01627,0.01317,-0.19621,0.09940,0.09940,0.09940,0.09940,0.09940,0.09940,0.09940,0.09940,0.69778,0.09940,0.36266,-0.01627,-0.01627,0.42560,0.09940,0.07432,0.07432,0.07432,0.07432,0.07432,0.07432,0.07432,0.07432,0.09534,0.07432,0.00000,0.07432,0.34960,0.34960,0.34960,0.40283,0.36740,1.09692,0.39480,0.01317,-0.01627,-0.01627,0.49430,0.49430,0.00000,-0.01627
CASan Diego County,0.27145,0.32597,0.44123,0.54081,0.44123,0.01557,0.01557,-0.05900,-0.05900,-0.05900,0.01557,-0.23749,0.11431,0.11431,0.11431,0.11431,0.11431,0.11431,0.11431,0.11431,0.72424,0.11431,0.41070,-0.05900,-0.05900,0.49037,0.11431,0.11433,0.11433,0.11433,0.11433,0.11433,0.11433,0.11433,0.11433,0.09770,0.11433,0.00000,0.11433,0.45296,0.45296,0.45296,0.44978,0.40840,1.15244,0.44160,0.01557,-0.05900,-0.05900,0.54081,0.54081,0.00000,-0.05900
CASan Francisco County,-0.16549,0.10610,0.10610,0.07174,0.10610,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23183,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.23911,-0.02000,0.10113,0.00000,0.00000,0.02908,-0.02000,-0.03627,-0.03627,-0.03627,-0.03627,-0.03627,-0.03627,-0.03627,-0.03627,-0.01676,-0.03627,0.00000,-0.03627,0.10610,0.10610,0.10610,0.10645,0.10610,0.33485,0.10610,0.00000,0.00000,0.00000,0.07174,0.07174,0.00000,0.00000
CASan Joaquin County,0.29640,0.29908,0.38901,0.49331,0.38901,0.01504,0.01504,-0.01808,-0.01808,-0.01808,0.01504,-0.19504,0.10731,0.10731,0.10731,0.10731,0.10731,0.10731,0.10731,0.10731,0.63076,0.10731,0.36273,-0.01808,-0.01808,0.45610,0.10731,0.11103,0.11103,0.11103,0.11103,0.11103,0.11103,0.11103,0.11103,0.08127,0.11103,0.00000,0.11103,0.42773,0.42773,0.42773,0.39700,0.35772,1.01994,0.39053,0.01504,-0.01808,-0.01808,0.49331,0.49331,0.00000,-0.01808
CASan Luis Obispo County,-0.01224,0.11485,0.11485,0.07843,0.11485,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.25657,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.25121,-0.02000,0.10951,0.00000,0.00000,0.03295,-0.02000,-0.03208,-0.03208,-0.03208,-0.03208,-0.03208,-0.03208,-0.03208,-0.03208,-0.02027,-0.03208,0.00000,-0.03208,0.11485,0.11485,0.11485,0.11522,0.11485,0.36070,0.11485,0.00000,0.00000,0.00000,0.07843,0.07843,0.00000,0.00000
CASan Mateo County,-0.01956,0.10237,0.10237,0.07125,0.10237,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.22767,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.23308,-0.02000,0.09733,0.00000,0.00000,0.02798,-0.02000,-0.03476,-0.03476,-0.03476,-0.03476,-0.03476,-0.03476,-0.03476,-0.03476,-0.01828,-0.03476,0.00000,-0.03476,0.10237,0.10237,0.10237,0.10272,0.10237,0.33203,0.10237,0.00000,0.00000,0.00000,0.07125,0.07125,0.00000,0.00000
CASanta Barbara County,-0.02338,0.11993,0.11993,0.08534,0.11993,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.27007,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.26308,-0.02000,0.11398,0.00000,0.00000,0.03485,-0.02000,-0.03037,-0.03037,-0.03037,-0.03037,-0.03037,-0.03037,-0.03037,-0.03037,-0.02215,-0.03037,0.00000,-0.03037,0.11993,0.11993,0.11993,0.12035,0.11993,0.38985,0.11993,0.00000,0.00000,0.00000,0.08534,0.08534,0.00000,0.00000
CASanta Clara County,-0.04985,0.09317,0.09317,0.06714,0.09317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.21896,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.21015,-0.02000,0.08838,0.00000,0.00000,0.02620,-0.02000,-0.02746,-0.02746,-0.02746,-0.02746,-0.02746,-0.02746,-0.02746,-0.02746,-0.02224,-0.02746,0.00000,-0.02746,0.09317,0.09317,0.09317,0.09351,0.09317,0.30949,0.09317,0.00000,0.00000,0.00000,0.06714,0.06714,0.00000,0.00000
CASanta Cruz County,-0.02597,0.09503,0.09503,0.06956,0.09503,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.23660,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.21527,-0.02000,0.09001,0.00000,0.00000,0.02674,-0.02000,-0.02761,-0.02761,-0.02761,-0.02761,-0.02761,-0.02761,-0.02761,-0.02761,-0.02935,-0.02761,0.00000,-0.02761,0.09503,0.09503,0.09503,0.09539,0.09503,0.32023,0.09503,0.00000,0.00000,0.00000,0.06956,0.06956,0.00000,0.00000
CAShasta County,-0.02581,0.12098,0.12098,0.08554,0.12098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.27894,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.26589,-0.02000,0.11503,0.00000,0.00000,0.03497,-0.02000,-0.03165,-0.03165,-0.03165,-0.03165,-0.03165,-0.03165,-0.03165,-0.03165,-0.02566,-0.03165,0.00000,-0.03165,0.12098,0.12098,0.12098,0.12140,0.12098,0.39156,0.12098,0.00000,0.00000,0.00000,0.08554,0.08554,0.00000,0.00000
CASierra County,-0.01149,0.09761,0.09898,0.07297,0.09898,0.00018,0.00018,-0.00022,-0.00022,-0.00022,0.00018,-0.23623,-0.01842,-0.01842,-0.01842,-0.01842,-0.01842,-0.01842,-0.01842,-0.01842,0.21671,-0.01842,0.09395,-0.00022,-0.00022,0.03257,-0.01842,-0.02458,-0.02458,-0.02458,-0.02458,-0.02458,-0.02458,-0.02458,-0.02458,-0.02750,-0.02458,0.00000,-0.02458,0.09910,0.09910,0.09910,0.09941,0.09860,0.31945,0.09899,0.00018,-0.00022,-0.00022,0.07297,0.07297,0.00000,-0.00022
CASiskiyou County,0.00355,0.14833,0.15012,0.10706,0.15012,0.00020,0.00020,-0.00024,-0.00024,-0.00024,0.00020,-0.28537,-0.01826,-0.01826,-0.01826,-0.01826,-0.01826,-0.01826,-0.01826,-0.01826,0.32446,-0.01826,0.14284,-0.00024,-0.00024,0.04814,-0.01826,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.00397,-0.03665,0.00000,-0.03665,0.14985,0.14985,0.14985,0.15071,0.14969,0.47313,0.15010,0.00020,-0.00024,-0.00024,0.10706,0.10706,0.00000,-0.00024
CASolano County,-0.02588,0.08665,0.08665,0.05728,0.08665,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.21905,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.18217,-0.02000,0.08293,0.00000,0.00000,0.02583,-0.02000,-0.02015,-0.02015,-0.02015,-0.02015,-0.02015,-0.02015,-0.02015,-0.02015,-0.02748,-0.02015,0.00000,-0.02015,0.08665,0.08665,0.08665,0.08691,0.08665,0.26066,0.08665,0.00000,0.00000,0.00000,0.05728,0.05728,0.00000,0.00000
CASonoma County,-0.02929,0.07478,0.07478,0.05363,0.07478,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.20877,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.15864,-0.02000,0.07111,0.00000,0.00000,0.02275,-0.02000,-0.01398,-0.01398,-0.01398,-0.01398,-0.01398,-0.01398,-0.01398,-0.01398,-0.03352,-0.01398,0.00000,-0.01398,0.07478,0.07478,0.07478,0.07503,0.07478,0.24136,0.07478,0.00000,0.00000,0.00000,0.05363,0.05363,0.00000,0.00000
CAStanislaus County,-0.03777,0.09057,0.09057,0.06366,0.09057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.24030,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,-0.02000,0.19371,-0.02000,0.08624,0.00000,0.00000,0.02706,-0.02000,-0.01966,-0.01966,-0.01966,-0.01966,-0.01966,-0.01966,-0.01966,-0.01966,-0.03451,-0.01966,0.00000,-0.01966,0.09057,0.09057,0.09057,0.09088,0.09057,0.28847,0.09057,0.00000,0.00000,0.00000,0.06366,0.06366,0.00000,0.00000
