Index,OccupancyGroup,BUILDING,CONTENTS
NORTH CAROLINACONTRACTORS,14.0,0.00000,0.51300
NORTH CAROLINAINDUST-PROC - HIGH,10.0,0.00000,0.37350
NORTH CAROLINAINDUST-PROC - LOW,11.0,0.00000,0.22800
NORTH CAROLINAINSTITUTIONAL - HIGH,8.0,0.00000,0.14850
NORTH CAROLINAINSTITUTIONAL - LOW,0.0,0.00000,0.07200
NORTH CAROLINAMERCANTILE - HIGH,4.0,0.00000,0.35100
NORTH CAROLINAMERCANTILE - LOW,6.0,0.00000,0.23400
NORTH CAROLINAMERCANTILE - MEDIUM,5.0,0.00000,0.33900
NORTH CAROLINAMOTELS AND HOTELS,7.0,0.00000,0.17400
NORTH CAROLINAOFFICES,3.0,0.00000,0.23700
NORTH CAROLINARES APTS AND CONDOS,2.0,0.00000,0.18000
NORTH CAROLINASERVICE - HIGH,12.0,0.00000,0.23850
NORTH CAROLINASERVICE - LOW,13.0,0.00000,0.18600
NORTH DAKOTABUILDINGS,1.0,0.10200,0.00000
NORTH DAKOTACONTRACTORS,14.0,0.00000,0.26600
NORTH DAKOTAINDUST-PROC - HIGH,10.0,0.00000,0.25000
NORTH DAKOTAINDUST-PROC - LOW,11.0,0.00000,0.18200
NORTH DAKOTAINSTITUTIONAL - HIGH,8.0,0.00000,0.12200
NORTH DAKOTAINSTITUTIONAL - LOW,0.0,0.00000,0.07600
NORTH DAKOTAMERCANTILE - HIGH,4.0,0.00000,0.23800
NORTH DAKOTAMERCANTILE - LOW,6.0,0.00000,0.16200
NORTH DAKOTAMERCANTILE - MEDIUM,5.0,0.00000,0.20200
NORTH DAKOTAMOTELS AND HOTELS,7.0,0.00000,0.11400
NORTH DAKOTAOFFICES,3.0,0.00000,0.18400
NORTH DAKOTARES APTS AND CONDOS,2.0,0.00000,0.44800
NORTH DAKOTASERVICE - HIGH,12.0,0.00000,0.21200
NORTH DAKOTASERVICE - LOW,13.0,0.00000,0.16400
OHIOBUILDINGS,1.0,0.04200,0.00000
OHIOCONTRACTORS,14.0,0.00000,0.32700
OHIOINDUST-PROC - HIGH,10.0,0.00000,0.29500
OHIOINDUST-PROC - LOW,11.0,0.00000,0.18700
OHIOINSTITUTIONAL - HIGH,8.0,0.00000,0.14400
OHIOINSTITUTIONAL - LOW,0.0,0.00000,0.04500
OHIOMERCANTILE - HIGH,4.0,0.00000,0.20700
OHIOMERCANTILE - LOW,6.0,0.00000,0.15500
OHIOMERCANTILE - MEDIUM,5.0,0.00000,0.27300
OHIOMOTELS AND HOTELS,7.0,0.00000,0.13000
OHIOOFFICES,3.0,0.00000,0.13000
OHIORES APTS AND CONDOS,2.0,0.00000,0.12600
OHIOSERVICE - HIGH,12.0,0.00000,0.17800
OHIOSERVICE - LOW,13.0,0.00000,0.14900
OKLAHOMABUILDINGS,1.0,0.06500,0.00000
OKLAHOMACONTRACTORS,14.0,0.00000,0.23700
OKLAHOMAINDUST-PROC - HIGH,10.0,0.00000,0.20600
OKLAHOMAINDUST-PROC - LOW,11.0,0.00000,0.15000
OKLAHOMAINSTITUTIONAL - HIGH,8.0,0.00000,0.09500
OKLAHOMAINSTITUTIONAL - LOW,0.0,0.00000,0.05600
OKLAHOMAMERCANTILE - HIGH,4.0,0.00000,0.20400
OKLAHOMAMERCANTILE - LOW,6.0,0.00000,0.14200
OKLAHOMAMERCANTILE - MEDIUM,5.0,0.00000,0.17800
OKLAHOMAMOTELS AND HOTELS,7.0,0.00000,0.10600
OKLAHOMAOFFICES,3.0,0.00000,0.10900
OKLAHOMARES APTS AND CONDOS,2.0,0.00000,0.23100
OKLAHOMASERVICE - HIGH,12.0,0.00000,0.13300
OKLAHOMASERVICE - LOW,13.0,0.00000,0.13200
OREGONBUILDINGS,1.0,0.04200,0.00000
OREGONCONTRACTORS,14.0,0.00000,0.29500
OREGONINDUST-PROC - HIGH,10.0,0.00000,0.28800
OREGONINDUST-PROC - LOW,11.0,0.00000,0.20000
OREGONINSTITUTIONAL - HIGH,8.0,0.00000,0.11200
OREGONINSTITUTIONAL - LOW,0.0,0.00000,0.07300
OREGONMERCANTILE - HIGH,4.0,0.00000,0.22100
OREGONMERCANTILE - LOW,6.0,0.00000,0.16500
OREGONMERCANTILE - MEDIUM,5.0,0.00000,0.21300
OREGONMOTELS AND HOTELS,7.0,0.00000,0.11500
OREGONOFFICES,3.0,0.00000,0.15900
OREGONRES APTS AND CONDOS,2.0,0.00000,0.17300
OREGONSERVICE - HIGH,12.0,0.00000,0.16700
OREGONSERVICE - LOW,13.0,0.00000,0.15100
PENNSYLVANIABUILDINGS,1.0,0.06800,0.00000
PENNSYLVANIACONTRACTORS,14.0,0.00000,0.28900
PENNSYLVANIAINDUST-PROC - HIGH,10.0,0.00000,0.18300
PENNSYLVANIAINDUST-PROC - LOW,11.0,0.00000,0.15600
PENNSYLVANIAINSTITUTIONAL - HIGH,8.0,0.00000,0.05900
PENNSYLVANIAINSTITUTIONAL - LOW,0.0,0.00000,0.02500
PENNSYLVANIAMERCANTILE - HIGH,4.0,0.00000,0.17200
PENNSYLVANIAMERCANTILE - LOW,6.0,0.00000,0.13200
PENNSYLVANIAMERCANTILE - MEDIUM,5.0,0.00000,0.20100
PENNSYLVANIAMOTELS AND HOTELS,7.0,0.00000,0.09000
PENNSYLVANIAOFFICES,3.0,0.00000,0.12900
PENNSYLVANIARES APTS AND CONDOS,2.0,0.00000,0.09200
PENNSYLVANIASERVICE - HIGH,12.0,0.00000,0.11900
PENNSYLVANIASERVICE - LOW,13.0,0.00000,0.10300
RHODE ISLANDBUILDINGS,1.0,0.11400,0.00000
RHODE ISLANDCONTRACTORS,14.0,0.00000,0.43800
RHODE ISLANDINDUST-PROC - HIGH,10.0,0.00000,0.42000
RHODE ISLANDINDUST-PROC - LOW,11.0,0.00000,0.32400
RHODE ISLANDINSTITUTIONAL - HIGH,8.0,0.00000,0.20200
RHODE ISLANDINSTITUTIONAL - LOW,0.0,0.00000,0.14800
RHODE ISLANDMERCANTILE - HIGH,4.0,0.00000,0.43000
RHODE ISLANDMERCANTILE - LOW,6.0,0.00000,0.28200
RHODE ISLANDMERCANTILE - MEDIUM,5.0,0.00000,0.37000
RHODE ISLANDMOTELS AND HOTELS,7.0,0.00000,0.20600
RHODE ISLANDOFFICES,3.0,0.00000,0.29400
RHODE ISLANDRES APTS AND CONDOS,2.0,0.00000,0.67200
RHODE ISLANDSERVICE - HIGH,12.0,0.00000,0.35600
RHODE ISLANDSERVICE - LOW,13.0,0.00000,0.27000
SOUTH CAROLINABUILDINGS,1.0,0.04500,0.00000
SOUTH CAROLINACONTRACTORS,14.0,0.00000,0.29550
SOUTH CAROLINAINDUST-PROC - HIGH,10.0,0.00000,0.22200
SOUTH CAROLINAINDUST-PROC - LOW,11.0,0.00000,0.17250
SOUTH CAROLINAINSTITUTIONAL - HIGH,8.0,0.00000,0.11100
SOUTH CAROLINAINSTITUTIONAL - LOW,0.0,0.00000,0.05700
SOUTH CAROLINAMERCANTILE - HIGH,4.0,0.00000,0.25650
SOUTH CAROLINAMERCANTILE - LOW,6.0,0.00000,0.17100
SOUTH CAROLINAMERCANTILE - MEDIUM,5.0,0.00000,0.21450
SOUTH CAROLINAMOTELS AND HOTELS,7.0,0.00000,0.12450
SOUTH CAROLINAOFFICES,3.0,0.00000,0.19200
SOUTH CAROLINARES APTS AND CONDOS,2.0,0.00000,0.27300
SOUTH CAROLINASERVICE - HIGH,12.0,0.00000,0.20550
SOUTH CAROLINASERVICE - LOW,13.0,0.00000,0.14850
SOUTH DAKOTABUILDINGS,1.0,0.06200,0.00000
SOUTH DAKOTACONTRACTORS,14.0,0.00000,0.26400
SOUTH DAKOTAINDUST-PROC - HIGH,10.0,0.00000,0.32200
SOUTH DAKOTAINDUST-PROC - LOW,11.0,0.00000,0.20000
SOUTH DAKOTAINSTITUTIONAL - HIGH,8.0,0.00000,0.13000
SOUTH DAKOTAINSTITUTIONAL - LOW,0.0,0.00000,0.08800
SOUTH DAKOTAMERCANTILE - HIGH,4.0,0.00000,0.24600
SOUTH DAKOTAMERCANTILE - LOW,6.0,0.00000,0.17800
SOUTH DAKOTAMERCANTILE - MEDIUM,5.0,0.00000,0.22800
SOUTH DAKOTAMOTELS AND HOTELS,7.0,0.00000,0.13000
SOUTH DAKOTAOFFICES,3.0,0.00000,0.16400
SOUTH DAKOTARES APTS AND CONDOS,2.0,0.00000,0.38600
SOUTH DAKOTASERVICE - HIGH,12.0,0.00000,0.24800
SOUTH DAKOTASERVICE - LOW,13.0,0.00000,0.20000
TENNESSEEBUILDINGS,1.0,0.05300,0.00000
TENNESSEECONTRACTORS,14.0,0.00000,0.37400
TENNESSEEINDUST-PROC - HIGH,10.0,0.00000,0.18500
TENNESSEEINDUST-PROC - LOW,11.0,0.00000,0.14700
TENNESSEEINSTITUTIONAL - HIGH,8.0,0.00000,0.08000
TENNESSEEINSTITUTIONAL - LOW,0.0,0.00000,0.04800
TENNESSEEMERCANTILE - HIGH,4.0,0.00000,0.22100
TENNESSEEMERCANTILE - LOW,6.0,0.00000,0.17600
TENNESSEEMERCANTILE - MEDIUM,5.0,0.00000,0.26100
TENNESSEEMOTELS AND HOTELS,7.0,0.00000,0.12300
TENNESSEEOFFICES,3.0,0.00000,0.16000
TENNESSEERES APTS AND CONDOS,2.0,0.00000,0.14300
TENNESSEESERVICE - HIGH,12.0,0.00000,0.18700
TENNESSEESERVICE - LOW,13.0,0.00000,0.13800
TEXASBUILDINGS,1.0,0.12750,0.00000
TEXASCONTRACTORS,14.0,0.00000,0.44700
TEXASINDUST-PROC - HIGH,10.0,0.00000,0.33150
TEXASINDUST-PROC - LOW,11.0,0.00000,0.29400
TEXASINSTITUTIONAL - HIGH,8.0,0.00000,0.20550
TEXASINSTITUTIONAL - LOW,0.0,0.00000,0.09450
TEXASMERCANTILE - HIGH,4.0,0.00000,0.31650
TEXASMERCANTILE - LOW,6.0,0.00000,0.28650
TEXASMERCANTILE - MEDIUM,5.0,0.00000,0.41100
TEXASMOTELS AND HOTELS,7.0,0.00000,0.23850
TEXASOFFICES,3.0,0.00000,0.18450
TEXASRES APTS AND CONDOS,2.0,0.00000,0.52200
TEXASSERVICE - HIGH,12.0,0.00000,0.28950
TEXASSERVICE - LOW,13.0,0.00000,0.19950
UTAHBUILDINGS,1.0,0.02600,0.00000
UTAHCONTRACTORS,14.0,0.00000,0.20300
UTAHINDUST-PROC - HIGH,10.0,0.00000,0.15800
UTAHINDUST-PROC - LOW,11.0,0.00000,0.11900
UTAHINSTITUTIONAL - HIGH,8.0,0.00000,0.08300
UTAHINSTITUTIONAL - LOW,0.0,0.00000,0.05300
UTAHMERCANTILE - HIGH,4.0,0.00000,0.17900
UTAHMERCANTILE - LOW,6.0,0.00000,0.11600
UTAHMERCANTILE - MEDIUM,5.0,0.00000,0.15600
UTAHMOTELS AND HOTELS,7.0,0.00000,0.08800
UTAHOFFICES,3.0,0.00000,0.15200
UTAHRES APTS AND CONDOS,2.0,0.00000,0.17700
UTAHSERVICE - HIGH,12.0,0.00000,0.12900
UTAHSERVICE - LOW,13.0,0.00000,0.10500
VERMONTBUILDINGS,1.0,0.10000,0.00000
VERMONTCONTRACTORS,14.0,0.00000,0.25400
VERMONTINDUST-PROC - HIGH,10.0,0.00000,0.24600
VERMONTINDUST-PROC - LOW,11.0,0.00000,0.18000
VERMONTINSTITUTIONAL - HIGH,8.0,0.00000,0.10600
VERMONTINSTITUTIONAL - LOW,0.0,0.00000,0.07000
VERMONTMERCANTILE - HIGH,4.0,0.00000,0.24200
VERMONTMERCANTILE - LOW,6.0,0.00000,0.15400
VERMONTMERCANTILE - MEDIUM,5.0,0.00000,0.18600
VERMONTMOTELS AND HOTELS,7.0,0.00000,0.10400
VERMONTOFFICES,3.0,0.00000,0.21800
VERMONTRES APTS AND CONDOS,2.0,0.00000,0.34200
VERMONTSERVICE - HIGH,12.0,0.00000,0.21200
VERMONTSERVICE - LOW,13.0,0.00000,0.15600
VIRGINIABUILDINGS,1.0,0.05100,0.00000
VIRGINIACONTRACTORS,14.0,0.00000,0.28500
VIRGINIAINDUST-PROC - HIGH,10.0,0.00000,0.22050
VIRGINIAINDUST-PROC - LOW,11.0,0.00000,0.20400
VIRGINIAINSTITUTIONAL - HIGH,8.0,0.00000,0.10350
VIRGINIAINSTITUTIONAL - LOW,0.0,0.00000,0.05550
VIRGINIAMERCANTILE - HIGH,4.0,0.00000,0.22950
VIRGINIAMERCANTILE - LOW,6.0,0.00000,0.14250
VIRGINIAMERCANTILE - MEDIUM,5.0,0.00000,0.18900
VIRGINIAMOTELS AND HOTELS,7.0,0.00000,0.10650
VIRGINIAOFFICES,3.0,0.00000,0.19200
VIRGINIARES APTS AND CONDOS,2.0,0.00000,0.18150
VIRGINIASERVICE - HIGH,12.0,0.00000,0.18900
VIRGINIASERVICE - LOW,13.0,0.00000,0.15150
WEST VIRGINIABUILDINGS,1.0,0.06000,0.00000
WEST VIRGINIACONTRACTORS,14.0,0.00000,0.22100
WEST VIRGINIAINDUST-PROC - HIGH,10.0,0.00000,0.21200
WEST VIRGINIAINDUST-PROC - LOW,11.0,0.00000,0.16300
WEST VIRGINIAINSTITUTIONAL - HIGH,8.0,0.00000,0.10500
WEST VIRGINIAINSTITUTIONAL - LOW,0.0,0.00000,0.06600
WEST VIRGINIAMERCANTILE - HIGH,4.0,0.00000,0.22600
WEST VIRGINIAMERCANTILE - LOW,6.0,0.00000,0.15900
WEST VIRGINIAMERCANTILE - MEDIUM,5.0,0.00000,0.21000
WEST VIRGINIAMOTELS AND HOTELS,7.0,0.00000,0.11300
WEST VIRGINIAOFFICES,3.0,0.00000,0.13000
WEST VIRGINIARES APTS AND CONDOS,2.0,0.00000,0.25200
WEST VIRGINIASERVICE - HIGH,12.0,0.00000,0.16900
WEST VIRGINIASERVICE - LOW,13.0,0.00000,0.13300
WISCONSINBUILDINGS,1.0,0.03500,0.00000
WISCONSINCONTRACTORS,14.0,0.00000,0.17600
WISCONSININDUST-PROC - HIGH,10.0,0.00000,0.13400
WISCONSININDUST-PROC - LOW,11.0,0.00000,0.11500
WISCONSININSTITUTIONAL - HIGH,8.0,0.00000,0.05700
WISCONSININSTITUTIONAL - LOW,0.0,0.00000,0.03700
WISCONSINMERCANTILE - HIGH,4.0,0.00000,0.14600
WISCONSINMERCANTILE - LOW,6.0,0.00000,0.10000
WISCONSINMERCANTILE - MEDIUM,5.0,0.00000,0.12800
WISCONSINMOTELS AND HOTELS,7.0,0.00000,0.07500
WISCONSINOFFICES,3.0,0.00000,0.11900
WISCONSINRES APTS AND CONDOS,2.0,0.00000,0.15400
WISCONSINSERVICE - HIGH,12.0,0.00000,0.08800
WISCONSINSERVICE - LOW,13.0,0.00000,0.08300
WYOMINGBUILDINGS,1.0,0.10800,0.00000
WYOMINGCONTRACTORS,14.0,0.00000,0.38000
WYOMINGINDUST-PROC - HIGH,10.0,0.00000,0.32800
WYOMINGINDUST-PROC - LOW,11.0,0.00000,0.24200
WYOMINGINSTITUTIONAL - HIGH,8.0,0.00000,0.19400
WYOMINGINSTITUTIONAL - LOW,0.0,0.00000,0.11200
WYOMINGMERCANTILE - HIGH,4.0,0.00000,0.39000
WYOMINGMERCANTILE - LOW,6.0,0.00000,0.25000
WYOMINGMERCANTILE - MEDIUM,5.0,0.00000,0.33200
WYOMINGMOTELS AND HOTELS,7.0,0.00000,0.18600
WYOMINGOFFICES,3.0,0.00000,0.21200
WYOMINGRES APTS AND CONDOS,2.0,0.00000,0.56600
WYOMINGSERVICE - HIGH,12.0,0.00000,0.27400
WYOMINGSERVICE - LOW,13.0,0.00000,0.20800
MISSISSIPPIBUILDINGS,01,0.04850,0.00000
MISSISSIPPICONTRACTORS,14,0.00000,0.21900
MISSISSIPPIINDUST-PROC - HIGH,10,0.00000,0.17800
MISSISSIPPIINDUST-PROC - LOW,11,0.00000,0.13850
MISSISSIPPIINSTITUTIONAL - HIGH,08,0.00000,0.08600
MISSISSIPPIINSTITUTIONAL - LOW,09,0.00000,0.05600
MISSISSIPPIMERCANTILE - HIGH,04,0.00000,0.18150
MISSISSIPPIMERCANTILE - LOW,06,0.00000,0.12100
MISSISSIPPIMERCANTILE - MEDIUM,05,0.00000,0.16100
MISSISSIPPIMOTELS AND HOTELS,07,0.00000,0.08900
MISSISSIPPIOFFICES,03,0.00000,0.12800
MISSISSIPPIRES APTS AND CONDOS,02,0.00000,0.17800
MISSISSIPPISERVICE - HIGH,12,0.00000,0.14700
MISSISSIPPISERVICE - LOW,13,0.00000,0.11500
LOUISIANABUILDINGS,01,0.10275,0.00000
LOUISIANACONTRACTORS,14,0.00000,0.38325
LOUISIANAINDUST-PROC - HIGH,10,0.00000,0.29625
LOUISIANAINDUST-PROC - LOW,11,0.00000,0.24675
LOUISIANAINSTITUTIONAL - HIGH,08,0.00000,0.17175
LOUISIANAINSTITUTIONAL - LOW,09,0.00000,0.09225
LOUISIANAMERCANTILE - HIGH,04,0.00000,0.30750
LOUISIANAMERCANTILE - LOW,06,0.00000,0.24150
LOUISIANAMERCANTILE - MEDIUM,05,0.00000,0.33375
LOUISIANAMOTELS AND HOTELS,07,0.00000,0.19200
LOUISIANAOFFICES,03,0.00000,0.19725
LOUISIANARES APTS AND CONDOS,02,0.00000,0.41175
LOUISIANASERVICE - HIGH,12,0.00000,0.25500
LOUISIANASERVICE - LOW,13,0.00000,0.18525
IDAHOBUILDINGS,01,0.04850,0.00000
IDAHOCONTRACTORS,14,0.00000,0.23050
IDAHOINDUST-PROC - HIGH,10,0.00000,0.21550
IDAHOINDUST-PROC - LOW,11,0.00000,0.15350
IDAHOINSTITUTIONAL - HIGH,08,0.00000,0.09200
IDAHOINSTITUTIONAL - LOW,09,0.00000,0.06100
IDAHOMERCANTILE - HIGH,04,0.00000,0.18950
IDAHOMERCANTILE - LOW,06,0.00000,0.13200
IDAHOMERCANTILE - MEDIUM,05,0.00000,0.17100
IDAHOMOTELS AND HOTELS,07,0.00000,0.09500
IDAHOOFFICES,03,0.00000,0.13400
IDAHORES APTS AND CONDOS,02,0.00000,0.21350
IDAHOSERVICE - HIGH,12,0.00000,0.14250
IDAHOSERVICE - LOW,13,0.00000,0.12050
HAWAIIBUILDINGS,01,0.02775,0.00000
HAWAIICONTRACTORS,14,0.00000,0.14325
HAWAIIINDUST-PROC - HIGH,10,0.00000,0.13375
HAWAIIINDUST-PROC - LOW,11,0.00000,0.11050
HAWAIIINSTITUTIONAL - HIGH,08,0.00000,0.05900
HAWAIIINSTITUTIONAL - LOW,09,0.00000,0.02950
HAWAIIMERCANTILE - HIGH,04,0.00000,0.12075
HAWAIIMERCANTILE - LOW,06,0.00000,0.09250
HAWAIIMERCANTILE - MEDIUM,05,0.00000,0.11450
HAWAIIMOTELS AND HOTELS,07,0.00000,0.05900
HAWAIIOFFICES,03,0.00000,0.06800
HAWAIIRES APTS AND CONDOS,02,0.00000,0.12200
HAWAIISERVICE - HIGH,12,0.00000,0.09525
HAWAIISERVICE - LOW,13,0.00000,0.06175
WASHINGTONBUILDINGS,01,0.04850,0.00000
WASHINGTONCONTRACTORS,14,0.00000,0.23050
WASHINGTONINDUST-PROC - HIGH,10,0.00000,0.21550
WASHINGTONINDUST-PROC - LOW,11,0.00000,0.15350
WASHINGTONINSTITUTIONAL - HIGH,08,0.00000,0.09200
WASHINGTONINSTITUTIONAL - LOW,09,0.00000,0.06100
WASHINGTONMERCANTILE - HIGH,04,0.00000,0.18950
WASHINGTONMERCANTILE - LOW,06,0.00000,0.13200
WASHINGTONMERCANTILE - MEDIUM,05,0.00000,0.17100
WASHINGTONMOTELS AND HOTELS,07,0.00000,0.09500
WASHINGTONOFFICES,03,0.00000,0.13400
WASHINGTONRES APTS AND CONDOS,02,0.00000,0.21350
WASHINGTONSERVICE - HIGH,12,0.00000,0.14250
WASHINGTONSERVICE - LOW,13,0.00000,0.12050
[NATIONAL]UNKNOWN,0.0,0.00000,0.00000
ALABAMAUNKNOWN,0.0,0.06750,0.19892
ARIZONAUNKNOWN,0.0,0.04700,0.17946
ARKANSASUNKNOWN,0.0,0.05200,0.14400
CALIFORNIAUNKNOWN,0.0,0.03250,0.22038
COLORADOUNKNOWN,0.0,0.06000,0.19208
CONNECTICUTUNKNOWN,0.0,0.07400,0.23377
DELAWAREUNKNOWN,0.0,0.07800,0.32215
DIST. OF COLUMBIAUNKNOWN,0.0,0.03800,0.27638
FLORIDAUNKNOWN,0.0,0.13125,0.56654
GEORGIAUNKNOWN,0.0,0.06625,0.21221
ILLINOISUNKNOWN,0.0,0.03200,0.09600
INDIANAUNKNOWN,0.0,0.03800,0.10138
IOWAUNKNOWN,0.0,0.09400,0.33231
KANSASUNKNOWN,0.0,0.07500,0.18331
KENTUCKYUNKNOWN,0.0,0.07600,0.20462
MAINEUNKNOWN,0.0,0.05400,0.11900
MARYLANDUNKNOWN,0.0,0.09450,0.28823
MASSACHUSETTSUNKNOWN,0.0,0.04125,0.12173
MICHIGANUNKNOWN,0.0,0.04800,0.15654
MINNESOTAUNKNOWN,0.0,0.12200,0.28169
MISSOURIUNKNOWN,0.0,0.08600,0.24977
MONTANAUNKNOWN,0.0,0.11000,0.24138
NEBRASKAUNKNOWN,0.0,0.05500,0.14215
NEVADAUNKNOWN,0.0,0.02900,0.19900
NEW HAMPSHIREUNKNOWN,0.0,0.12000,0.23985
NEW JERSEYUNKNOWN,0.0,0.04300,0.16385
NEW MEXICOUNKNOWN,0.0,0.04000,0.22100
NEW YORKUNKNOWN,0.0,0.12800,0.48969
NORTH CAROLINAUNKNOWN,0.0,0.07500,0.25188
NORTH DAKOTAUNKNOWN,0.0,0.10200,0.20154
OHIOUNKNOWN,0.0,0.04200,0.18046
OKLAHOMAUNKNOWN,0.0,0.06500,0.15223
OREGONUNKNOWN,0.0,0.04200,0.17938
PENNSYLVANIAUNKNOWN,0.0,0.06800,0.13462
RHODE ISLANDUNKNOWN,0.0,0.11400,0.33938
SOUTH CAROLINAUNKNOWN,0.0,0.04500,0.18796
SOUTH DAKOTAUNKNOWN,0.0,0.06200,0.21415
TENNESSEEUNKNOWN,0.0,0.05300,0.17254
TEXASUNKNOWN,0.0,0.12750,0.29388
UTAHUNKNOWN,0.0,0.02600,0.13215
VERMONTUNKNOWN,0.0,0.10000,0.19000
VIRGINIAUNKNOWN,0.0,0.05100,0.17308
WEST VIRGINIAUNKNOWN,0.0,0.06000,0.16608
WISCONSINUNKNOWN,0.0,0.03500,0.10862
WYOMINGUNKNOWN,0.0,0.10800,0.28262
ALASKAUNKNOWN,0.0,0.05900,0.10662
MISSISSIPPIUNKNOWN,0.0,0.04850,0.13831
LOUISIANAUNKNOWN,0.0,0.10275,0.25494
IDAHOUNKNOWN,0.0,0.04850,0.15004
HAWAIIUNKNOWN,0.0,0.02775,0.09306
WASHINGTONUNKNOWN,0.0,0.04850,0.15004
ONMERCANTILE - LOW,0.0,0.11725,0.14569
ONINDUST-PROC - HIGH,0.0,0.11725,0.22575
ONBUILDINGS,0.0,0.06482,0.00000
ONSERVICE - HIGH,0.0,0.11725,0.16538
ONINDUST-PROC - LOW,0.0,0.11725,0.16625
ONINSTITUTIONAL - HIGH,0.0,0.11725,0.10413
ONRES APTS AND CONDOS,0.0,0.12311,0.29630
ONOFFICES,0.0,0.04797,0.06426
ONMOTELS AND HOTELS,0.0,0.11725,0.10544
ONUNKNOWN,0.0,0.11725,0.10958
ONMERCANTILE - MEDIUM,0.0,0.11725,0.18681
QCMERCANTILE - LOW,0.0,0.15680,0.26110
QCINDUST-PROC - HIGH,0.0,0.15680,0.42140
QCBUILDINGS,0.0,0.12530,0.00000
QCSERVICE - HIGH,0.0,0.15680,0.32480
QCINDUST-PROC - LOW,0.0,0.15680,0.29330
QCINSTITUTIONAL - HIGH,0.0,0.15680,0.13720
QCRES APTS AND CONDOS,0.0,0.16464,0.23226
QCOFFICES,0.0,0.06416,0.09165
QCMOTELS AND HOTELS,0.0,0.15680,0.18410
QCUNKNOWN,0.0,0.15680,0.26692
QCMERCANTILE - MEDIUM,0.0,0.15680,0.35350
MBMERCANTILE - LOW,0.0,0.10640,0.17718
MBINDUST-PROC - HIGH,0.0,0.10640,0.28595
MBBUILDINGS,0.0,0.08503,0.00000
MBSERVICE - HIGH,0.0,0.10640,0.22040
MBINDUST-PROC - LOW,0.0,0.10640,0.19903
MBINSTITUTIONAL - HIGH,0.0,0.10640,0.09310
MBRES APTS AND CONDOS,0.0,0.11172,0.15761
MBOFFICES,0.0,0.04353,0.06219
MBMOTELS AND HOTELS,0.0,0.10640,0.12493
MBUNKNOWN,0.0,0.10640,0.18112
MBMERCANTILE - MEDIUM,0.0,0.10640,0.23988
NSMERCANTILE - LOW,0.0,0.09200,0.18200
NSINDUST-PROC - HIGH,0.0,0.09200,0.33500
NSBUILDINGS,0.0,0.06500,0.00000
NSSERVICE - HIGH,0.0,0.09200,0.19900
NSINDUST-PROC - LOW,0.0,0.09200,0.24200
NSINSTITUTIONAL - HIGH,0.0,0.09200,0.12800
NSRES APTS AND CONDOS,0.0,0.09660,0.15645
NSOFFICES,0.0,0.03764,0.06465
NSMOTELS AND HOTELS,0.0,0.09200,0.14400
NSUNKNOWN,0.0,0.09200,0.20169
NSMERCANTILE - MEDIUM,0.0,0.09200,0.26900
NBMERCANTILE - LOW,0.0,0.09200,0.18200
NBINDUST-PROC - HIGH,0.0,0.09200,0.33500
NBBUILDINGS,0.0,0.06500,0.00000
NBSERVICE - HIGH,0.0,0.09200,0.19900
NBINDUST-PROC - LOW,0.0,0.09200,0.24200
NBINSTITUTIONAL - HIGH,0.0,0.09200,0.12800
NBRES APTS AND CONDOS,0.0,0.09660,0.15645
NBOFFICES,0.0,0.03764,0.06465
NBMOTELS AND HOTELS,0.0,0.09200,0.14400
NBUNKNOWN,0.0,0.09200,0.20169
NBMERCANTILE - MEDIUM,0.0,0.09200,0.26900
BCMERCANTILE - LOW,0.0,0.05717,0.07104
BCINDUST-PROC - HIGH,0.0,0.05717,0.11008
BCBUILDINGS,0.0,0.03161,0.00000
BCSERVICE - HIGH,0.0,0.05717,0.08064
BCINDUST-PROC - LOW,0.0,0.05717,0.08107
BCINSTITUTIONAL - HIGH,0.0,0.05717,0.05077
BCRES APTS AND CONDOS,0.0,0.06003,0.14448
BCOFFICES,0.0,0.02339,0.03134
BCMOTELS AND HOTELS,0.0,0.05717,0.05141
BCUNKNOWN,0.0,0.05717,0.05343
BCMERCANTILE - MEDIUM,0.0,0.05717,0.09109
PEMERCANTILE - LOW,0.0,0.07360,0.14560
PEINDUST-PROC - HIGH,0.0,0.07360,0.26800
PEBUILDINGS,0.0,0.05200,0.00000
PESERVICE - HIGH,0.0,0.07360,0.15920
PEINDUST-PROC - LOW,0.0,0.07360,0.19360
PEINSTITUTIONAL - HIGH,0.0,0.07360,0.10240
PERES APTS AND CONDOS,0.0,0.07728,0.12516
PEOFFICES,0.0,0.03011,0.05172
PEMOTELS AND HOTELS,0.0,0.07360,0.11520
PEUNKNOWN,0.0,0.07360,0.16135
PEMERCANTILE - MEDIUM,0.0,0.07360,0.21520
SKMERCANTILE - LOW,0.0,0.04940,0.04380
SKINDUST-PROC - HIGH,0.0,0.04940,0.06390
SKBUILDINGS,0.0,0.04307,0.00000
SKSERVICE - HIGH,0.0,0.04940,0.05370
SKINDUST-PROC - LOW,0.0,0.04940,0.04760
SKINSTITUTIONAL - HIGH,0.0,0.04940,0.03200
SKRES APTS AND CONDOS,0.0,0.05187,0.12222
SKOFFICES,0.0,0.02021,0.01980
SKMOTELS AND HOTELS,0.0,0.04940,0.03290
SKUNKNOWN,0.0,0.04940,0.05380
SKMERCANTILE - MEDIUM,0.0,0.04940,0.05640
