Index,OccupancyGroup,BUILDING,CONTENTS
CONNECTICUTCONTRACTORS,14.0,0.00000,0.36300
CONNECTICUTINDUST-PROC - HIGH,10.0,0.00000,0.29200
CONNECTICUTINDUST-PROC - LOW,11.0,0.00000,0.21800
CONNECTICUTINSTITUTIONAL - HIGH,8.0,0.00000,0.15100
CONNECTICUTINSTITUTIONAL - LOW,0.0,0.00000,0.11800
CONNECTICUTMERCANTILE - HIGH,4.0,0.00000,0.34100
CONNECTICUTMERCANTILE - LOW,6.0,0.00000,0.21900
CONNECTICUTMERCANTILE - MEDIUM,5.0,0.00000,0.32300
CONNECTICUTMOTELS AND HOTELS,7.0,0.00000,0.16700
CONNECTICUTOFFICES,3.0,0.00000,0.18400
CONNECTICUTRES APTS AND CONDOS,2.0,0.00000,0.27400
CONNECTICUTSERVICE - HIGH,12.0,0.00000,0.21600
CONNECTICUTSERVICE - LOW,13.0,0.00000,0.17300
DELAWAREBUILDINGS,1.0,0.07800,0.00000
DELAWARECONTRACTORS,14.0,0.00000,0.43600
DELAWAREINDUST-PROC - HIGH,10.0,0.00000,0.38400
DELAWAREINDUST-PROC - LOW,11.0,0.00000,0.28400
DELAWAREINSTITUTIONAL - HIGH,8.0,0.00000,0.18600
DELAWAREINSTITUTIONAL - LOW,0.0,0.00000,0.12800
DELAWAREMERCANTILE - HIGH,4.0,0.00000,0.39200
DELAWAREMERCANTILE - LOW,6.0,0.00000,0.27200
DELAWAREMERCANTILE - MEDIUM,5.0,0.00000,0.35600
DELAWAREMOTELS AND HOTELS,7.0,0.00000,0.20400
DELAWAREOFFICES,3.0,0.00000,0.28800
DELAWARERES APTS AND CONDOS,2.0,0.00000,0.64800
DELAWARESERVICE - HIGH,12.0,0.00000,0.34800
DELAWARESERVICE - LOW,13.0,0.00000,0.26200
DIST. OF COLUMBIABUILDINGS,1.0,0.03800,0.00000
DIST. OF COLUMBIACONTRACTORS,14.0,0.00000,0.37500
DIST. OF COLUMBIAINDUST-PROC - HIGH,10.0,0.00000,0.46000
DIST. OF COLUMBIAINDUST-PROC - LOW,11.0,0.00000,0.23500
DIST. OF COLUMBIAINSTITUTIONAL - HIGH,8.0,0.00000,0.15700
DIST. OF COLUMBIAINSTITUTIONAL - LOW,0.0,0.00000,0.12600
DIST. OF COLUMBIAMERCANTILE - HIGH,4.0,0.00000,0.36200
DIST. OF COLUMBIAMERCANTILE - LOW,6.0,0.00000,0.25600
DIST. OF COLUMBIAMERCANTILE - MEDIUM,5.0,0.00000,0.35300
DIST. OF COLUMBIAMOTELS AND HOTELS,7.0,0.00000,0.18200
DIST. OF COLUMBIAOFFICES,3.0,0.00000,0.20000
DIST. OF COLUMBIARES APTS AND CONDOS,2.0,0.00000,0.32100
DIST. OF COLUMBIASERVICE - HIGH,12.0,0.00000,0.27400
DIST. OF COLUMBIASERVICE - LOW,13.0,0.00000,0.29200
FLORIDABUILDINGS,1.0,0.13125,0.00000
FLORIDACONTRACTORS,14.0,0.00000,0.86625
FLORIDAINDUST-PROC - HIGH,10.0,0.00000,0.72375
FLORIDAINDUST-PROC - LOW,11.0,0.00000,0.52500
FLORIDAINSTITUTIONAL - HIGH,8.0,0.00000,0.37500
FLORIDAINSTITUTIONAL - LOW,0.0,0.00000,0.26250
FLORIDAMERCANTILE - HIGH,4.0,0.00000,0.82125
FLORIDAMERCANTILE - LOW,6.0,0.00000,0.55500
FLORIDAMERCANTILE - MEDIUM,5.0,0.00000,0.73125
FLORIDAMOTELS AND HOTELS,7.0,0.00000,0.40500
FLORIDAOFFICES,3.0,0.00000,0.50250
FLORIDARES APTS AND CONDOS,2.0,0.00000,0.46875
FLORIDASERVICE - HIGH,12.0,0.00000,0.64500
FLORIDASERVICE - LOW,13.0,0.00000,0.48375
GEORGIABUILDINGS,1.0,0.06625,0.00000
GEORGIACONTRACTORS,14.0,0.00000,0.35875
GEORGIAINDUST-PROC - HIGH,10.0,0.00000,0.27250
GEORGIAINDUST-PROC - LOW,11.0,0.00000,0.23125
GEORGIAINSTITUTIONAL - HIGH,8.0,0.00000,0.08375
GEORGIAINSTITUTIONAL - LOW,0.0,0.00000,0.05375
GEORGIAMERCANTILE - HIGH,4.0,0.00000,0.26750
GEORGIAMERCANTILE - LOW,6.0,0.00000,0.21000
GEORGIAMERCANTILE - MEDIUM,5.0,0.00000,0.27125
GEORGIAMOTELS AND HOTELS,7.0,0.00000,0.14875
GEORGIAOFFICES,3.0,0.00000,0.21625
