Version,Benchmark Class,written_premium,num_yr_data,Value
11,Aviation Liab,500,1,0.0
11,Aviation Liab,500,2,0.0
11,Aviation Liab,500,3,0.0
11,Aviation Liab,500,4,0.0
11,Aviation Liab,500,5,0.05
11,Aviation Liab,500,6,0.1
11,Aviation Liab,500,7,0.15
11,Aviation Liab,500,8,0.25
11,Aviation Liab,500,9,0.35
11,Aviation Liab,500,10,0.45
11,Aviation Liab,1000,1,0.0
11,Aviation Liab,1000,2,0.0
11,Aviation Liab,1000,3,0.0
11,Aviation Liab,1000,4,0.05
11,Aviation Liab,1000,5,0.1
11,Aviation Liab,1000,6,0.15
11,Aviation Liab,1000,7,0.25
11,Aviation Liab,1000,8,0.5
11,Aviation Liab,1000,9,0.6
11,Aviation Liab,1000,10,0.7
11,Aviation Liab,2000,1,0.0
11,Aviation Liab,2000,2,0.0
11,Aviation Liab,2000,3,0.05
11,Aviation Liab,2000,4,0.1
11,Aviation Liab,2000,5,0.15
11,Aviation Liab,2000,6,0.25
11,Aviation Liab,2000,7,0.5
11,Aviation Liab,2000,8,0.6
11,Aviation Liab,2000,9,0.7
11,Aviation Liab,2000,10,0.8
11,Aviation Liab,3000,1,0.05
11,Aviation Liab,3000,2,0.05
11,Aviation Liab,3000,3,0.1
11,Aviation Liab,3000,4,0.15
11,Aviation Liab,3000,5,0.25
11,Aviation Liab,3000,6,0.5
11,Aviation Liab,3000,7,0.6
11,Aviation Liab,3000,8,0.7
11,Aviation Liab,3000,9,0.8
11,Aviation Liab,3000,10,0.9
11,Aviation PD,500,1,0.0
11,Aviation PD,500,2,0.0
11,Aviation PD,500,3,0.0
11,Aviation PD,500,4,0.0
11,Aviation PD,500,5,0.05
11,Aviation PD,500,6,0.1
11,Aviation PD,500,7,0.15
11,Aviation PD,500,8,0.25
11,Aviation PD,500,9,0.35
11,Aviation PD,500,10,0.45
11,Aviation PD,1000,1,0.0
11,Aviation PD,1000,2,0.0
11,Aviation PD,1000,3,0.0
11,Aviation PD,1000,4,0.05
11,Aviation PD,1000,5,0.1
11,Aviation PD,1000,6,0.15
11,Aviation PD,1000,7,0.25
11,Aviation PD,1000,8,0.5
11,Aviation PD,1000,9,0.6
11,Aviation PD,1000,10,0.7
11,Aviation PD,2000,1,0.0
11,Aviation PD,2000,2,0.0
11,Aviation PD,2000,3,0.05
11,Aviation PD,2000,4,0.1
11,Aviation PD,2000,5,0.15
11,Aviation PD,2000,6,0.25
11,Aviation PD,2000,7,0.5
11,Aviation PD,2000,8,0.6
11,Aviation PD,2000,9,0.7
11,Aviation PD,2000,10,0.8
11,Aviation PD,3000,1,0.05
11,Aviation PD,3000,2,0.05
11,Aviation PD,3000,3,0.1
11,Aviation PD,3000,4,0.15
11,Aviation PD,3000,5,0.25
11,Aviation PD,3000,6,0.5
11,Aviation PD,3000,7,0.6
11,Aviation PD,3000,8,0.7
11,Aviation PD,3000,9,0.8
11,Aviation PD,3000,10,0.9
11,US Marine,500,1,0.0
11,US Marine,500,2,0.0
11,US Marine,500,3,0.0
11,US Marine,500,4,0.0
11,US Marine,500,5,0.05
11,US Marine,500,6,0.1
11,US Marine,500,7,0.15
11,US Marine,500,8,0.25
11,US Marine,500,9,0.35
11,US Marine,500,10,0.45
11,US Marine,1000,1,0.0
11,US Marine,1000,2,0.0
11,US Marine,1000,3,0.0
11,US Marine,1000,4,0.05
11,US Marine,1000,5,0.1
11,US Marine,1000,6,0.15
11,US Marine,1000,7,0.25
11,US Marine,1000,8,0.5
11,US Marine,1000,9,0.6
11,US Marine,1000,10,0.7
11,US Marine,2000,1,0.0
11,US Marine,2000,2,0.0
11,US Marine,2000,3,0.05
11,US Marine,2000,4,0.1
11,US Marine,2000,5,0.15
11,US Marine,2000,6,0.25
11,US Marine,2000,7,0.5
11,US Marine,2000,8,0.6
11,US Marine,2000,9,0.7
11,US Marine,2000,10,0.8
11,US Marine,3000,1,0.05
11,US Marine,3000,2,0.05
11,US Marine,3000,3,0.1
11,US Marine,3000,4,0.15
11,US Marine,3000,5,0.25
