TIV,Florida,Non-Southeast,Southeast
0,1.7500,1.7500,1.5000
10000,1.4870,1.4870,1.2740
20000,1.2540,1.2540,1.1480
30000,1.1340,1.1340,1.0800
40000,1.0570,1.0570,1.0340
50000,1.0000,1.0000,1.0000
60000,0.9560,0.9560,0.9730
70000,0.9200,0.9200,0.9510
80000,0.8910,0.8910,0.9320
90000,0.8650,0.8650,0.9150
100000,0.8430,0.8430,0.9010
125000,0.7980,0.7980,0.8710
150000,0.7630,0.7630,0.8470
175000,0.7340,0.7340,0.8280
200000,0.7100,0.7100,0.8120
225000,0.6900,0.6900,0.7970
250000,0.6720,0.6720,0.7850
275000,0.6570,0.6570,0.7730
300000,0.6430,0.6430,0.7630
325000,0.6300,0.6300,0.7540
350000,0.6190,0.6190,0.7460
375000,0.6080,0.6080,0.7380
400000,0.5990,0.5990,0.7310
425000,0.5900,0.5900,0.7240
450000,0.5820,0.5820,0.7180
475000,0.5740,0.5740,0.7120
500000,0.5670,0.5670,0.7070
550000,0.5540,0.5540,0.6970
600000,0.5420,0.5420,0.6880
650000,0.5310,0.5310,0.6790
700000,0.5220,0.5220,0.6720
750000,0.5130,0.5130,0.6650
800000,0.5050,0.5050,0.6590
850000,0.4970,0.4970,0.6530
900000,0.4900,0.4900,0.6470
950000,0.4840,0.4840,0.6420
1000000,0.4780,0.4780,0.6370
1100000,0.4670,0.4670,0.6280
1200000,0.4570,0.4570,0.6200
1300000,0.4480,0.4480,0.6120
1400000,0.4400,0.4400,0.6050
1500000,0.4320,0.4320,0.5990
1600000,0.4250,0.4250,0.5930
1700000,0.4190,0.4190,0.5880
1800000,0.4130,0.4130,0.5830
1900000,0.4080,0.4080,0.5780
2000000,0.4030,0.4030,0.5740
2500000,0.3810,0.3810,0.5550
3000000,0.3640,0.3640,0.5400
3500000,0.3510,0.3510,0.5270
4000000,0.3390,0.3390,0.5170
4500000,0.3300,0.3300,0.5080
5000000,0.3210,0.3210,0.5000
9E+12,0.3210,0.3210,0.5000
