TIV,ISO.1,ISO.2,ISO.3,ISO.4,ISO.5,ISO.6
0,3.501400560224090,3.501400560224090,3.501400560224090,4.071661237785020,4.071661237785020,4.071661237785020
50000,2.801120448179270,2.801120448179270,2.801120448179270,3.257328990228010,3.257328990228010,3.257328990228010
75000,2.450980392156860,2.450980392156860,2.450980392156860,2.850162866449510,2.850162866449510,2.850162866449510
100000,2.100840336134450,2.100840336134450,2.100840336134450,2.442996742671010,2.442996742671010,2.442996742671010
125000,1.750700280112040,1.750700280112040,1.750700280112040,2.035830618892510,2.035830618892510,2.035830618892510
150000,1.530812324929970,1.530812324929970,1.530812324929970,1.851791530944630,1.851791530944630,1.851791530944630
175000,1.490196078431370,1.490196078431370,1.490196078431370,1.781758957654720,1.781758957654720,1.781758957654720
200000,1.455182072829130,1.455182072829130,1.455182072829130,1.723127035830620,1.723127035830620,1.723127035830620
225000,1.425770308123250,1.425770308123250,1.425770308123250,1.672638436482080,1.672638436482080,1.672638436482080
250000,1.400560224089640,1.400560224089640,1.400560224089640,1.628664495114010,1.628664495114010,1.628664495114010
275000,1.378151260504200,1.378151260504200,1.378151260504200,1.589576547231270,1.589576547231270,1.589576547231270
300000,1.357142857142860,1.357142857142860,1.357142857142860,1.555374592833880,1.555374592833880,1.555374592833880
325000,1.338935574229690,1.338935574229690,1.338935574229690,1.524429967426710,1.524429967426710,1.524429967426710
350000,1.320728291316530,1.320728291316530,1.320728291316530,1.496742671009770,1.496742671009770,1.496742671009770
375000,1.305322128851540,1.305322128851540,1.305322128851540,1.470684039087950,1.470684039087950,1.470684039087950
400000,1.291316526610640,1.291316526610640,1.291316526610640,1.447882736156350,1.447882736156350,1.447882736156350
425000,1.277310924369750,1.277310924369750,1.277310924369750,1.425081433224760,1.425081433224760,1.425081433224760
450000,1.264705882352940,1.264705882352940,1.264705882352940,1.405537459283390,1.405537459283390,1.405537459283390
475000,1.253501400560220,1.253501400560220,1.253501400560220,1.385993485342020,1.385993485342020,1.385993485342020
500000,1.242296918767510,1.242296918767510,1.242296918767510,1.369706840390880,1.369706840390880,1.369706840390880
550000,1.221288515406160,1.221288515406160,1.221288515406160,1.337133550488600,1.337133550488600,1.337133550488600
600000,1.203081232493000,1.203081232493000,1.203081232493000,1.307817589576550,1.307817589576550,1.307817589576550
650000,1.186274509803920,1.186274509803920,1.186274509803920,1.281758957654720,1.281758957654720,1.281758957654720
700000,1.172268907563030,1.172268907563030,1.172268907563030,1.258957654723130,1.258957654723130,1.258957654723130
750000,1.158263305322130,1.158263305322130,1.158263305322130,1.236156351791530,1.236156351791530,1.236156351791530
800000,1.144257703081230,1.144257703081230,1.144257703081230,1.216612377850160,1.216612377850160,1.216612377850160
