Version,Benchmark Class,Year,Value
13,Aviation Liab,2000,0.04
13,Aviation Liab,2001,0.04
13,Aviation Liab,2002,0.04
13,Aviation Liab,2003,0.04
13,Aviation Liab,2004,0.04
13,Aviation Liab,2005,0.04
13,Aviation Liab,2006,0.04
13,Aviation Liab,2007,0.04
13,Aviation Liab,2008,0.04
13,Aviation Liab,2009,0.04
13,Aviation Liab,2010,0.04
13,Aviation Liab,2011,0.04
13,Aviation Liab,2012,0.04
13,Aviation Liab,2013,0.04
13,Aviation Liab,2014,0.04
13,Aviation Liab,2015,0.04
13,Aviation Liab,2016,0.04
13,Aviation Liab,2017,0.04
13,Aviation Liab,2018,0.04
13,Aviation Liab,2019,0.04
13,Aviation Liab,2020,0.04
13,Aviation Liab,2021,0.04
13,Aviation Liab,2022,0.06395
13,Aviation Liab,2023,0.06395
13,Aviation Liab,2024,0.046
13,Aviation Liab,2025,0.046
13,Aviation Liab,2026,0.046
13,Aviation Liab,2027,0.046
13,Aviation Liab,2028,0.046
13,Aviation Liab,2029,0.046
13,Aviation Liab,2030,0.046
13,Aviation PD,2000,0.03
13,Aviation PD,2001,0.03
13,Aviation PD,2002,0.03
13,Aviation PD,2003,0.03
13,Aviation PD,2004,0.03
13,Aviation PD,2005,0.03
13,Aviation PD,2006,0.03
13,Aviation PD,2007,0.03
13,Aviation PD,2008,0.03
13,Aviation PD,2009,0.03
13,Aviation PD,2010,0.03
13,Aviation PD,2011,0.03
13,Aviation PD,2012,0.03
13,Aviation PD,2013,0.03
13,Aviation PD,2014,0.03
13,Aviation PD,2015,0.03
13,Aviation PD,2016,0.03
13,Aviation PD,2017,0.03
13,Aviation PD,2018,0.03
13,Aviation PD,2019,0.03
13,Aviation PD,2020,0.03
13,Aviation PD,2021,0.03
13,Aviation PD,2022,0.0777
13,Aviation PD,2023,0.05
13,Aviation PD,2024,0.036
13,Aviation PD,2025,0.036
13,Aviation PD,2026,0.036
13,Aviation PD,2027,0.036
13,Aviation PD,2028,0.036
13,Aviation PD,2029,0.036
13,Aviation PD,2030,0.036
13,BBR Services MM,2000,0.02
13,BBR Services MM,2001,0.02
13,BBR Services MM,2002,0.02
13,BBR Services MM,2003,0.02
13,BBR Services MM,2004,0.02
13,BBR Services MM,2005,0.02
13,BBR Services MM,2006,0.02
13,BBR Services MM,2007,0.02
13,BBR Services MM,2008,0.02
13,BBR Services MM,2009,0.02
13,BBR Services MM,2010,0.02
13,BBR Services MM,2011,0.02
13,BBR Services MM,2012,0.02
13,BBR Services MM,2013,0.02
13,BBR Services MM,2014,0.02
13,BBR Services MM,2015,0.02
13,BBR Services MM,2016,0.02
