TIV,Florida,Non-Southeast,Southeast
0,3.250000000000000,3.250000000000000,2.100000000000000
10000,2.898635477582850,2.898635477582850,1.915789473684210
20000,2.444444444444440,2.444444444444440,1.726315789473680
30000,2.210526315789470,2.210526315789470,1.624060150375940
40000,2.060428849902530,2.060428849902530,1.554887218045110
50000,1.949317738791420,1.949317738791420,1.503759398496240
60000,1.863547758284600,1.863547758284600,1.463157894736840
70000,1.793372319688110,1.793372319688110,1.430075187969920
80000,1.736842105263160,1.736842105263160,1.401503759398500
90000,1.686159844054580,1.686159844054580,1.375939849624060
100000,1.643274853801170,1.643274853801170,1.354887218045110
125000,1.555555555555560,1.555555555555560,1.309774436090230
150000,1.487329434697860,1.487329434697860,1.273684210526320
175000,1.430799220272900,1.430799220272900,1.245112781954890
200000,1.384015594541910,1.384015594541910,1.221052631578950
225000,1.345029239766080,1.345029239766080,1.198496240601500
250000,1.309941520467840,1.309941520467840,1.180451127819550
275000,1.280701754385960,1.280701754385960,1.162406015037590
300000,1.253411306042890,1.253411306042890,1.147368421052630
325000,1.228070175438600,1.228070175438600,1.133834586466170
350000,1.206627680311890,1.206627680311890,1.121804511278200
375000,1.185185185185190,1.185185185185190,1.109774436090230
400000,1.167641325536060,1.167641325536060,1.099248120300750
425000,1.150097465886940,1.150097465886940,1.088721804511280
450000,1.134502923976610,1.134502923976610,1.079699248120300
475000,1.118908382066280,1.118908382066280,1.070676691729320
500000,1.105263157894740,1.105263157894740,1.063157894736840
550000,1.079922027290450,1.079922027290450,1.048120300751880
600000,1.056530214424950,1.056530214424950,1.034586466165410
650000,1.035087719298250,1.035087719298250,1.021052631578950
700000,1.017543859649120,1.017543859649120,1.010526315789470
750000,1.000000000000000,1.000000000000000,1.000000000000000
800000,0.984405458089669,0.984405458089669,0.990977443609023
850000,0.968810916179337,0.968810916179337,0.981954887218045
900000,0.955165692007797,0.955165692007797,0.972932330827068
950000,0.943469785575049,0.943469785575049,0.965413533834586
1000000,0.931773879142300,0.931773879142300,0.957894736842105
1100000,0.910331384015595,0.910331384015595,0.944360902255639
1200000,0.890838206627680,0.890838206627680,0.932330827067669
1300000,0.873294346978557,0.873294346978557,0.920300751879699
1400000,0.857699805068226,0.857699805068226,0.909774436090225
1500000,0.842105263157895,0.842105263157895,0.900751879699248
1600000,0.828460038986355,0.828460038986355,0.891729323308271
1700000,0.816764132553606,0.816764132553606,0.884210526315789
1800000,0.805068226120858,0.805068226120858,0.876691729323308
1900000,0.795321637426901,0.795321637426901,0.869172932330827
2000000,0.785575048732943,0.785575048732943,0.863157894736842
2500000,0.742690058479532,0.742690058479532,0.834586466165414
3000000,0.709551656920078,0.709551656920078,0.812030075187970
3500000,0.684210526315789,0.684210526315789,0.792481203007519
4000000,0.660818713450292,0.660818713450292,0.777443609022556
4500000,0.643274853801170,0.643274853801170,0.763909774436090
5000000,0.625730994152047,0.625730994152047,0.751879699248120
9E+12,0.625730994152047,0.625730994152047,0.751879699248120
