StateCounty,TN Buildings,TN Contents,TN BI,HA Buildings,HA Contents,HA BI,WTS Buildings,WTS Contents,WTS BI,FL Buildings,FL Contents,FL BI,WF Buildings,WF Contents,WF BI
AKAleutians East Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKAleutians West Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKAnchorage Municipality,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKBethel Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKBristol Bay Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKDenali Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKDillingham Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKFairbanks North Star Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKHaines Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKHoonah-Angoon Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKJuneau Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKKenai Peninsula Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKKetchikan Gateway Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKKodiak Island Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKKusilvak,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKMatanuska-Susitna Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKNome Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKNorth Slope Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKNorthwest Arctic Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKPeninsula And Lake Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKPetersburg Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKPrince Of Wales-Hyder Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKSitka Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKSkagway Municipality,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKSoutheast Fairbanks Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKValdez-Cordova Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKWrangell City And Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKYakutat Borough,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
AKYukon-Koyukuk Census Area,0,0,0,0,0,0,0,0,0,5.28614E-05,5.28614E-05,5.28614E-05,1.22753E-05,1.22753E-05,1.22753E-05
ALAutauga County,0.000222132,0.000185768,0.000207442,9.75481E-06,9.75481E-08,2.53625E-06,6.21702E-05,6.21702E-05,6.21702E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALBaldwin County,4.8998E-05,3.5258E-05,3.99572E-05,1.13453E-06,1.13453E-08,2.94979E-07,1.47397E-05,1.47397E-05,1.47397E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALBarbour County,0.000134808,0.000116163,0.000130045,3.70244E-06,3.70244E-08,9.62634E-07,6.78702E-05,6.78702E-05,6.78702E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALBibb County,0.000417642,0.000350456,0.000392801,1.50541E-05,1.50541E-07,3.91407E-06,5.99283E-05,5.99283E-05,5.99283E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALBlount County,0.000380206,0.000317112,0.000357627,1.08721E-05,1.08721E-07,2.82675E-06,5.63336E-05,5.63336E-05,5.63336E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALBullock County,0.000158013,0.000136631,0.000152532,6.71107E-06,6.71107E-08,1.74488E-06,7.55338E-05,7.55338E-05,7.55338E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
ALButler County,8.66717E-05,7.38103E-05,8.26165E-05,3.19948E-06,3.19948E-08,8.31864E-07,4.02852E-05,4.02852E-05,4.02852E-05,6.3689E-05,6.3689E-05,6.3689E-05,6.13766E-06,6.13766E-06,6.13766E-06
