Version,Benchmark Class,Item,Value
13,Downhole,Climate Load,0
13,Energy Liab and Cas,Gross Net Att ULR,0.32516696
13,Energy Liab and Cas,Gross Net Cat ULR,0.48548231
13,Energy Liab and Cas,Total ULR,0.81064927
13,Energy Liab and Cas,BP GN Premium,2222572.091
13,Energy Liab and Cas,BP NN Premium,2222572.091
13,Energy Liab and Cas,Net Premium,1902315.414
13,Energy Liab and Cas,Net Expense/ GN Premium,0.193169633
13,Energy Liab and Cas,Investment Income /GN Premium,7.28E-02
13,Energy Liab and Cas,RI Premium/GN Premium,0.144092818
13,Energy Liab and Cas,RI Recoveries/ GN Premium,0.102686269
13,Energy Liab and Cas,Capital Required / GN Premium,0.709736919
13,Energy Liab and Cas,Att LR,0.339991561
13,Energy Liab and Cas,Large LR,0.277165359
13,Energy Liab and Cas,Cat LR,0.213938788
13,Energy Liab and Cas,Att COV,0.384945473
13,Energy Liab and Cas,Large COV,0.634107969
13,Energy Liab and Cas,Cat COV,1.624485825
13,Energy Liab and Cas,Large Loss Threshold,1000000
13,Energy Liab and Cas,Decay Factor,0.9
13,Energy Liab and Cas,Target NLR,0.7
13,Energy Liab and Cas,NML,0.025
13,Energy Liab and Cas,LAE,0
13,Energy Liab and Cas,RoC,0.15
13,Energy Liab and Cas,Variable Expense,0
13,Energy Liab and Cas,Fixed Expense,0
13,Energy Liab and Cas,Climate Load,0
13,Energy PD,Gross Net Att ULR,0.574504647
13,Energy PD,Gross Net Cat ULR,0.185812225
13,Energy PD,Total ULR,0.760316872
13,Energy PD,BP GN Premium,69463209.12
13,Energy PD,BP NN Premium,69463209.12
13,Energy PD,Net Premium,56748141.17
13,Energy PD,Net Expense/ GN Premium,0.182347122
13,Energy PD,Investment Income /GN Premium,6.80E-02
13,Energy PD,RI Premium/GN Premium,0.183047517
13,Energy PD,RI Recoveries/ GN Premium,0.135275247
13,Energy PD,Capital Required / GN Premium,0.677434833
13,Energy PD,Att LR,0.339991561
13,Energy PD,Large LR,0.277165359
13,Energy PD,Cat LR,0.213938788
13,Energy PD,Att COV,0.384945473
13,Energy PD,Large COV,0.634107969
13,Energy PD,Cat COV,1.624485825
13,Energy PD,Large Loss Threshold,1000000
13,Energy PD,Decay Factor,0.9
13,Energy PD,Target NLR,0.7
13,Energy PD,NML,0.025
13,Energy PD,LAE,0
13,Energy PD,RoC,0.15
13,Energy PD,Variable Expense,0
13,Energy PD,Fixed Expense,0
13,Energy PD,Climate Load,0.006
13,Hull,Gross Net Att ULR,0.502171577
13,Hull,Gross Net Cat ULR,0.101425
13,Hull,Total ULR,0.603596577
13,Hull,BP GN Premium,90183712.76
13,Hull,BP NN Premium,90183712.76
13,Hull,Net Premium,82766402.27
13,Hull,Net Expense/ GN Premium,0.189795984
13,Hull,Investment Income /GN Premium,7.78E-02
13,Hull,RI Premium/GN Premium,8.22E-02
13,Hull,RI Recoveries/ GN Premium,0.058327804
13,Hull,Capital Required / GN Premium,0.496399549
13,Hull,Att LR,0.140259723
13,Hull,Large LR,0.215113497
13,Hull,Cat LR,0.302248557
13,Hull,Att COV,0.13610699
13,Hull,Large COV,0.274485343
13,Hull,Cat COV,1.552831084
13,Hull,Large Loss Threshold,1000000
13,Hull,Decay Factor,0.9
13,Hull,Target NLR,0.7
13,Hull,NML,0.025
13,Hull,LAE,0
13,Hull,RoC,0.15
13,Hull,Variable Expense,0
13,Hull,Fixed Expense,0
13,Hull,Climate Load,0.006
13,Marine Libs,Gross Net Att ULR,0.523373169
13,Marine Libs,Gross Net Cat ULR,0.234
13,Marine Libs,Total ULR,0.757373169
13,Marine Libs,BP GN Premium,45880237.75
13,Marine Libs,BP NN Premium,45880237.75
13,Marine Libs,Net Premium,40770485.45
13,Marine Libs,Net Expense/ GN Premium,0.18800184
13,Marine Libs,Investment Income /GN Premium,7.56E-02
13,Marine Libs,RI Premium/GN Premium,0.11137153
13,Marine Libs,RI Recoveries/ GN Premium,8.04E-02
13,Marine Libs,Capital Required / GN Premium,0.761268412
13,Marine Libs,Att LR,0.30970781
13,Marine Libs,Large LR,0.199368395
13,Marine Libs,Cat LR,0.251269556
