Index,Business Income Without Extra Expense,Business Income and Extra Expense
Permanent Dwelling (multi family housing)ISO.5,0.0100,0.0170
Permanent Dwelling (multi family housing)ISO.6,0.0100,0.0170
Permanent Dwelling (multi family housing)All Other,0.0000,0.0160
All OtherISO.5,0.0270,0.0350
All OtherISO.6,0.0270,0.0350
All OtherAll Other,0.0330,0.0470
