Version,Currency,Rate,RMS Rate
11,0FJ,2.403,2.403
11,AAA,0.719,0.719
11,ADP,195.0,195.0
11,AED,3.674006,3.673
11,AFA,5313.683,5313.683
11,AFN,76.903736,79.37
11,ALL,108.233227,102.706
11,AMD,483.506359,477.722
11,ANG,1.7907,1.79
11,AOA,567.996582,637.832
11,AON,298037.122,298037.122
11,AOR,32.007,32.007
11,ARS,71.150874,96.068
11,ATS,16.259,16.259
11,AUD,1.430525,1.87
11,AWG,1.79213,1.795
11,AZM,5884.129,5884.129
11,AZN,1.700636,1.7
11,BAM,1.71868,1.654
11,BBD,2.000795,2.0
11,BDT,83.254054,83.274
11,BEF,47.669,47.669
11,BGL,2135.647,2135.647
11,BGN,1.71868,1.654
11,BHD,0.374881,0.375
11,BIF,1896.597456,1953.777
11,BMD,1.000397,1.0
11,BND,1.3907,1.354
11,BOB,6.731002,6.735
11,BRE,1.453,1.453
11,BRL,5.32035,5.151
11,BSD,1.000397,1.0
11,BTN,74.708426,74.412
11,BUK,7.612,7.612
11,BWP,11.491892,10.839
11,BYB,2900.209,2900.209
11,BYR,24087.406598,25377.421
11,BZD,1.971622,1.973
11,CAD,1.354372,1.71
11,CFP,137.187,137.187
11,CHF,0.93911,1.26
11,CLF,0.028696,0.028
11,CLP,789.931002,748.749
11,CNY,7.017011,6.473
11,COP,3645.71097,3808.583
11,CRC,569.606916,608.125
11,CSD,83.856,83.856
11,CSK,41.353,41.353
11,CUP,1.035397,1.008
11,CVE,96.894356,93.246
11,CYP,0.892,0.892
11,CZK,23.350238,21.668
11,DDM,1.863,1.863
11,DEM,2.309,2.309
11,DJF,177.777822,177.713
11,DKK,6.543323,8.65
11,DKR,7.568,7.568
11,DOP,58.011844,56.617
11,DZD,128.126709,134.145
11,ECD,1.201,1.201
11,ECS,26227.554,26227.554
11,EEK,13.245,13.245
11,EGP,15.991256,15.652
11,ESN,1.813,1.813
11,ESP,196.612,196.612
11,ETB,34.934022,43.81
11,EUR,0.878776,1.16
11,FIM,7.029,7.029
11,FJD,2.138394,2.065
11,FKP,0.794913,0.725
11,FRF,7.748,7.748
11,GAB,667.626,667.626
11,GBP,0.794913,0.725
11,GEL,3.047933,3.108
11,GHC,13376.619,13376.619
11,GHS,5.7562,5.912
11,GIP,0.794913,0.725
11,GMD,51.549285,50.884
11,GNF,9560.22663,9732.187
11,GRD,402.655,402.655
11,GTQ,7.523052,7.58
11,GWP,716.799,716.799
11,GYD,204.725994,200.684
11,HKD,7.754054,10.5
11,HNL,24.407313,23.499
11,HRK,6.617329,6.337
11,HTG,109.014706,92.594
11,HUF,309.36089,301.406
11,IDG,145.521517,144.989
11,IDR,14552.151669,14498.859
11,IEP,0.928,0.928
11,ILS,3.433784,3.271
11,INR,74.708426,74.412
11,IQD,1186.86717,1447.418
11,IRQ,18.229,18.229
11,IRR,43162.663196,42000.618
11,ISK,138.76256,123.955
11,ITK,23.969,23.969
11,ITL,2288.072,2288.072
11,JMD,140.148172,150.621
11,JOD,0.7093,0.709
11,JPX,1.388,1.388
11,JPY,107.157075,150.45
11,KES,106.234181,107.171
11,KGS,77.414706,84.682
11,KHR,4054.712639,4028.705
11,KMF,432.312003,416.035
11,KPW,1.46,1.46
11,KRW,1199.957711,1142.31
11,KWD,0.306916,0.3
11,KYD,0.833625,0.833
11,KZT,409.846661,425.858
11,LAK,8895.765739,9359.816
11,LBP,1508.075596,1507.522
11,LKR,184.124086,197.742
11,LRD,199.000079,170.644
11,LSL,16.806677,14.453
11,LTL,3.034102,2.92
11,LTS,4.871,4.871
11,LUF,47.669,47.669
11,LVL,0.617568,0.594
11,LYD,1.377742,4.486
11,MAD,9.526073,8.859
11,MDL,16.886328,17.871
11,MGA,3814.150397,3814.569
11,MGF,7936.547,7936.547
11,MKD,53.729173,51.647
11,MMK,1350.559539,1627.151
11,MNT,2621.000318,2620.039
11,MOP,7.986645,8.001
11,MRO,375.595072,358.443
11,MTL,0.77,0.77
11,MUR,38.961526,41.796
11,MVR,15.212878,15.231
11,MWK,724.858903,793.548
11,MXC,0.122,0.122
11,MXN,22.504531,19.942
11,MXP,12.223,12.223
11,MYR,4.268919,4.192
11,MZM,1.324,1.324
11,MZN,69.677742,62.934
11,NAD,16.806677,14.453
11,NGN,386.725517,410.679
11,NIC,13.403,13.403
11,NIG,667.626,667.626
11,NIO,34.187838,34.765
11,NLG,2.604,2.604
11,NOK,9.358585,11.78
11,NPR,118.729412,117.811
11,NZD,1.523768,1.95
11,OMR,0.384022,0.384
11,PAB,1.000397,1.0
11,PEN,3.491097,3.901
11,PGK,3.398013,3.431
11,PHP,49.446105,49.942
11,PKR,166.744515,159.059
11,PLN,3.915819,3.85
11,PLZ,4.64,4.64
11,PTE,236.906,236.906
11,PYG,6746.202146,6703.668
11,QAR,3.618362,3.617
11,ROL,1.324,1.324
11,RON,4.247615,4.162
11,RSD,103.060254,98.925
11,RUB,71.227981,73.962
11,RUR,29.0,29.0
11,RWF,942.406041,984.546
11,SAR,3.749205,3.745
11,SBD,8.178219,8.015
11,SCR,16.820032,14.133
11,SDD,287.914,287.914
11,SDG,55.167886,445.921
11,SDP,2271.835,2271.835
11,SEK,9.114865,11.8
11,SGD,1.3907,1.83
11,SHP,0.794913,0.725
11,SIT,1.0,1.0
11,SKK,0.82,0.82
11,SLL,9656.820906,10157.088
11,SOS,557.557631,561.75
11,SRD,7.398808,20.972
11,SRG,2846.655,2846.655
11,STD,21460.722734,20596.917
11,SUR,20.583,20.583
11,SVC,8.753339,8.75
11,SYP,214.631955,512.803
11,SZL,16.806677,14.453
11,THB,31.365342,32.522
11,TND,2.796582,2.749
11,TOP,2.220032,2.194
11,TRK,7132.176,5.677875
11,TRL,2806529.33,8613580.905
11,TRY,6.85469,8.614
11,TTD,6.627424,6.662
11,TWD,29.456598,27.975
11,TZS,2313.905723,2309.762
11,UAH,27.081479,27.016
11,UF,0.042,0.042
11,UGX,3685.595946,3532.849
11,USD,1.0,1.35
11,UYP,12.928,12.928
11,UYU,42.696184,43.395
11,UZS,10169.359459,10557.95
11,VEB,3119.842,3119.842
11,VEF,10.427027,400019937283.464
11,VND,23104.939428,22982.734
11,VUV,112.18283,112.142
11,WST,2.582353,2.504
11,XAF,576.415978,554.714
11,XCD,2.701033,2.7
11,XEU,1.094,1.094
11,XOF,576.415978,554.714
11,XPF,104.861606,100.914
11,YDI,12.072,12.072
11,YER,249.91399,248.729
11,YUM,67.309,67.309
11,ZAR,16.806677,20.3
11,ZMK,5178.176312,5176.276
11,ZMW,18.078776,22.464
11,ZRN,167438.273,167438.273
11,ZRZ,167438.273,167438.273
11,ZWD,71023.741,71023.741
