ISO,Construction,Fire,FL,HA,WF,int_EQ,int_WS
ISO.1,Frame,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
ISO.2,Joisted Masonry,-0.16200000000000000,0.00000000000000000,-0.36300000000000000,-0.16200000000000000,0.44230769230769200,-0.12280701754386000
ISO.3,Non-Combustible,-0.34300000000000000,-0.25916870415647900,0.50000000000000000,-0.34300000000000000,0.44230769230769200,-0.12280701754386000
ISO.4,Masonry Non-Combustible,-0.45000000000000000,-0.25916870415647900,-0.36300000000000000,-0.45000000000000000,0.44230769230769200,-0.12280701754386000
ISO.5,Modified Fire Resistive,-0.54400000000000000,-0.44498777506112500,-0.65000000000000000,-0.54400000000000000,-0.27884615384615400,-0.22807017543859600
ISO.6,Fire Resistive,-0.54400000000000000,-0.44498777506112500,-0.65000000000000000,-0.54400000000000000,-0.03846153846153850,-0.34210526315789500
