Peril,Buildings,Contents,BI
Fire,0.912931448,0.937130599,0.907017604
Explosion,0.012237207,0.009378569,0.00853508
Vandalism & Malicious Mischief,0.032509568,0.021147627,0.035243498
Sprinkler Leakage,0.02245426,0.017343529,0.019505381
Mold due to BG I Perils,0.019867516,0.014999676,0.029698437
