Limit as proportion of TIV,WS1,EQ1
0.129000,0.867800,0.364100
0.130000,0.869000,0.365000
0.131000,0.870100,0.365900
0.132000,0.871200,0.366800
0.133000,0.872300,0.367700
0.134000,0.873400,0.368500
0.135000,0.874500,0.369400
0.136000,0.875600,0.370300
0.137000,0.876700,0.371200
0.138000,0.877800,0.372100
0.139000,0.878900,0.373000
0.140000,0.880000,0.373800
0.141000,0.881000,0.374700
0.142000,0.882000,0.375600
0.143000,0.883000,0.376400
0.144000,0.884000,0.377300
0.145000,0.885000,0.378200
0.146000,0.886000,0.379100
0.147000,0.887000,0.379900
0.148000,0.888000,0.380800
0.149000,0.889000,0.381700
0.150000,0.890000,0.382500
0.151000,0.890900,0.383300
0.152000,0.891800,0.384100
0.153000,0.892700,0.384900
0.154000,0.893600,0.385700
0.155000,0.894500,0.386500
0.156000,0.895400,0.387300
0.157000,0.896300,0.388100
0.158000,0.897200,0.388800
0.159000,0.898100,0.389600
0.160000,0.899000,0.390400
0.161000,0.899800,0.391200
0.162000,0.900600,0.392000
0.163000,0.901400,0.392800
0.164000,0.902200,0.393600
0.165000,0.903000,0.394300
0.166000,0.903800,0.395100
0.167000,0.904600,0.395900
0.168000,0.905400,0.396700
0.169000,0.906200,0.397500
0.170000,0.907000,0.398200
0.171000,0.907700,0.399000
0.172000,0.908400,0.399800
0.173000,0.909100,0.400600
0.174000,0.909800,0.401300
0.175000,0.910500,0.402100
0.176000,0.911200,0.402900
0.177000,0.911900,0.403700
0.178000,0.912600,0.404400
0.179000,0.913300,0.405200
0.180000,0.914000,0.406000
0.181000,0.914600,0.406800
0.182000,0.915200,0.407500
0.183000,0.915800,0.408300
0.184000,0.916400,0.409100
0.185000,0.917000,0.409800
0.186000,0.917600,0.410600
0.187000,0.918200,0.411400
0.188000,0.918800,0.412100
0.189000,0.919400,0.412900
0.190000,0.920000,0.413700
0.191000,0.920500,0.414400
0.192000,0.921000,0.415200
0.193000,0.921500,0.416000
0.194000,0.922000,0.416700
0.195000,0.922500,0.417500
0.196000,0.923000,0.418200
