Limit as proportion of TIV,WS1,EQ1
0.844000,0.998600,0.887400
0.845000,0.998600,0.888100
0.846000,0.998600,0.888800
0.847000,0.998700,0.889500
0.848000,0.998700,0.890300
0.849000,0.998700,0.891000
0.850000,0.998700,0.891700
0.851000,0.998800,0.892400
0.852000,0.998800,0.893200
0.853000,0.998800,0.893900
0.854000,0.998900,0.894600
0.855000,0.998900,0.895300
0.856000,0.998900,0.896100
0.857000,0.998900,0.896800
0.858000,0.999000,0.897500
0.859000,0.999000,0.898200
0.860000,0.999000,0.899000
0.861000,0.999000,0.899700
0.862000,0.999100,0.900400
0.863000,0.999100,0.901100
0.864000,0.999100,0.901900
0.865000,0.999100,0.902600
0.866000,0.999200,0.903300
0.867000,0.999200,0.904000
0.868000,0.999200,0.904800
0.869000,0.999200,0.905500
0.870000,0.999200,0.906200
0.871000,0.999300,0.906900
0.872000,0.999300,0.907600
0.873000,0.999300,0.908400
0.874000,0.999300,0.909100
0.875000,0.999400,0.909800
0.876000,0.999400,0.910500
0.877000,0.999400,0.911300
0.878000,0.999500,0.912000
0.879000,0.999500,0.912700
0.880000,0.999500,0.913400
0.881000,0.999500,0.914200
0.882000,0.999600,0.914900
0.883000,0.999600,0.915600
0.884000,0.999600,0.916300
0.885000,0.999600,0.917100
0.886000,0.999700,0.917800
0.887000,0.999700,0.918500
0.888000,0.999700,0.919200
0.889000,0.999700,0.920000
0.890000,0.999800,0.920700
0.891000,0.999800,0.921400
0.892000,0.999800,0.922100
0.893000,0.999800,0.922900
0.894000,0.999900,0.923600
0.895000,0.999900,0.924300
0.896000,0.999900,0.925000
0.897000,0.999900,0.925800
0.898000,1.000000,0.926500
0.899000,1.000000,0.927200
0.900000,1.000000,0.927900
0.901000,1.000000,0.928700
0.902000,1.000000,0.929400
0.903000,1.000000,0.930100
0.904000,1.000000,0.930800
0.905000,1.000000,0.931500
0.906000,1.000000,0.932300
0.907000,1.000000,0.933000
0.908000,1.000000,0.933700
0.909000,1.000000,0.934400
0.910000,1.000000,0.935200
0.911000,1.000000,0.935900
0.912000,1.000000,0.936600
0.913000,1.000000,0.937300
0.914000,1.000000,0.938100
0.915000,1.000000,0.938800
0.916000,1.000000,0.939500
0.917000,1.000000,0.940200
0.918000,1.000000,0.941000
0.919000,1.000000,0.941700
0.920000,1.000000,0.942400
0.921000,1.000000,0.943100
0.922000,1.000000,0.943900
0.923000,1.000000,0.944600
0.924000,1.000000,0.945300
0.925000,1.000000,0.946000
0.926000,1.000000,0.946800
0.927000,1.000000,0.947500
0.928000,1.000000,0.948200
0.929000,1.000000,0.948900
0.930000,1.000000,0.949700
0.931000,1.000000,0.950400
0.932000,1.000000,0.951100
0.933000,1.000000,0.951800
0.934000,1.000000,0.952500
0.935000,1.000000,0.953300
0.936000,1.000000,0.954000
0.937000,1.000000,0.954700
0.938000,1.000000,0.955400
0.939000,1.000000,0.956200
0.940000,1.000000,0.956900
0.941000,1.000000,0.957600
0.942000,1.000000,0.958300
0.943000,1.000000,0.959100
0.944000,1.000000,0.959800
0.945000,1.000000,0.960500
0.946000,1.000000,0.961200
0.947000,1.000000,0.962000
0.948000,1.000000,0.962700
0.949000,1.000000,0.963400
0.950000,1.000000,0.964100
0.951000,1.000000,0.964900
0.952000,1.000000,0.965600
0.953000,1.000000,0.966300
0.954000,1.000000,0.967000
0.955000,1.000000,0.967800
0.956000,1.000000,0.968500
0.957000,1.000000,0.969200
0.958000,1.000000,0.969900
0.959000,1.000000,0.970700
0.960000,1.000000,0.971400
0.961000,1.000000,0.972100
0.962000,1.000000,0.972800
0.963000,1.000000,0.973600
0.964000,1.000000,0.974300
0.965000,1.000000,0.975000
0.966000,1.000000,0.975700
0.967000,1.000000,0.976400
0.968000,1.000000,0.977200
0.969000,1.000000,0.977900
0.970000,1.000000,0.978600
0.971000,1.000000,0.979300
0.972000,1.000000,0.980100
0.973000,1.000000,0.980800
0.974000,1.000000,0.981500
0.975000,1.000000,0.982200
0.976000,1.000000,0.983000
0.977000,1.000000,0.983700
0.978000,1.000000,0.984400
0.979000,1.000000,0.985100
0.980000,1.000000,0.985900
0.981000,1.000000,0.986600
0.982000,1.000000,0.987300
0.983000,1.000000,0.988000
0.984000,1.000000,0.988800
0.985000,1.000000,0.989500
0.986000,1.000000,0.990200
0.987000,1.000000,0.990900
0.988000,1.000000,0.991700
0.989000,1.000000,0.992400
0.990000,1.000000,0.993100
0.991000,1.000000,0.993800
0.992000,1.000000,0.994600
0.993000,1.000000,0.995300
0.994000,1.000000,0.996000
0.995000,1.000000,0.996700
0.996000,1.000000,0.997500
0.997000,1.000000,0.998200
0.998000,1.000000,0.998900
0.999000,1.000000,0.999600
1.000000,1.000000,1.000000
