Field,Value
Maximum premium credibility,3000000
Min premium credibility,500000
Max years credibility,10
Max development quarters,60
Max developed,1
Premium Threshold,3000000
Claims Threshold,500000
Maximum Experience Weight,1
Min Attr GG ULR,0.05
Min Large GG ULR,0.02
Min Cat GG ULR,0.02
