Deductible Bands,Peril,0,51000,101000,251000,501000,1001000,3501000,5001000,10001000
500,BG1,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
1000,BG1,0.9400000,0.9600000,0.9700000,0.9900000,0.9900000,0.9900000,0.9900000,0.9900000,0.9900000
2500,BG1,0.8400000,0.8400000,0.9000000,0.9300000,0.9600000,0.9600000,0.9600000,0.9600000,0.9600000
5000,BG1,0.7900000,0.7900000,0.7900000,0.8700000,0.9000000,0.9500000,0.9500000,0.9500000,0.9500000
7500,BG1,0.8400000,0.8400000,0.8400000,0.8100000,0.8800000,0.9200000,0.9200000,0.9200000,0.9200000
10000,BG1,0.6700000,0.6700000,0.6700000,0.7800000,0.8300000,0.8900000,0.8900000,0.9400000,0.9400000
15000,BG1,0.6466700,0.6466700,0.6466700,0.6466700,0.7566700,0.8233300,0.8233300,0.8833300,0.9366700
25000,BG1,0.6000000,0.6000000,0.6000000,0.6000000,0.7100000,0.8100000,0.8100000,0.8700000,0.9300000
30000,BG1,0.5860000,0.5860000,0.5860000,0.5860000,0.7120000,0.8020000,0.8020000,0.8580000,0.9240000
50000,BG1,0.5300000,0.5300000,0.5300000,0.5300000,0.5300000,0.7200000,0.7700000,0.8100000,0.9000000
75000,BG1,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.6600000,0.7300000,0.7700000,0.8700000
500,BG2 NON SE AND SCL,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
1000,BG2 NON SE AND SCL,0.8900000,0.9200000,0.9300000,0.9600000,0.9600000,0.9600000,0.9600000,0.9600000,0.9600000
2500,BG2 NON SE AND SCL,0.7100000,0.7100000,0.7900000,0.8200000,0.8900000,0.8900000,0.8900000,0.8900000,0.8900000
5000,BG2 NON SE AND SCL,0.5900000,0.5900000,0.5900000,0.6900000,0.7400000,0.8400000,0.8400000,0.8400000,0.8400000
7500,BG2 NON SE AND SCL,0.6566700,0.6566700,0.6566700,0.5950000,0.6900000,0.7750000,0.7750000,0.7750000,0.7750000
10000,BG2 NON SE AND SCL,0.4400000,0.4400000,0.4400000,0.5400000,0.6000000,0.6900000,0.6900000,0.8100000,0.8100000
15000,BG2 NON SE AND SCL,0.4000000,0.4000000,0.4000000,0.4000000,0.5000000,0.5733300,0.5733300,0.6600000,0.7766700
25000,BG2 NON SE AND SCL,0.3200000,0.3200000,0.3200000,0.3200000,0.4200000,0.5200000,0.5200000,0.6000000,0.7100000
30000,BG2 NON SE AND SCL,0.3100000,0.3100000,0.3100000,0.3100000,0.4140000,0.5040000,0.5040000,0.5760000,0.6880000
50000,BG2 NON SE AND SCL,0.2700000,0.2700000,0.2700000,0.2700000,0.2700000,0.3900000,0.4400000,0.4800000,0.6000000
75000,BG2 NON SE AND SCL,0.2500000,0.2500000,0.2500000,0.2500000,0.2500000,0.3300000,0.3800000,0.4200000,0.5400000
500,BG2 SE,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
1000,BG2 SE,0.9400000,0.9500000,0.9700000,0.9800000,0.9800000,0.9800000,0.9800000,0.9800000,0.9800000
2500,BG2 SE,0.8300000,0.8300000,0.8800000,0.9100000,0.9500000,0.9500000,0.9500000,0.9500000,0.9500000
5000,BG2 SE,0.7500000,0.7500000,0.7500000,0.8300000,0.8600000,0.9300000,0.9300000,0.9300000,0.9300000
7500,BG2 SE,0.7966700,0.7966700,0.7966700,0.7600000,0.8350000,0.8900000,0.8900000,0.8900000,0.8900000
10000,BG2 SE,0.6100000,0.6100000,0.6100000,0.7200000,0.7700000,0.8400000,0.8400000,0.9200000,0.9200000
15000,BG2 SE,0.5700000,0.5700000,0.5700000,0.5700000,0.6866700,0.7533300,0.7533300,0.8266700,0.9066700
25000,BG2 SE,0.4900000,0.4900000,0.4900000,0.4900000,0.6200000,0.7200000,0.7200000,0.8000000,0.8800000
30000,BG2 SE,0.4780000,0.4780000,0.4780000,0.4780000,0.6160000,0.7080000,0.7080000,0.7820000,0.8660000
50000,BG2 SE,0.4300000,0.4300000,0.4300000,0.4300000,0.4300000,0.6000000,0.6600000,0.7100000,0.8100000
75000,BG2 SE,0.3800000,0.3800000,0.3800000,0.3800000,0.3800000,0.5300000,0.6000000,0.6500000,0.7700000
