State,BG2 Region,SCL Region
Alabama,Southeast,SEW
Arizona,Non-Southeast,SEW
Arkansas,Non-Southeast,SEW
California,Non-Southeast,SEW
Colorado,Non-Southeast,SEW
Connecticut,Non-Southeast,NNE
Delaware,Non-Southeast,MW
Dist. of Columbia,Non-Southeast,MW
Florida,Southeast,SEW
Georgia,Southeast,SEW
Illinois,Non-Southeast,MW
Indiana,Non-Southeast,MW
Iowa,Non-Southeast,MW
Kansas,Non-Southeast,SEW
Kentucky,Non-Southeast,MW
Maine,Non-Southeast,NNE
Maryland,Non-Southeast,MW
Massachusetts,Non-Southeast,NNE
Michigan,Non-Southeast,MW
Minnesota,Non-Southeast,MW
Missouri,Non-Southeast,MW
Montana,Non-Southeast,NNE
Nebraska,Non-Southeast,NNE
Nevada,Non-Southeast,SEW
New Hampshire,Non-Southeast,NNE
New Jersey,Non-Southeast,NNE
New Mexico,Non-Southeast,SEW
New York,Non-Southeast,NNE
North Carolina,Southeast,SEW
North Dakota,Non-Southeast,NNE
Ohio,Non-Southeast,MW
Oklahoma,Non-Southeast,SEW
Oregon,Non-Southeast,SEW
Pennsylvania,Non-Southeast,NNE
Rhode Island,Non-Southeast,NNE
South Carolina,Southeast,SEW
South Dakota,Non-Southeast,NNE
Tennessee,Non-Southeast,SEW
Texas,Southeast,SEW
Utah,Non-Southeast,SEW
Vermont,Non-Southeast,NNE
Virginia,Non-Southeast,MW
Louisiana,Southeast,SEW
Hawaii,Non-Southeast,MW
Idaho,Non-Southeast,MW
Washington,Non-Southeast,SEW
Mississippi,Southeast,SEW
Dist. Of Columbia,Southeast,SEW
West Virginia,Non-Southeast,MW
Wisconsin,Non-Southeast,MW
Wyoming,Non-Southeast,NNE
Alaska,Non-Southeast,NNE
Puerto Rico,Southeast,SEW
